head,mean_residual,mean_absolute_residual,max_absolute_residual
L0H1,-0.02608027458190918,0.16956400871276855,0.4912109375
L10H16,-0.031548911333084094,0.12564681172370912,0.326904296875
L11H15,-0.04398349523544311,0.12338413000106811,0.35888671875
L11H20,-0.046399879455566395,0.1311166763305664,0.3369140625
L11H27,-0.042138099670410135,0.12493686676025388,0.300048828125
L11H3,-0.041966533660888664,0.13505430221557618,0.372314453125
L11H4,-0.039735603332519506,0.12775440216064451,0.341522216796875
L11H7,-0.044866657257080056,0.12779512405395504,0.33856201171875
L12H17,-0.008831214904785159,0.11799945831298828,0.385009765625
L12H2,-0.02538280487060545,0.11678600311279294,0.276123046875
L12H9,-0.03233242034912108,0.11322689056396484,0.272705078125
L13H1,-0.017657184600830066,0.11637086868286133,0.38037109375
L13H10,-0.008795380592346158,0.23472216129302975,1.011962890625
L13H22,-0.016816711425781238,0.1176025390625,0.33837890625
L13H30,-0.018557929992675765,0.11525211334228513,0.346435546875
L14H10,-0.014771032333374016,0.11021857261657715,0.40869140625
L14H23,0.012739562988281262,0.10836257934570312,0.59326171875
L14H26,0.03005430698394774,0.1097717523574829,0.5498046875
L15H0,-0.010205650329589824,0.09878444671630857,0.29052734375
L15H18,-0.015082478523254377,0.0958069562911987,0.268798828125
L15H2,-0.010906600952148425,0.1003631591796875,0.27783203125
L15H25,0.10241179466247559,0.14784526824951172,0.688232421875
L15H27,-0.01688194274902342,0.10217628479003904,0.2464599609375
L15H28,-0.016885185241699206,0.09827632904052733,0.291259765625
L15H29,-0.014108276367187495,0.10157508850097656,0.26513671875
L15H3,-0.013256740570068338,0.09261465072631833,0.2392578125
L16H1,-0.005691146850585934,0.10882225036621093,0.41015625
L16H16,-0.017828941345214833,0.09144573211669921,0.2442626953125
L16H2,-0.015548706054687481,0.08760757446289061,0.2413330078125
L16H21,-0.050075817108154286,0.09974775314331054,0.3482666015625
L16H24,-0.021666049957275384,0.09309701919555663,0.2164306640625
L16H31,-0.01673183441162108,0.08989696502685544,0.236083984375
L16H4,-0.011722946166992178,0.08799247741699218,0.256591796875
L17H1,-0.13456893563270572,0.9440494239330292,2.8533687591552743
L17H17,0.01359996795654298,0.07818470001220702,0.222412109375
L17H24,-0.008146858215332013,0.07624759674072264,0.216064453125
L17H3,0.028858757019042985,0.07782039642333982,0.2039794921875
L17H5,-0.0035170316696166897,0.0718663454055786,0.228759765625
L18H15,0.0010615348815918191,0.06528902053833005,0.17510986328125
L18H18,0.005394554138183627,0.09313907623291016,0.189208984375
L18H19,-0.006719589233398393,0.080450439453125,0.212646484375
L18H22,0.004761600494384779,0.06693296432495116,0.161865234375
L18H24,0.005071926116943371,0.06905031204223631,0.204681396484375
L18H5,0.004994106292724622,0.06767129898071288,0.16119384765625
L19H16,-0.0017784357070922796,0.06935274600982666,0.2104644775390625
L19H20,-0.00473327636718749,0.06477203369140624,0.1655426025390625
L19H22,-0.00310885906219482,0.06630618572235107,0.16949462890625
L1H27,-0.040774345397949205,0.16638469696044922,0.6435546875
L20H1,0.01070575714111328,0.06971187591552734,0.240081787109375
L20H14,-0.004505372047424311,0.06797025203704833,0.2234573364257813
L20H7,-0.002704548835754379,0.06865913867950438,0.2216339111328125
