head,self,relevant_target_mass,relevant_source_mass,distractor_target_mass,distractor_source_mass,all_fact_name_mass
L25H17,0.5696511335670948,0.0047621996520319,0.0037307003236492,0.0035806794854579,0.0034106636832196,0.0294669294817136
L21H23,0.2035257832147181,0.0535999285755679,0.0106515811465214,0.0230746943503618,0.0046697997434724,0.14748499200359189
L30H13,0.1866481822915375,0.0228339034249074,0.0068077672622166,0.012769743714792,0.0056347670833929,0.0848552030816787
L17H17,0.1861327990889549,0.0423567476216703,0.0490764381829649,0.0259762497075522,0.0165028295557325,0.2188704235944893
