head,signed_mean,mean_absolute_family,max_absolute_family
L0H1,-0.02608027458190918,0.10135836601257324,0.1923828125
L10H16,-0.031548911333084094,0.09483010172843932,0.177734375
L11H15,-0.04398349523544311,0.09589515924453734,0.29766845703125
L11H20,-0.046399879455566395,0.10176563262939453,0.25054931640625
L11H27,-0.042138099670410135,0.09607791900634763,0.23516845703125
L11H3,-0.041966533660888664,0.09901838302612304,0.25140380859375
L11H4,-0.039735603332519506,0.09634723663330076,0.24444580078125
L11H7,-0.044866657257080056,0.09979524612426756,0.204833984375
L12H17,-0.008831214904785153,0.08114433288574219,0.18780517578125
L12H2,-0.02538280487060545,0.08219661712646482,0.17950439453125
L12H9,-0.03233242034912108,0.08485469818115234,0.18450927734375
L13H1,-0.017657184600830066,0.08257112503051757,0.15924072265625
L13H10,-0.008795380592346155,0.1474201440811157,0.514892578125
L13H22,-0.016816711425781238,0.07967605590820312,0.15960693359375
L13H30,-0.018557929992675762,0.08432407379150389,0.186981201171875
L14H10,-0.014771032333374012,0.08110489845275878,0.16278076171875
L14H23,0.012739562988281264,0.07811851501464842,0.1884593963623047
L14H26,0.030054306983947742,0.07264215946197511,0.15883636474609375
L15H0,-0.010205650329589823,0.07166233062744139,0.18341064453125
L15H18,-0.015082478523254377,0.06600615978240966,0.16131591796875
L15H2,-0.010906600952148423,0.07059078216552733,0.156982421875
L15H25,0.10241179466247559,0.11411604881286622,0.2464141845703125
L15H27,-0.01688194274902342,0.06918678283691404,0.16693115234375
L15H28,-0.016885185241699206,0.07018241882324218,0.19427490234375
L15H29,-0.014108276367187495,0.07180366516113282,0.195556640625
L15H3,-0.013256740570068334,0.06636514663696287,0.1629638671875
L16H1,-0.005691146850585934,0.06765956878662108,0.16436767578125
L16H16,-0.01782894134521483,0.06218318939208983,0.16485595703125
L16H2,-0.015548706054687481,0.06483917236328123,0.16461181640625
L16H21,-0.05007581710815427,0.07619962692260741,0.27972412109375
L16H24,-0.021666049957275377,0.06438264846801758,0.14532470703125
L16H31,-0.016731834411621075,0.06492710113525388,0.1553955078125
L16H4,-0.011722946166992178,0.07013511657714842,0.1710205078125
