head,anchor,current_role,events,families,target,control,gap
L15H3,first,target,1,1,0.0,0.008290801818172136,-0.008290801818172136
L15H3,last,target,1,1,0.0,0.0,0.0
L15H18,first,target,104,47,0.015288298838261634,0.009993380301160818,0.005294918537100813
L15H18,last,target,104,47,0.01427481026183946,0.007988831788260119,0.006285978473579342
L15H18,first,neither,4,4,0.014696603640913963,0.005786084880431494,0.008910518760482471
L15H18,last,neither,4,4,0.0473414845764637,0.021822617234041292,0.025518867342422407
L15H18,first,control,2,2,0.0,0.01097019761800766,-0.01097019761800766
L15H18,last,control,2,2,0.0,0.0,0.0
L15H28,first,target,49,17,0.008172323559286954,0.011722202040820296,-0.003549878481533343
L15H28,last,target,49,17,0.013187046145305496,0.02409086924524113,-0.010903823099935638
L15H28,first,control,19,17,0.010493989376460804,0.011721568307656723,-0.0012275789311959173
L15H28,last,control,19,17,0.01807860706878059,0.016317754300826874,0.0017608527679537167
L15H28,first,neither,35,21,0.009277045744515601,0.008022283922111947,0.001254761822403654
L15H28,last,neither,35,21,0.021198545218933197,0.029832274502355156,-0.008633729283421956
L15H29,first,neither,33,17,0.00827432229804496,0.004099937963407498,0.004174384334637462
L15H29,last,neither,33,17,0.017429803105472933,0.013002078289933064,0.00442772481553987
L15H29,first,control,1,1,0.008882974274456501,0.008385374986877045,0.0004975992875794564
L15H29,last,control,1,1,0.026674242690205574,0.01663229924937089,0.010041943440834682
L16H1,first,control,242,75,0.008673535482728822,0.010683051399340256,-0.0020095159166114325
L16H1,last,control,242,75,0.011813862402243391,0.010653012544281353,0.0011608498579620448
L16H1,first,neither,331,82,0.007994878908092846,0.012089069930855846,-0.004094191022763002
L16H1,last,neither,331,82,0.0067564310381863935,0.008671889587828203,-0.00191545854964181
L16H1,first,target,88,34,0.007833337152773952,0.011753361108842201,-0.0039200239560682505
L16H1,last,target,88,34,0.010232118341709971,0.00883717405881042,0.001394944282899552
L16H2,first,neither,100,48,0.01007752484228048,0.009791584019775553,0.00028594082250492646
L16H2,last,neither,100,48,0.011930809790747945,0.013175340916017443,-0.0012445311252694982
L16H2,first,control,3,3,0.03755225737889608,0.021630483795888722,0.015921773583007354
L16H2,last,control,3,3,0.015848901743690174,0.019091560246629845,-0.0032426585029396737
L16H4,first,neither,88,40,0.014638794903252608,0.013278361798848753,0.0013604331044038548
L16H4,last,neither,88,40,0.004110860696689795,0.01002074727706376,-0.005909886580373966
L16H4,first,control,3,3,0.010619420558214188,0.007806945902605851,0.002812474655608336
L16H4,last,control,3,3,0.006929073482751846,0.018482666505102923,-0.011553593022351075
L16H16,first,neither,221,62,0.008827230971005906,0.008339868518464846,0.00048736245254105853
L16H16,last,neither,221,62,0.016193120531762927,0.013261563753243914,0.0029315567785190124
L16H21,first,control,149,67,0.01822575502106584,0.014057596496847508,0.004168158524218332
L16H21,last,control,149,67,0.017786321466277816,0.016613173238872462,0.0011731482274053467
L16H21,first,neither,307,82,0.009935860358477424,0.010635113410689108,-0.0006992530522116802
L16H21,last,neither,307,82,0.01851752763168195,0.017679831966218217,0.0008376956654637308
L16H24,first,neither,163,61,0.01096523932268906,0.014729692039192261,-0.003764452716503204
L16H24,last,neither,163,61,0.016760087554862142,0.017624558968505517,-0.0008644714136433766
L16H24,first,control,54,33,0.013504782222996869,0.0141879853411101,-0.0006832031181132303
L16H24,last,control,54,33,0.014154619853687826,0.01653424933289044,-0.002379629479202611
L16H31,first,neither,47,26,0.013249982425268406,0.013459906617575528,-0.0002099241923071193
L16H31,last,neither,47,26,0.02991303372889375,0.02331516243025867,0.006597871298635075
L16H31,first,control,1,1,0.0,0.0,0.0
L16H31,last,control,1,1,0.011308081448078156,0.019587669521570206,-0.00827958807349205
L17H1,first,control,2,1,0.009365052916109562,0.0,0.009365052916109562
L17H1,last,control,2,1,0.002594135934486985,0.0,0.002594135934486985
L17H3,first,control,2,1,0.03776923939585686,0.018707633639375366,0.01906160575648149
L17H3,last,control,2,1,0.06099161319434643,0.04557968520869811,0.015411927985648315
L17H3,first,neither,6,3,0.013164433495452007,0.0057872117807467776,0.007377221714705229
L17H3,last,neither,6,3,0.0017211356510718663,0.00986402802583244,-0.008142892374760574
L17H5,first,neither,64,34,0.022880036868702838,0.016820871702585977,0.006059165166116857
L17H5,last,neither,64,34,0.004635104984866784,0.006853822050698892,-0.002218717065832108
L17H5,first,control,1,1,0.0,0.0,0.0
L17H5,last,control,1,1,0.0,0.035581668838858604,-0.035581668838858604
L17H24,first,neither,12,11,0.052358828358013525,0.018861779202283782,0.033497049155729736
L17H24,last,neither,12,11,0.004681859313595024,0.00664863478265364,-0.0019667754690586166
L17H24,first,control,5,2,0.07019699551165104,0.011129078377659122,0.05906791713399192
L17H24,last,control,5,2,0.041253264993429184,0.009133968502283096,0.03211929649114609
L17H24,first,target,2,1,0.21681952476501465,0.1447592775026957,0.07206024726231894
L17H24,last,target,2,1,0.0,0.0,0.0
L18H15,first,neither,39,17,0.02250842030845755,0.015707050573077457,0.0068013697353800934
L18H15,last,neither,39,17,0.011680878016644502,0.007856451888452215,0.003824426128192286
L18H18,first,neither,19,13,0.015849018374678846,0.0107502487940071,0.005098769580671745
L18H18,last,neither,19,13,0.012560094497763574,0.009122580100541426,0.0034375143972221506
L18H18,first,control,5,4,0.021302853535075883,0.005862115561778106,0.015440737973297775
L18H18,last,control,5,4,0.025608941446989775,0.009191860794089735,0.01641708065290004
L18H18,first,target,1,1,0.0,0.007590669207274914,-0.007590669207274914
L18H18,last,target,1,1,0.052409082651138306,0.04373541846871376,0.008673664182424545
L18H19,first,neither,51,32,0.018238785641491024,0.017902089236486063,0.00033669640500496234
L18H19,last,neither,51,32,0.006686504676319297,0.010894747344473722,-0.004208242668154425
L18H19,first,control,111,48,0.017764328869978068,0.04058423086194293,-0.02281990199196486
L18H19,last,control,111,48,0.006583552917896263,0.00954890296640298,-0.002965350048506715
L18H19,first,target,1,1,0.10110556334257126,0.0,0.10110556334257126
L18H19,last,target,1,1,0.008833267726004124,0.0,0.008833267726004124
L18H22,first,neither,33,17,0.008784833605334696,0.008223811751792433,0.0005610218535422626
L18H22,last,neither,33,17,0.020273535881199317,0.02134050390779638,-0.001066968026597063
L18H22,first,control,4,2,0.0,0.017110265092924237,-0.017110265092924237
L18H22,last,control,4,2,0.0025954794449110827,0.001730319629940722,0.0008651598149703606
L19H16,first,neither,144,61,0.012525776829354242,0.014260486831753056,-0.001734710002398816
L19H16,last,neither,144,61,0.016083705097645565,0.015591437112169877,0.0004922679854756878
L19H16,first,control,92,59,0.014315026350540378,0.009153708239088605,0.005161318111451773
