writer,site,readout,head_site_shift_mean,head_site_shift_median,head_site_shift_mean_absolute,head_site_shift_min,head_site_shift_max,head_site_shift_negative_families,head_site_shift_zero_families,head_span_shift_mean,head_span_shift_median,head_span_shift_mean_absolute,head_span_shift_min,head_span_shift_max,head_span_shift_negative_families,head_span_shift_zero_families,intact_corrupted_shift_mean,intact_corrupted_shift_median,intact_corrupted_shift_mean_absolute,intact_corrupted_shift_min,intact_corrupted_shift_max,intact_corrupted_shift_negative_families,intact_corrupted_shift_zero_families,irrelevant_shift_mean,irrelevant_shift_median,irrelevant_shift_mean_absolute,irrelevant_shift_min,irrelevant_shift_max,irrelevant_shift_negative_families,irrelevant_shift_zero_families,none_shift_mean,none_shift_median,none_shift_mean_absolute,none_shift_min,none_shift_max,none_shift_negative_families,none_shift_zero_families,intact_mean,intact_median,intact_mean_absolute,intact_min,intact_max,intact_negative_families,intact_zero_families,head_swap_pearson,site_minus_swap_mean_absolute
L15H25,query_child_last,identity,0.0060546636581420895,0.0,0.01347658634185791,-0.021484375,0.091796875,8,3,0.0060546636581420895,0.0,0.01347658634185791,-0.021484375,0.091796875,8,3,0.020214784145355224,0.0126953125,0.034081995487213135,-0.0781252384185791,0.1601557731628418,5,0,-0.013183629512786866,0.001953125,0.40341800451278687,-1.234374761581421,1.1328125,10,0,0.1813475728034973,0.0322265625,0.6053709387779236,-0.7734375,1.6484375,10,0,0.18212894201278687,-0.224609375,2.149902307987213,-6.537109375,7.61328125,11,0,0.7842861706152888,0.029589855670928956
L15H25,query_child_last,mother_of,-0.00019534826278686524,0.0,0.0017578482627868652,-0.007812738418579102,0.00390625,9,3,-0.00019534826278686524,0.0,0.0017578482627868652,-0.007812738418579102,0.00390625,9,3,0.0018066048622131347,0.0014647245407104492,0.0024902701377868654,-0.0029296875,0.0058596134185791016,4,3,-0.030322301387786865,0.00244140625,0.04184566736221314,-0.6650390625,0.029296875,9,0,0.01381828784942627,0.01611328125,0.04907236099243164,-0.072265625,0.119140625,9,0,0.24311528205871583,0.259765625,1.115087866783142,-2.955077886581421,5.173828363418579,7,0,0.36421938369574136,0.0026855707168579102
L15H25,query_is,identity,0.003027307987213135,0.001953125,0.005761706829071045,-0.0058596134185791016,0.01953125,7,3,0.003027307987213135,0.001953125,0.005761706829071045,-0.0058596134185791016,0.01953125,7,3,-0.15117188692092895,-0.12890625,0.16210938692092897,-0.513671875,0.10546875,18,0,-0.1577148675918579,-0.1435546875,0.17158205509185792,-0.5390625,0.138671875,19,0,0.06953120231628418,-0.2216792106628418,0.6291014909744262,-0.98046875,1.3828125,11,0,0.2939453125,0.13867175579071045,1.921093726158142,-6.640625,7.28125,9,0,-0.07701996742424583,0.1639648199081421
L15H25,query_is,mother_of,0.00019533634185791015,0.0,0.0008789777755737304,-0.0029296875,0.0019533634185791016,5,8,0.00019533634185791015,0.0,0.0008789777755737304,-0.0029296875,0.0019533634185791016,5,8,-0.0017090201377868651,-0.0009764432907104492,0.004443347454071045,-0.0166015625,0.0087890625,10,3,-0.002246105670928955,-0.0019528865814208984,0.005566394329071045,-0.0185546875,0.013671875,12,1,0.006298792362213135,0.011230945587158203,0.04692395925521851,-0.09765625,0.12890625,9,0,0.25063477754592894,0.25830078125,1.1149901747703552,-2.929687261581421,5.192382335662842,7,0,0.3769124665603434,0.004443418979644775
L17H1,query_is,identity,-0.45839840173721313,-0.458984375,0.45839840173721313,-0.701171875,-0.234375,20,0,-0.45839840173721313,-0.458984375,0.45839840173721313,-0.701171875,-0.234375,20,0,-0.5207030892372131,-0.5136722326278687,0.5207030892372131,-0.9101564884185791,-0.306640625,20,0,-0.5126952886581421,-0.48144543170928955,0.5126952886581421,-0.8457033634185791,-0.26953125,20,0,-0.151171875,-0.2919926643371582,0.6566405534744263,-1.3828120231628418,1.582031488418579,12,0,0.5146483898162841,0.228515625,2.094531226158142,-6.10546875,8.001953601837158,8,0,0.7007676242927529,0.0943359375
L17H1,query_is,mother_of,-0.00981442928314209,-0.00830078125,0.01108396053314209,-0.025390625,0.0048828125,17,0,-0.00981442928314209,-0.00830078125,0.01108396053314209,-0.025390625,0.0048828125,17,0,-0.009033191204071044,-0.0078125,0.009423816204071045,-0.0322265625,0.00390625,18,1,-0.00927736759185791,-0.009765625,0.01044919490814209,-0.0341796875,0.0068359375,16,1,0.002343738079071045,0.00048828125,0.043750011920928956,-0.115234375,0.1328125,10,0,0.254589831829071,0.2783203125,1.123535168170929,-2.951172113418579,5.2158203125,7,0,0.7675906866560278,0.004687535762786865
L17H1,query_period,identity,-0.041210949420928955,-0.041015625,0.041210949420928955,-0.0722649097442627,-0.01171875,20,0,-0.041210949420928955,-0.041015625,0.041210949420928955,-0.0722649097442627,-0.01171875,20,0,-0.046093761920928955,-0.046875,0.04628907442092896,-0.095703125,0.001953125,18,1,-0.04970703125,-0.0537109375,0.05107421875,-0.115234375,0.013671875,19,0,0.07558588981628418,-0.05957067012786865,0.6460936784744262,-1.333984375,1.78125,11,0,0.287890625,0.037109375,2.0962890625,-6.26171875,7.88671875,9,0,0.8669148440755098,0.01171870231628418
L17H1,query_period,mother_of,-0.023193395137786864,-0.02099609375,0.023193395137786864,-0.0722658634185791,-0.005859375,20,0,-0.023193395137786864,-0.02099609375,0.023193395137786864,-0.0722658634185791,-0.005859375,20,0,-0.026855504512786864,-0.0234375,0.026855504512786864,-0.09375,-0.0087890625,20,0,-0.02636723518371582,-0.02197265625,0.02636723518371582,-0.0957033634185791,-0.00390625,20,0,-0.00786139965057373,-0.01220703125,0.04936532974243164,-0.1220703125,0.123046875,11,0,0.26479496955871584,0.2802734375,1.119580054283142,-2.927733898162842,5.203125238418579,7,0,0.8878014733599199,0.006103515625
