id,direction,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,descriptive_ci_low,descriptive_ci_high,mean_absolute_order_difference,original_gap,normalized_mean,normalized_mean_absolute
0259de511e26cdd14804,noise,89,3.0719727023263994,3.0938172018929815,3.16400146484375,-0.827239990234375,8.134429931640625,0.9775280898876404,1.0,True,coherent,2.8023515007469095,3.3460835488994465,3.1883038188634294,11.170458413241954,0.27500865127296364,0.27696421108604047
0259de511e26cdd14804,restore,89,2.935486118445236,2.938801218954365,2.92718505859375,-0.14752197265625,5.9621124267578125,0.9887640449438202,1.0,True,coherent,2.6969827732343354,3.175119620226742,3.4982744281211597,11.170458413241954,0.2627901210361592,0.2630868949362526
04c45f1dd9dd86f0659c,noise,89,2.1430619646993914,2.1430619646993914,1.977874755859375,0.2846641540527344,4.919281005859375,1.0,1.0,True,coherent,1.9535759086019537,2.3358701818444754,1.231064217813899,11.170458413241954,0.19185085207952712,0.19185085207952712
04c45f1dd9dd86f0659c,restore,89,2.0748328466093944,2.0748328466093944,2.0047645568847656,0.274658203125,4.29522705078125,1.0,1.0,True,coherent,1.8938137870156364,2.2594454313931838,1.3843499622987898,11.170458413241954,0.1857428558303208,0.1857428558303208
0530fc216644b6d345df,noise,89,-0.5858036989576361,0.644589126779792,-0.5356292724609375,-3.915283203125,0.60791015625,0.9101123595505618,0.9438202247191011,True,coherent,-0.7203980067472779,-0.46467837349752367,0.5453286813885978,11.170458413241954,-0.052442225492124704,0.057704805204383335
0530fc216644b6d345df,restore,89,-0.5108370405904362,0.5532018682929907,-0.41071319580078125,-2.05419921875,0.704833984375,0.8876404494382022,0.8539325842696629,True,coherent,-0.6128851445873132,-0.41019284001896894,0.3852545063147384,11.170458413241954,-0.04573107223467816,0.049523649596797274
063ee72b36f310e782c2,noise,89,1.2612216552991546,1.3153191202142265,1.1593017578125,-0.8173866271972656,3.791015625,0.9438202247191011,0.9887640449438202,True,coherent,1.077663278579712,1.4452213978499509,1.8108759140700437,11.170458413241954,0.11290688426931941,0.11774978891242181
063ee72b36f310e782c2,restore,89,1.1851691556780526,1.248217614848962,1.072998046875,-1.4541015625,3.473297119140625,0.9213483146067416,0.9325842696629213,True,coherent,0.9997612497779761,1.372525156213996,2.000431832302822,11.170458413241954,0.10609852450398104,0.11174273863006999
102d4d895eefba3fc400,noise,89,4.080671642603499,4.0844709953565275,3.8842239379882812,-0.16907119750976562,9.6478271484375,0.9887640449438202,1.0,True,coherent,3.7571057570114568,4.41414608057965,1.6264685727237316,11.170458413241954,0.36530923724366504,0.3656493622960554
102d4d895eefba3fc400,restore,89,4.061479547050562,4.061479547050562,4.146842956542969,1.2616653442382812,7.952239990234375,1.0,1.0,True,coherent,3.78846973408474,4.339987317631753,1.703789014494821,11.170458413241954,0.36359112552049827,0.36359112552049827
10c30418fec83259a51c,noise,89,2.1424083897237027,2.1482465910107904,2.077392578125,-0.2597999572753906,4.2108154296875,0.9887640449438202,1.0,True,coherent,1.975780027033238,2.3080554440450127,1.0340124891045388,11.170458413241954,0.19179234284458704,0.19231498937090746
10c30418fec83259a51c,restore,89,2.109969613257419,2.109969613257419,1.9957008361816406,0.2303466796875,5.0943603515625,1.0,1.0,True,coherent,1.9466758020138473,2.282722791861952,0.9278645622596312,11.170458413241954,0.18888836386125102,0.18888836386125102
16ffc4c1ce2cd2f66524,noise,89,0.47228479385375977,0.7352702698011077,0.4713134765625,-1.6285438537597656,3.0462493896484375,0.7191011235955056,0.8651685393258427,True,coherent,0.3007951374804036,0.6472037841764728,1.4938143290830461,11.170458413241954,0.04227980413891452,0.06582274805566492
16ffc4c1ce2cd2f66524,restore,89,0.41428342026271175,0.8405038855049047,0.3997802734375,-2.1037063598632812,2.260986328125,0.6966292134831461,0.9438202247191011,True,heterogeneous,0.215128974968128,0.6110182341564907,1.699040466480041,11.170458413241954,0.03708741440473042,0.07524345505002143
17c32182cf9045b00f67,noise,89,0.2774761875024003,0.4121360189459297,0.1376953125,-0.5888514518737793,2.36590576171875,0.6741573033707865,0.797752808988764,True,heterogeneous,0.15219150205676474,0.4128893560238099,0.33228819557790007,11.170458413241954,0.024840179090006527,0.03689517508586447
17c32182cf9045b00f67,restore,89,0.34431092926625456,0.4595458721846677,0.17154693603515625,-0.5263671875,2.676513671875,0.6853932584269663,0.7303370786516854,True,heterogeneous,0.21433573914377876,0.4870526146352958,0.3233913089452165,11.170458413241954,0.03082334820369531,0.04113939242098621
1bb987e20db5b18cd860,noise,89,0.3199455872010649,0.39244849494334016,0.30980682373046875,-0.531005859375,1.537109375,0.797752808988764,0.797752808988764,True,coherent,0.2395450277274914,0.40109350641122027,0.662763756312681,11.170458413241954,0.028642117929716052,0.035132711695888365
1bb987e20db5b18cd860,restore,89,0.34102329511320995,0.3973745603239938,0.29852294921875,-0.42657470703125,1.639678955078125,0.8314606741573034,0.8426966292134831,True,coherent,0.2623295001769334,0.42253377223282707,0.6546239745750856,11.170458413241954,0.030529033142359302,0.03557370213678326
269bd10623c6c6b4dca8,noise,89,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,below_rule,0.0,0.0,0.0,11.170458413241954,0.0,0.0
269bd10623c6c6b4dca8,restore,89,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,below_rule,0.0,0.0,0.0,11.170458413241954,0.0,0.0
26a6c39d6c6f65e1017a,noise,89,-0.18163936593559352,0.8996762318557567,-0.30364990234375,-4.476318359375,5.897216796875,0.5955056179775281,0.9550561797752809,True,heterogeneous,-0.4407894150594647,0.08962812062059894,1.1461800028768818,11.170458413241954,-0.016260690404636412,0.0805406724212178
26a6c39d6c6f65e1017a,restore,89,-0.21960356530178798,0.8076701700017693,-0.22355937957763672,-3.4483642578125,2.70318603515625,0.5955056179775281,0.898876404494382,True,heterogeneous,-0.4315049975105886,-0.00362907031948661,1.1493034898565058,11.170458413241954,-0.01965931541730286,0.07230412039709323
275208eb34e004bca5ab,noise,89,-0.18055573474155384,0.3215591184208902,-0.242919921875,-0.8537750244140625,0.98486328125,0.8876404494382022,0.8876404494382022,True,coherent,-0.24792893977647418,-0.10847272819347602,0.18913184390978866,11.170458413241954,-0.0161636817453718,0.02878656421474161
275208eb34e004bca5ab,restore,89,-0.09879860181487009,0.2818048027124298,-0.18585205078125,-0.6376953125,1.031982421875,0.8089887640449438,0.8539325842696629,True,heterogeneous,-0.1629301831963357,-0.027881482477938205,0.18129524488127632,11.170458413241954,-0.008844632705292548,0.02522768469182661
2c8e730a914408f0c601,noise,89,-0.9998382236180681,1.007107064965066,-0.8762741088867188,-4.418212890625,0.31208038330078125,0.9775280898876404,0.9550561797752809,True,coherent,-1.1495845489287646,-0.8615610101249781,0.5140758793005783,11.170458413241954,-0.08950735830436607,0.09015807836240604
2c8e730a914408f0c601,restore,89,-0.9316350422548444,0.9564235451516141,-0.8211669921875,-2.5645904541015625,0.86248779296875,0.9550561797752809,0.9662921348314607,True,coherent,-1.06478981275237,-0.8029812193988415,0.4475327609630113,11.170458413241954,-0.08340168395868544,0.08562079636927232
39e6b92108cfb36e79ff,noise,89,-0.15227234229612885,0.1754462852906645,-0.145751953125,-0.5481338500976562,0.18609619140625,0.8426966292134831,0.7191011235955056,True,coherent,-0.18232823007562188,-0.12226943514320292,0.2660476384537943,11.170458413241954,-0.01363170038891318,0.015706274424931634
39e6b92108cfb36e79ff,restore,89,-0.14607308419902673,0.16014014469103866,-0.1304931640625,-0.513671875,0.12255859375,0.8539325842696629,0.6179775280898876,True,coherent,-0.17477321410447025,-0.11806055160050984,0.2479383275749978,11.170458413241954,-0.013076731392318264,0.014336040542544025
3ee968eb1bd7eecd2901,noise,89,1.4533625399128776,1.4623758551779757,1.26300048828125,-0.401092529296875,5.062713623046875,0.9887640449438202,1.0,True,coherent,1.2698948920442819,1.647200833813528,0.9740981412737557,11.170458413241954,0.1301076899574683,0.13091457853192587
3ee968eb1bd7eecd2901,restore,89,1.5187006040235584,1.5269081180685022,1.3587646484375,-0.365234375,5.4488525390625,0.9887640449438202,0.9887640449438202,True,coherent,1.3187121371204933,1.7290444283421789,0.9229186324591048,11.170458413241954,0.13595687373252505,0.13669162549841624
3fcf54916804858cccfe,noise,89,0.3001340748219008,0.3442161163587249,0.27191162109375,-0.4398193359375,1.24029541015625,0.8314606741573034,0.7640449438202247,True,coherent,0.231256536419472,0.3700795963908847,0.4451075243146232,11.170458413241954,0.026868554872028227,0.03081486037767939
3fcf54916804858cccfe,restore,89,0.2975315779782413,0.3643662742014681,0.25543212890625,-0.628662109375,1.5537109375,0.7865168539325843,0.7303370786516854,True,coherent,0.21658566801735524,0.3839265078641055,0.4489152886894312,11.170458413241954,0.026635574563845497,0.03261873960065347
43b85772a4b05c744b63,noise,89,3.001819069465894,3.062396204873417,2.838226318359375,-1.5019569396972656,10.0689697265625,0.9662921348314607,0.9775280898876404,True,coherent,2.632123011819432,3.3870373566498913,3.5050896098104753,11.170458413241954,0.2687283689188087,0.27415134559232746
43b85772a4b05c744b63,restore,89,2.818131478984704,2.8893586490931136,2.8419189453125,-1.7491455078125,5.9322509765625,0.9775280898876404,0.9887640449438202,True,coherent,2.50375672726149,3.127334538470493,3.7549620210454706,11.170458413241954,0.2522843176824298,0.2586607050672102
4a9bd8897528889fa3a1,noise,89,-0.6329687847180313,0.9539656156904242,-0.7174272537231445,-4.450439453125,4.260986328125,0.7752808988764045,0.9438202247191011,True,coherent,-0.8493484992659494,-0.4107370983348808,1.161828930458326,11.170458413241954,-0.05666453079201138,0.08540075799929135
