id,direction,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,descriptive_ci_low,descriptive_ci_high,mean_absolute_order_difference,original_gap,normalized_mean,normalized_mean_absolute,panel,group,kind,head,cohort,source,site
G1:I1:conditional:L18H18,noise,89,2.361732126621718,2.479065013735482,2.1525402069091797,-1.59033203125,9.197998046875,0.9213483146067416,0.9887640449438202,True,coherent,2.0107603122679034,2.7343345233563627,2.718633271335216,11.170458413241954,0.21142660750806935,0.22193046355167384,G1,I1,conditional,594,,,
G1:I1:conditional:L18H18,restore,89,2.157787817247798,2.2361447851309615,2.0863037109375,-1.74267578125,5.479278564453125,0.9325842696629213,0.9775280898876404,True,coherent,1.8618523340211826,2.4528387861975123,2.843451556195034,11.170458413241954,0.19316913750736145,0.2001837975136398,G1,I1,conditional,594,,,
G1:I1:conditional:L18H19,noise,89,2.7840477134404558,2.8158586882473378,2.562408447265625,-0.68719482421875,8.9951171875,0.9662921348314607,1.0,True,coherent,2.473931155177984,3.1111812158916763,1.606674178262775,11.170458413241954,0.24923307624869923,0.25208085327181334,G1,I1,conditional,595,,,
G1:I1:conditional:L18H19,restore,89,2.596969016482321,2.599666393205021,2.542938232421875,-0.12003326416015625,5.2646484375,0.9887640449438202,1.0,True,coherent,2.357713545942574,2.836404070459055,1.708808494417855,11.170458413241954,0.2324854469180745,0.23272692104768608,G1,I1,conditional,595,,,
G1:I1:whole,noise,89,2.957198349277625,3.0405095373646596,2.722137451171875,-1.7819862365722656,10.2979736328125,0.9325842696629213,0.9662921348314607,True,coherent,2.565839147701692,3.367221952489253,3.450474873017729,11.170458413241954,0.2647338399086676,0.2721920108274433,G1,I1,whole,,,,
G1:I1:whole,restore,89,2.7718799475873452,2.865280367015453,2.8748397827148438,-1.7522964477539062,5.9893798828125,0.9438202247191011,0.9887640449438202,True,coherent,2.4329454745804324,3.1023296365242325,3.7490507859862254,11.170458413241954,0.24814379545081483,0.2565051729317414,G1,I1,whole,,,,
G1:I2:conditional:L18H18,noise,89,2.2107906341552734,2.3451639882634194,1.9907073974609375,-1.862548828125,9.607269287109375,0.9213483146067416,1.0,True,coherent,1.8570382257525841,2.586643648683355,2.7320029012272866,11.170458413241954,0.19791404724576966,0.20994339726320976,G1,I2,conditional,594,,,
G1:I2:conditional:L18H18,restore,89,1.9915183474508564,2.1174069576049117,2.0217971801757812,-2.1380615234375,5.27496337890625,0.9213483146067416,0.9662921348314607,True,coherent,1.6901431135916978,2.2889650249749085,2.8349756926633,11.170458413241954,0.178284388498329,0.18955416861807964,G1,I2,conditional,594,,,
G1:I2:conditional:L18H19,noise,89,2.680781814489472,2.722155420967702,2.502685546875,-0.77001953125,9.726806640625,0.9550561797752809,0.9887640449438202,True,coherent,2.3637459937106358,3.0194231510162353,1.5978148599688926,11.170458413241954,0.23998852288027453,0.24369236429372843,G1,I2,conditional,595,,,
G1:I2:conditional:L18H19,restore,89,2.4973933348494968,2.5068469261855224,2.4727783203125,-0.420684814453125,5.128448486328125,0.9887640449438202,1.0,True,coherent,2.2623791094576373,2.729425941022594,1.6806954694597909,11.170458413241954,0.2235712485970116,0.22441755149580928,G1,I2,conditional,595,,,
G1:I2:whole,noise,89,3.1530666083432317,3.2577913637911338,2.9647216796875,-2.1848182678222656,10.6378173828125,0.9325842696629213,0.9775280898876404,True,coherent,2.7252648012021954,3.599372428588653,2.9995802868618053,11.170458413241954,0.2822683270191891,0.29164347990671574,G1,I2,whole,,,,
G1:I2:whole,restore,89,2.9116767551122087,3.0487994344046947,3.0442657470703125,-2.317169189453125,6.323577880859375,0.9325842696629213,1.0,True,coherent,2.538806679275598,3.2744646029525923,3.2496535590525424,11.170458413241954,0.26065866300174206,0.2729341376707077,G1,I2,whole,,,,
G1:I3:conditional:L18H18,noise,89,2.110008909461204,2.2146435694748097,1.96600341796875,-1.5390625,8.376220703125,0.9213483146067416,0.9775280898876404,True,coherent,1.8018911886750981,2.435721995187609,2.5524648280625932,11.170458413241954,0.18889188172975122,0.19825896910814989,G1,I3,conditional,594,,,
G1:I3:conditional:L18H18,restore,89,1.9230233846085796,1.9908072118009075,1.8714599609375,-1.777587890625,4.8255615234375,0.9550561797752809,1.0,True,coherent,1.670094889603304,2.1735101055563164,2.6098310277703103,11.170458413241954,0.17215259333752522,0.1782207263258701,G1,I3,conditional,594,,,
G1:I3:conditional:L18H19,noise,89,2.456547938036115,2.47954859090655,2.3350257873535156,-0.540130615234375,8.1875,0.9662921348314607,1.0,True,coherent,2.1909252924195837,2.7366593810279713,1.5240193431297044,11.170458413241954,0.2199146934850959,0.22197375427020827,G1,I3,conditional,595,,,
G1:I3:conditional:L18H19,restore,89,2.2910638552033498,2.295811395966605,2.313323974609375,-0.21126556396484375,4.6834716796875,0.9887640449438202,1.0,True,coherent,2.0877500405472316,2.492318610127053,1.567293338561326,11.170458413241954,0.20510025376285557,0.20552526235136856,G1,I3,conditional,595,,,
G1:I3:whole,noise,89,3.001819069465894,3.062396204873417,2.838226318359375,-1.5019569396972656,10.0689697265625,0.9662921348314607,0.9775280898876404,True,coherent,2.632123011819432,3.3870373566498913,3.5050896098104753,11.170458413241954,0.2687283689188087,0.27415134559232746,G1,I3,whole,,,,
G1:I3:whole,restore,89,2.818131478984704,2.8893586490931136,2.8419189453125,-1.7491455078125,5.9322509765625,0.9775280898876404,0.9887640449438202,True,coherent,2.50375672726149,3.127334538470493,3.7549620210454706,11.170458413241954,0.2522843176824298,0.2586607050672102,G1,I3,whole,,,,
G1:O1:whole,noise,89,3.5666550103198276,3.611032455155019,3.352294921875,-1.0814857482910156,10.607421875,0.9775280898876404,1.0,True,coherent,3.204236786419086,3.947756156626712,3.414787975589881,11.170458413241954,0.31929352210754014,0.32326627266024655,G1,O1,whole,,,,
G1:O1:whole,restore,89,3.3878323630000766,3.4028291809424926,3.332275390625,-0.6673583984375,6.251209259033203,0.9887640449438202,0.9887640449438202,True,coherent,3.0865002519628972,3.69219764913066,3.5951196477654275,11.170458413241954,0.3032849895384768,0.3046275322871825,G1,O1,whole,,,,
G1:O3:conditional:L18H19,noise,89,2.127903188212534,2.127903188212534,1.90869140625,0.01397705078125,6.2021484375,1.0,0.9775280898876404,True,coherent,1.8903455415468537,2.373836109611425,1.2595930635259394,11.170458413241954,0.19049381050378592,0.19049381050378592,G1,O3,conditional,595,,,
G1:O3:conditional:L18H19,restore,89,2.0283685534187916,2.050610038671601,2.06005859375,-0.53955078125,4.1707763671875,0.9775280898876404,1.0,True,coherent,1.8256573173437227,2.2320072050844684,1.3722231146994601,11.170458413241954,0.18158328677131763,0.18357438547380628,G1,O3,conditional,595,,,
G1:O3:whole,noise,89,3.0719727023263994,3.0938172018929815,3.16400146484375,-0.827239990234375,8.134429931640625,0.9775280898876404,1.0,True,coherent,2.8023515007469095,3.3460835488994465,3.1883038188634294,11.170458413241954,0.27500865127296364,0.27696421108604047,G1,O3,whole,,,,
G1:O3:whole,restore,89,2.935486118445236,2.938801218954365,2.92718505859375,-0.14752197265625,5.9621124267578125,0.9887640449438202,1.0,True,coherent,2.6969827732343354,3.175119620226742,3.4982744281211597,11.170458413241954,0.2627901210361592,0.2630868949362526,G1,O3,whole,,,,
