pair_id,config_id,direction,query_mother_mass,child_last_mass,entropy,head_output_norm
000/direct/base/0/order0,cec41ab38193f8498178,noise,0.01836421457119286,0.0007380718016065657,3.2841756176207375,2.030098639577604
000/direct/base/0/order0,cec41ab38193f8498178,restore,0.02000374480849132,0.0004965518019162118,3.1053085253741797,1.7075846407329194
000/direct/base/0/order1,cec41ab38193f8498178,noise,0.017841081833466887,0.00041663466254249215,3.4361319096239633,2.6554173495020104
000/direct/base/0/order1,cec41ab38193f8498178,restore,0.015824406553292647,0.0002204576594522223,3.185826681361829,2.367686915049652
006/direct/base/0/order0,cec41ab38193f8498178,noise,0.024384961929172277,0.00012363764108158648,3.0470448889317754,1.1635726261630768
006/direct/base/0/order0,cec41ab38193f8498178,restore,0.039606943319085985,0.00025716429809108377,3.338102879267818,2.9990176104512973
006/direct/base/0/order1,cec41ab38193f8498178,noise,0.017657068907283247,6.417500844690949e-05,3.25163371927344,2.984636566840121
006/direct/base/0/order1,cec41ab38193f8498178,restore,0.03376987038063817,0.00011512514902278781,3.291003721271866,3.3884253070019206
014/direct/base/0/order0,cec41ab38193f8498178,noise,0.0028003925690427423,5.142575901118107e-05,1.9487502847484588,7.434905331064706
014/direct/base/0/order0,cec41ab38193f8498178,restore,0.4276425034040585,0.00016355814295820892,1.593098765396348,7.490510873271286
014/direct/base/0/order1,cec41ab38193f8498178,noise,0.005341485913959332,4.302122033550404e-05,2.5238012112026667,5.9832660168651195
014/direct/base/0/order1,cec41ab38193f8498178,restore,0.5220901208231226,6.472182576544583e-05,1.7383848980672678,6.914343973830643
024/direct/base/0/order0,cec41ab38193f8498178,noise,0.024771218246314675,0.00013676185335498303,3.0115201041353443,1.7288820535225313
024/direct/base/0/order0,cec41ab38193f8498178,restore,0.02445420261938125,0.0005214153206907213,3.37713087703104,2.2265832817592752
024/direct/base/0/order1,cec41ab38193f8498178,noise,0.019037642545299605,0.0002459953830111772,3.0207988805671535,1.7455602824758505
024/direct/base/0/order1,cec41ab38193f8498178,restore,0.011123380798380822,0.0002652798139024526,2.9428727129360754,1.3711204584769776
030/direct/base/0/order0,cec41ab38193f8498178,noise,0.013367963139899075,0.00012216177128721029,2.800151452800553,0.6933571862934875
030/direct/base/0/order0,cec41ab38193f8498178,restore,0.01825785601977259,7.20564421499148e-05,2.726937110018315,0.7977025445761962
030/direct/base/0/order1,cec41ab38193f8498178,noise,0.010202911624219269,4.094048563274555e-05,2.629441433858655,0.5871962869892827
030/direct/base/0/order1,cec41ab38193f8498178,restore,0.016719298029784113,3.229745925636962e-05,2.6941154830341745,0.6414776046269164
036/direct/base/0/order0,cec41ab38193f8498178,noise,0.02459286991506815,0.00018810821347869933,3.421678741697101,1.6951619026953848
036/direct/base/0/order0,cec41ab38193f8498178,restore,0.03292202530428767,0.00011808144336100668,2.942955219544187,1.1408494108677607
036/direct/base/0/order1,cec41ab38193f8498178,noise,0.012512380024418235,0.0001338404545094818,3.318673328332614,2.2978655787218867
036/direct/base/0/order1,cec41ab38193f8498178,restore,0.010768972570076585,0.00010148988076252863,3.0373054973141285,1.2985180576813513
044/direct/base/0/order0,cec41ab38193f8498178,noise,0.9066872905241325,0.00017808361735660583,1.2042652144232324,7.656361001381466
044/direct/base/0/order0,cec41ab38193f8498178,restore,0.020091608515940607,0.00010830999963218346,2.243201700874425,5.3429554367175545
044/direct/base/0/order1,cec41ab38193f8498178,noise,0.8781224357953761,0.0001277443370781839,1.357738995659645,7.547251849048462
044/direct/base/0/order1,cec41ab38193f8498178,restore,0.019444102654233575,0.00013343188038561493,2.566593115387212,5.177784183617351
050/direct/base/0/order0,cec41ab38193f8498178,noise,0.023081816172634717,0.005635904148221016,2.7883913787577423,0.6888255686150808
050/direct/base/0/order0,cec41ab38193f8498178,restore,0.040301264729350805,0.01260585617274046,3.053735509419649,1.1282780241507415
050/direct/base/0/order1,cec41ab38193f8498178,noise,0.012617420063179452,0.001628200407139957,2.3742270701537094,0.4810862534844907
050/direct/base/0/order1,cec41ab38193f8498178,restore,0.011180928151588887,0.0018863825825974345,2.514946878359825,0.5648219657409682
056/direct/base/0/order0,cec41ab38193f8498178,noise,0.03717817220604047,0.00011537447426235303,2.956984274236132,2.5640233123463387
056/direct/base/0/order0,cec41ab38193f8498178,restore,0.008544382639229298,6.830797792645171e-05,2.808468050371607,3.660537139850298
056/direct/base/0/order1,cec41ab38193f8498178,noise,0.03117605271108914,5.649593731504865e-05,3.138291028286422,1.9447003744460292
056/direct/base/0/order1,cec41ab38193f8498178,restore,0.014703635592013597,5.8131783589487895e-05,3.2261708341904303,1.6913350802108027
062/direct/base/0/order0,cec41ab38193f8498178,noise,0.010366818984039128,0.00016708706971257925,3.1269715643047595,2.2029771329949743
062/direct/base/0/order0,cec41ab38193f8498178,restore,0.03892982818069868,0.0001426252565579489,2.9697709388320463,1.6791824809145215
062/direct/base/0/order1,cec41ab38193f8498178,noise,0.007660667994059622,0.00011680485476972535,3.2315542568557616,1.8727728467907268
062/direct/base/0/order1,cec41ab38193f8498178,restore,0.0328674045013031,7.877861935412511e-05,3.0009346093076985,1.3821757469444362
068/direct/base/0/order0,cec41ab38193f8498178,noise,0.04205861687660217,0.00024199942708946764,3.4140370274936918,2.4867340121718526
068/direct/base/0/order0,cec41ab38193f8498178,restore,0.04702459916006774,0.00011432202154537663,3.2721254455066338,3.2189014721511446
068/direct/base/0/order1,cec41ab38193f8498178,noise,0.01608048794150818,0.00016791740199550986,3.1056326222186965,4.782126527247392
