id,direction,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,descriptive_ci_low,descriptive_ci_high,mean_absolute_order_difference,original_gap,normalized_mean,normalized_mean_absolute,panel,group,kind,members
G1:I1:sign_split,noise,20,2.284623682498932,2.284623682498932,1.8819122314453125,0.76715087890625,4.3428802490234375,1.0,1.0,True,coherent,1.8100898844003677,2.788323089778423,1.2756554365158081,11.200063323974609,0.20398310406053838,0.20398310406053838,G1,I1,sign_split,
G1:I1:top_pair_interaction,noise,20,-0.20898380279541015,0.6433271408081055,-0.23140716552734375,-1.4987030029296875,1.2605133056640625,0.65,0.8,True,heterogeneous,-0.5375075674057006,0.13472006797790503,0.8968959808349609,11.200063323974609,-0.018659162609202754,0.05743959852718097,G1,I1,pair_interaction,"['L18H19', 'L18H18']"
G1:I2:sign_split,noise,20,1.7539096355438233,1.7539096355438233,1.580047607421875,0.47216796875,4.056068420410156,1.0,1.0,True,coherent,1.3972127544879913,2.1550610196590423,0.895712947845459,11.200063323974609,0.1565981892075059,0.1565981892075059,G1,I2,sign_split,
G1:I2:top_pair_interaction,noise,20,-0.20898380279541015,0.6433271408081055,-0.23140716552734375,-1.4987030029296875,1.2605133056640625,0.65,0.8,True,heterogeneous,-0.5375075674057006,0.13472006797790503,0.8968959808349609,11.200063323974609,-0.018659162609202754,0.05743959852718097,G1,I2,pair_interaction,"['L18H19', 'L18H18']"
G1:I3:sign_split,noise,20,1.8306315422058106,1.8306315422058106,1.4163360595703125,0.576995849609375,3.999736785888672,1.0,1.0,True,coherent,1.3980174589157104,2.3041260313987726,1.1186342239379883,11.200063323974609,0.16344832071504461,0.16344832071504461,G1,I3,sign_split,
G1:I3:top_pair_interaction,noise,20,-0.20898380279541015,0.6433271408081055,-0.23140716552734375,-1.4987030029296875,1.2605133056640625,0.65,0.8,True,heterogeneous,-0.5375075674057006,0.13472006797790503,0.8968959808349609,11.200063323974609,-0.018659162609202754,0.05743959852718097,G1,I3,pair_interaction,"['L18H19', 'L18H18']"
G1:I4:sign_split,noise,20,0.2834287405014038,0.2834287405014038,0.255523681640625,0.03118896484375,0.5339889526367188,1.0,0.85,True,coherent,0.21545147418975832,0.3522643566131592,0.26876416206359866,11.200063323974609,0.025305994466540426,0.025305994466540426,G1,I4,sign_split,
G1:I4:top_pair_interaction,noise,20,0.10359995365142823,0.12165720462799072,0.09033203125,-0.180572509765625,0.5396847724914551,0.95,0.45,True,coherent,0.04695354044437409,0.16725714147090912,0.3143295764923096,11.200063323974609,0.009249943563235438,0.010862188999197352,G1,I4,pair_interaction,"['L16H1', 'L16H21']"
G1:O1:sign_split,noise,20,0.3422431945800781,0.3422431945800781,0.3271636962890625,0.067474365234375,0.6480865478515625,1.0,0.95,True,coherent,0.2620145034790039,0.4232489204406737,0.35074615478515625,11.200063323974609,0.030557255319037337,0.030557255319037337,G1,O1,sign_split,
G1:O1:top_pair_interaction,noise,20,-0.20898380279541015,0.6433271408081055,-0.23140716552734375,-1.4987030029296875,1.2605133056640625,0.65,0.8,True,heterogeneous,-0.5375075674057006,0.13472006797790503,0.8968959808349609,11.200063323974609,-0.018659162609202754,0.05743959852718097,G1,O1,pair_interaction,"['L18H19', 'L18H18']"
G1:O2:top_pair_interaction,noise,20,0.10359995365142823,0.12165720462799072,0.09033203125,-0.180572509765625,0.5396847724914551,0.95,0.45,True,coherent,0.04695354044437409,0.16725714147090912,0.3143295764923096,11.200063323974609,0.009249943563235438,0.010862188999197352,G1,O2,pair_interaction,"['L16H21', 'L16H1']"
G1:O3:sign_split,noise,20,1.6574661254882812,1.6883895874023438,1.4735641479492188,-0.309234619140625,3.34716796875,0.95,1.0,True,coherent,1.2635312271118164,2.0594744634628293,0.9999053955078125,11.200063323974609,0.147987210209816,0.1507482179844657,G1,O3,sign_split,
G1:O3:top_pair_interaction,noise,20,-0.20898380279541015,0.6433271408081055,-0.23140716552734375,-1.4987030029296875,1.2605133056640625,0.65,0.8,True,heterogeneous,-0.5375075674057006,0.13472006797790503,0.8968959808349609,11.200063323974609,-0.018659162609202754,0.05743959852718097,G1,O3,pair_interaction,"['L18H19', 'L18H18']"
G1:O4:top_pair_interaction,noise,20,-0.20898380279541015,0.6433271408081055,-0.23140716552734375,-1.4987030029296875,1.2605133056640625,0.65,0.8,True,heterogeneous,-0.5375075674057006,0.13472006797790503,0.8968959808349609,11.200063323974609,-0.018659162609202754,0.05743959852718097,G1,O4,pair_interaction,"['L18H19', 'L18H18']"
