id,direction,donor_mean,mean_replacement_mean,donor_retained,mean_retained,same_mean_sign,donor_classification,mean_classification
G2:L22H5:change,restore,0.10685044192196277,0.08116874534092593,True,False,True,coherent,below_rule
G2:L22H5:conditional,noise,1.0878861151384505,0.3043331349833628,True,True,True,coherent,coherent
G2:L22H5:conditional,restore,1.1145947167042936,0.2807041902220651,True,True,True,coherent,coherent
G2:L23H15:change,noise,0.014025009080265344,7.726369279154231e-05,True,False,True,heterogeneous,below_rule
G2:L23H15:change,restore,0.023416961177011555,0.004388720801707064,True,False,True,heterogeneous,below_rule
G2:L23H15:conditional,noise,-0.9328657094012486,-0.3942497071255459,True,True,True,coherent,coherent
G2:L23H15:conditional,restore,-0.9019715946711852,-0.34622964162505077,True,True,True,coherent,coherent
G2:L26H23:change,noise,0.0008357977599240421,-0.0006010130550084489,False,False,False,below_rule,below_rule
G2:L26H23:change,restore,-0.006668993596280559,0.0025212041447671613,False,False,False,below_rule,below_rule
G2:L26H23:conditional,noise,-0.3666035178002347,-0.16742899176779757,True,True,True,coherent,coherent
G2:L26H23:conditional,restore,-0.35367338309127294,-0.14526940195747975,True,True,True,coherent,coherent
G2:L6H24:change,noise,-0.005318163486009234,-0.0006194757611564036,False,False,True,below_rule,below_rule
G2:L6H24:change,restore,-0.010834728733877117,0.005729061833928141,False,False,False,below_rule,below_rule
G2:L6H24:conditional,noise,0.09603064381674434,-0.06489704432112448,True,True,False,heterogeneous,heterogeneous
G2:L6H24:conditional,restore,0.1034898597202944,-0.03636326682701539,True,True,False,heterogeneous,heterogeneous
G2:L8H15:change,noise,0.004591337750467022,-0.013123753365505947,False,False,False,below_rule,below_rule
G2:L8H15:change,restore,0.01411650154028046,-0.007801355940572331,False,False,False,below_rule,below_rule
G2:L8H15:conditional,noise,0.2840294047687831,0.13010552224148525,True,True,True,coherent,heterogeneous
G2:L8H15:conditional,restore,0.3162273021226519,0.13776109191808808,True,True,True,coherent,heterogeneous
G2group:negative:change,noise,-0.14309273810868853,-0.04006357139415955,True,False,True,heterogeneous,below_rule
G2group:negative:change,restore,-0.14209850182693995,-0.024687839358040455,True,False,True,heterogeneous,below_rule
G2group:negative:intact,noise,-2.169887564155493,-0.9998382236180681,True,True,True,coherent,coherent
