layer,head,fact_block,position,distance,evals,qk_passes,scored,families,frequency,strength_first,strength_last
0,10,test,test_other,previous,2136,0,0,0,0.0,,
0,10,test,test_other,self,2136,0,0,0,0.0,,
0,11,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
0,11,demo,demo,distance_ge_2,1000158,0,0,0,0.0,,
0,11,demo,demo,previous,8544,0,0,0,0.0,,
0,11,demo,demo,self,8544,0,0,0,0.0,,
0,11,demo,test_other,distance_ge_2,451008,0,0,0,0.0,,
0,11,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
0,11,test,test_other,distance_ge_2,57551,0,0,0,0.0,,
0,11,test,test_other,previous,2136,0,0,0,0.0,,
0,11,test,test_other,self,2136,0,0,0,0.0,,
0,12,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
0,12,demo,demo,distance_ge_2,1000158,0,0,0,0.0,,
0,12,demo,demo,previous,8544,0,0,0,0.0,,
0,12,demo,demo,self,8544,0,0,0,0.0,,
0,12,demo,test_other,distance_ge_2,451008,0,0,0,0.0,,
0,12,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
0,12,test,test_other,distance_ge_2,57551,0,0,0,0.0,,
0,12,test,test_other,previous,2136,0,0,0,0.0,,
0,12,test,test_other,self,2136,0,0,0,0.0,,
0,13,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
0,13,demo,demo,distance_ge_2,1000158,0,0,0,0.0,,
0,13,demo,demo,previous,8544,0,0,0,0.0,,
0,13,demo,demo,self,8544,0,0,0,0.0,,
0,13,demo,test_other,distance_ge_2,451008,0,0,0,0.0,,
0,13,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
0,13,test,test_other,distance_ge_2,57551,0,0,0,0.0,,
0,13,test,test_other,previous,2136,0,0,0,0.0,,
0,13,test,test_other,self,2136,0,0,0,0.0,,
0,14,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
0,14,demo,demo,distance_ge_2,1000158,0,0,0,0.0,,
0,14,demo,demo,previous,8544,0,0,0,0.0,,
