config_id,comparator_config_id,source,site,receiver,channel,registry_section,is_direct_comparator
direct_chain|src=L15H25|site=query_child_last|recv=L18H18|ch=Q|med=none|live=none,direct_chain|src=L15H25|site=query_child_last|recv=L18H18|ch=Q|med=none|live=none,L15H25,query_child_last,L18H18,Q,direct_comparator_chain,True
direct_chain|src=L15H25|site=query_child_last|recv=L18H19|ch=Q|med=none|live=none,direct_chain|src=L15H25|site=query_child_last|recv=L18H19|ch=Q|med=none|live=none,L15H25,query_child_last,L18H19,Q,direct_comparator_chain,True
direct_chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=none,direct_chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=none,L15H25,query_sentence,L18H18,Q,direct_comparator_chain,True
direct_chain|src=L15H25|site=query_sentence|recv=L18H19|ch=Q|med=none|live=none,direct_chain|src=L15H25|site=query_sentence|recv=L18H19|ch=Q|med=none|live=none,L15H25,query_sentence,L18H19,Q,direct_comparator_chain,True
direct_chain|src=L17H1|site=query_writer_union|recv=L21H18|ch=Q|med=none|live=none,direct_chain|src=L17H1|site=query_writer_union|recv=L21H18|ch=Q|med=none|live=none,L17H1,query_writer_union,L21H18,Q,direct_comparator_chain,True
direct_chain|src=L17H1|site=query_writer_union|recv=L21H6|ch=Q|med=none|live=none,direct_chain|src=L17H1|site=query_writer_union|recv=L21H6|ch=Q|med=none|live=none,L17H1,query_writer_union,L21H6,Q,direct_comparator_chain,True
direct_chain|src=L17H1|site=query_writer_union|recv=L22H5|ch=Q|med=none|live=none,direct_chain|src=L17H1|site=query_writer_union|recv=L22H5|ch=Q|med=none|live=none,L17H1,query_writer_union,L22H5,Q,direct_comparator_chain,True
direct_chain|src=L17H1|site=query_writer_union|recv=L27H6|ch=Q|med=none|live=none,direct_chain|src=L17H1|site=query_writer_union|recv=L27H6|ch=Q|med=none|live=none,L17H1,query_writer_union,L27H6,Q,direct_comparator_chain,True
direct_l13_control|src=L13H18|site=fact0_mother|recv=L16H1|ch=K|med=none|live=none,direct_l13_control|src=L13H18|site=fact0_mother|recv=L16H1|ch=K|med=none|live=none,L13H18,fact0_mother,L16H1,K,direct_comparator_l13_control,True
direct_l13_control|src=L13H18|site=fact0_mother|recv=L16H1|ch=V|med=none|live=none,direct_l13_control|src=L13H18|site=fact0_mother|recv=L16H1|ch=V|med=none|live=none,L13H18,fact0_mother,L16H1,V,direct_comparator_l13_control,True
