layer,head,ri_first,ri_last,first_order_mean,final_estimate_mean,exact_subset_mean,exact_subset_mean_abs,exact_all_pairs_mean
0,0,0.0,0.0,1.4516031676955688e-06,1.4516031676955688e-06,-0.0007732391357421875,0.005688095092773437,
0,1,0.0,0.0,-0.04011024639345287,-0.04011024639345287,-0.009851646423339844,0.39114742279052733,-0.07954119028670065
0,2,0.04016753333333333,0.0313247,-0.0008738298921354031,-0.0008738298921354031,-0.003145599365234375,0.008264923095703125,
0,3,0.0,0.0,-0.0005335315181991462,-0.0005335315181991462,-0.00067596435546875,0.00584259033203125,
0,4,0.0,0.0,-0.000418316081082553,-0.000418316081082553,-0.005298233032226563,0.021613693237304686,
0,5,0.0,0.0,0.00016810575217594592,0.00016810575217594592,-0.00231475830078125,0.0099945068359375,
0,6,0.0,0.0,0.00044316462650855875,0.00044316462650855875,-0.0022806167602539063,0.007234764099121094,
0,7,0.002624126666666667,0.008304176666666666,0.003928474546933358,0.003928474546933358,0.14249582290649415,0.17711324691772462,
0,8,0.0,0.0,1.1593371696976697e-05,1.1593371696976697e-05,0.0002902984619140625,0.005160140991210938,
0,9,0.0,0.0,0.0003289835101773104,0.0003289835101773104,0.00059814453125,0.010120391845703125,
0,10,0.0,0.0,-0.0009366343135676043,-0.0009366343135676043,-0.0013822555541992188,0.008056449890136718,
0,11,0.0,0.0,5.460931071682128e-05,5.460931071682128e-05,0.0011247634887695313,0.006280708312988281,
0,12,0.0,0.0,0.0022916308531584742,0.0022916308531584742,-0.0032102584838867186,0.01220111846923828,
0,13,0.0,0.0,-0.006719094853824674,-0.006719094853824674,0.0002227783203125,0.0101715087890625,
0,14,0.018132,0.028844533333333335,0.003047538439184362,0.003047538439184362,-0.010683822631835937,0.04916191101074219,
0,15,0.0,0.0,0.002415020972048194,0.002415020972048194,0.0021396636962890624,0.02113037109375,
0,16,0.007237075,0.0025125333333333335,-0.0219297939676038,-0.0219297939676038,-0.01354389190673828,0.022923088073730467,
0,17,0.0,0.0,0.0004525985101547244,0.0004525985101547244,-0.000446319580078125,0.006200408935546875,
0,18,0.0,0.0,4.4334290149063134e-05,4.4334290149063134e-05,0.0007869720458984375,0.004760360717773438,
0,19,0.0,0.0,-4.201532073841846e-05,-4.201532073841846e-05,0.0006803512573242187,0.006047630310058593,
0,20,0.0,0.0,-6.202885307491955e-05,-6.202885307491955e-05,-0.00020008087158203126,0.006553459167480469,
0,21,0.0,0.0,-0.0001334762206435821,-0.0001334762206435821,0.0013200759887695313,0.006451606750488281,
0,22,0.0,0.0,0.00455494996064128,0.00455494996064128,-0.007736587524414062,0.026860427856445313,
0,23,0.0,0.0,-5.6530591720137014e-06,-5.6530591720137014e-06,0.0018972396850585938,0.006499290466308594,
0,24,0.01321759150918286,0.011124771466595688,-0.015951642191058463,-0.015951642191058463,-0.07824516296386719,0.13795433044433594,
0,25,0.0,0.0,7.086390810860046e-05,7.086390810860046e-05,0.0004991531372070312,0.005680274963378906,
0,26,0.0031067734184016117,0.022963612760241777,-0.02212352192636286,-0.02212352192636286,0.00041251182556152345,0.0769315242767334,
0,27,0.11357032592592593,0.04258592666666666,0.008513863112782703,0.008513863112782703,0.0002501487731933594,0.03960561752319336,-9.953573848424332e-05
0,28,0.0,0.0,-0.0002584686489570415,-0.0002584686489570415,0.0014226913452148437,0.006544303894042969,
0,29,0.0,0.0,-0.00013672338806490383,-0.00013672338806490383,-0.0003314971923828125,0.008410263061523437,
0,30,0.0,0.0,8.615098941549293e-05,8.615098941549293e-05,0.00010204315185546875,0.008144950866699219,
0,31,0.0,0.0,0.0002554521237716165,0.0002554521237716165,0.00097808837890625,0.00610809326171875,
1,0,0.0,0.0,-0.0010073460763440666,-0.0010073460763440666,-0.0036397933959960937,0.010032844543457032,
1,1,0.00739152,0.050610600000000006,-0.04311321666359567,-0.04311321666359567,-0.08409900665283203,0.1488718032836914,
1,2,0.0,0.0,-0.0026557503292321365,-0.0026557503292321365,-0.0005199432373046875,0.011100387573242188,
1,3,0.0,0.0,-0.0002387234932295664,-0.0002387234932295664,0.0002288818359375,0.006209564208984375,
1,4,0.0,0.0,0.0023129092651390567,0.0023129092651390567,0.005389022827148438,0.04259300231933594,
1,5,0.0,0.0,2.2931571171345617e-05,2.2931571171345617e-05,0.0009511947631835937,0.005982398986816406,
1,6,0.0,0.0,-0.001040525151366954,-0.001040525151366954,-0.0021762847900390625,0.008299636840820312,
1,7,0.0,0.0,5.066493284768226e-05,5.066493284768226e-05,-0.0014436721801757812,0.010639381408691407,
1,8,0.0,0.0,-0.00210239558795917,-0.00210239558795917,-0.005274367332458496,0.020498061180114747,
1,9,0.08093136201923076,0.006078481009615384,0.005258389176366579,0.005258389176366579,-0.0071380615234375,0.017694854736328126,0.004647351382823473
1,10,0.0,0.0,-0.02317854625518235,-0.02317854625518235,0.00260014533996582,0.08504033088684082,
1,11,0.0,0.0,0.02423487655004863,0.02423487655004863,0.003994369506835937,0.07529983520507813,
