head,rule,anchor,others,events,families,positive_fraction,negative_fraction,mean_contrast,family_mean_positive_fraction,label,self_event_fraction,final_site_events,answer_name_events,argmax_middle_events,label_last_anchor,label_same_role_controls,label_excluding_self,label_final_site_only,label_base_variant_only,scopeF_importance_178,scopeF_promotion,scopeF_suppression,scopeF_cross_check
L21H27,80% of events; support >= 20 events / 10 families,first,all_visible_names,1209,20,0.5516956162117452,0.44830438378825477,0.057134354265721526,0.75,neither,0.0,119,112,362,neither,neither,neither,neither,neither,0.0503837660457311,0.06350125087780899,-0.013117478134926785,not applicable (no label)
L22H5,80% of events; support >= 20 events / 10 families,first,all_visible_names,730,20,0.821917808219178,0.1780821917808219,0.21471589744907538,1.0,name_mover,0.0,157,223,266,neither,name_mover,name_mover,name_mover,name_mover,0.9838193989871593,0.9194178206197331,0.06440158238571682,consistent
L22H15,80% of events; support >= 20 events / 10 families,first,all_visible_names,0,0,,,,,insufficient,,0,0,0,insufficient,insufficient,insufficient,insufficient,insufficient,-7.61707177322902e-05,-0.00023385380091292134,0.00015768710147129016,not applicable (insufficient support)
L22H31,80% of events; support >= 20 events / 10 families,first,all_visible_names,366,20,0.7377049180327869,0.26229508196721313,0.04757398022762847,0.85,neither,0.0,54,86,197,neither,neither,neither,neither,neither,0.018732676345310853,0.0194482696190309,-0.0007155892554293857,not applicable (no label)
L23H10,80% of events; support >= 20 events / 10 families,first,all_visible_names,1227,20,0.632436837815811,0.36756316218418905,0.04788635509132659,0.9,neither,0.0,1,135,728,neither,neither,neither,insufficient,neither,0.03351576408643401,0.03357345066713483,-5.768524127060108e-05,not applicable (no label)
L23H15,80% of events; support >= 20 events / 10 families,first,all_visible_names,2428,20,0.6355024711696869,0.364497528830313,0.06027513658980758,0.85,neither,0.0,160,246,1107,neither,neither,neither,neither,neither,-0.953273545490222,-0.9417292562763343,-0.011544285195597102,not applicable (no label)
L23H17,80% of events; support >= 20 events / 10 families,first,all_visible_names,0,0,,,,,insufficient,,0,0,0,insufficient,insufficient,insufficient,insufficient,insufficient,-0.0005208963758490059,-0.0005692042661516853,4.830922973289918e-05,not applicable (insufficient support)
L24H17,80% of events; support >= 20 events / 10 families,first,all_visible_names,1688,20,0.681872037914692,0.3181279620853081,0.207830838192884,1.0,neither,0.0,150,202,713,neither,neither,neither,neither,neither,0.036341265346227065,0.08025094364466293,-0.043909674280145194,not applicable (no label)
L25H11,80% of events; support >= 20 events / 10 families,first,all_visible_names,0,0,,,,,insufficient,,0,0,0,insufficient,insufficient,insufficient,insufficient,insufficient,0.0001285692279258471,3.0174683988764044e-05,9.839856222774205e-05,not applicable (insufficient support)
L25H13,80% of events; support >= 20 events / 10 families,first,all_visible_names,0,0,,,,,insufficient,,0,0,0,insufficient,insufficient,insufficient,insufficient,insufficient,0.006118643149900972,0.005775023042485955,0.000343624795420786,not applicable (insufficient support)
