head,rule,anchor,others,events,families,positive_fraction,negative_fraction,mean_contrast,family_mean_positive_fraction,label,self_event_fraction,final_site_events,answer_name_events,argmax_middle_events,label_last_anchor,label_same_role_controls,label_excluding_self,label_final_site_only,label_base_variant_only,scopeF_importance_178,scopeF_promotion,scopeF_suppression,scopeF_cross_check
L15H29,80% of events; support >= 20 events / 10 families,first,all_visible_names,159,19,0.4968553459119497,0.5031446540880503,0.0018798781141045212,0.3157894736842105,neither,0.07407407407407407,0,18,32,neither,neither,neither,insufficient,neither,-0.00047079097019152695,-0.0007077334971910112,0.00023694788472036296,not applicable (no label)
L16H1,80% of events; support >= 20 events / 10 families,first,all_visible_names,669,20,0.5022421524663677,0.4977578475336323,0.003977057312517304,0.55,neither,0.031203566121842496,136,14,0,neither,neither,neither,neither,neither,0.8566900478320175,0.8052009839690133,0.05148906788129485,not applicable (no label)
L16H2,80% of events; support >= 20 events / 10 families,first,all_visible_names,191,20,0.39790575916230364,0.6020942408376964,-0.008121376824004488,0.25,neither,0.0,76,7,5,neither,neither,neither,neither,neither,0.00839988301309307,0.008215743504213483,0.00018414352717024556,not applicable (no label)
L16H4,80% of events; support >= 20 events / 10 families,first,all_visible_names,250,20,0.48,0.52,-0.0015123973131179814,0.5,neither,0.0,98,22,26,neither,neither,neither,neither,neither,0.020945575799834863,0.020252013474367978,0.0006935663437575437,not applicable (no label)
L16H16,80% of events; support >= 20 events / 10 families,first,all_visible_names,998,20,0.4819639278557114,0.5180360721442886,-0.00020942714266882149,0.5,neither,0.0,6,77,0,neither,neither,neither,insufficient,neither,0.01562916294912274,0.01494606961025281,0.0006830973571605896,not applicable (no label)
L16H21,80% of events; support >= 20 events / 10 families,first,all_visible_names,551,20,0.5989110707803993,0.4010889292196007,0.008836534866331854,0.75,neither,0.0,145,73,20,neither,neither,neither,neither,neither,0.892819924300976,0.9034560985779494,-0.010636170258682765,not applicable (no label)
L16H24,80% of events; support >= 20 events / 10 families,first,all_visible_names,1431,20,0.5087351502445842,0.4912648497554158,-0.0013065017154104026,0.45,neither,0.0,135,58,101,neither,neither,neither,neither,neither,-0.04198221142372389,-0.042651572923981744,0.0006693655185485154,not applicable (no label)
L16H31,80% of events; support >= 20 events / 10 families,first,all_visible_names,242,20,0.41735537190082644,0.5826446280991735,-0.0034770100323621893,0.3,neither,0.012396694214876033,57,13,1,neither,neither,neither,neither,neither,-0.1729035966851738,-0.17200701424245085,-0.0008965784244323045,not applicable (no label)
L17H1,80% of events; support >= 20 events / 10 families,first,all_visible_names,3469,20,0.7656385125396368,0.23436148746036323,0.05607421814541978,1.0,neither,0.0,0,781,1721,neither,neither,neither,insufficient,neither,-0.05559627393658242,-0.05453765526246489,-0.0010586153255419785,not applicable (no label)
L17H3,80% of events; support >= 20 events / 10 families,first,all_visible_names,319,20,0.44200626959247646,0.5579937304075235,-0.009456794862338618,0.25,neither,0.775623268698061,26,50,12,neither,neither,neither,neither,neither,-0.4022092337018988,-0.4153816137420997,0.013172384058491568,not applicable (no label)
