head,variant,site,role,anchor,mode,mean,family_sd,family_min,family_max,families,events,positive_family_fraction
L4H0,base,final,source,first,output,0.0011757244666417443,0.0020974466855311516,-0.0029687881469726562,0.0043617089589436855,20,40,0.75
L4H0,base,final,source,last,raw,0.001793177922566732,0.006022305382426477,-0.009311676025390625,0.012364705403645834,20,40,0.65
L4H0,base,final,source,last,output,-0.0004788503050804139,0.0029685281608245427,-0.008066574732462566,0.0037823518117268877,20,40,0.5
L4H0,base,final,target,first,raw,-0.0007974982261657714,0.006337414887659394,-0.013948440551757812,0.008987903594970703,20,40,0.4
L4H0,base,final,target,first,output,9.469687938690188e-05,0.0015438876875504856,-0.0026381810506184897,0.0031948089599609375,20,40,0.55
L4H0,base,final,target,last,raw,-0.0020155111948649087,0.00629572865175864,-0.0108184814453125,0.013174692789713541,20,40,0.3
L4H0,base,final,target,last,output,-0.0003311236699422201,0.002430683933997976,-0.004772464434305827,0.0033173561096191406,20,40,0.45
L6H12,base,earlier,target,first,raw,0.0008898883320261504,0.005284779743360482,-0.00894584463930678,0.009560974164940846,20,1193,0.65
L6H12,base,earlier,target,first,output,-0.0017047143374574684,0.0062993425965829075,-0.014201042944924873,0.011238238763535158,20,1193,0.35
L6H12,base,earlier,target,last,raw,0.002478682681925559,0.005887007041892012,-0.0074728494403006,0.01607559124628703,20,1193,0.6
L6H12,base,earlier,target,last,output,0.00029625487894066924,0.004866208339066769,-0.009021232525507608,0.008456205499583275,20,1193,0.5
L6H12,base,earlier,source,first,raw,0.00325909920267724,0.007054114537542919,-0.011026692228252383,0.01610787018485691,20,947,0.8
L6H12,base,earlier,source,first,output,-0.0007885280171766537,0.005472974100718272,-0.008922013251677805,0.010080969204073366,20,947,0.35
L6H12,base,earlier,source,last,raw,-0.00022625710338758007,0.006773607856468551,-0.013297948284425598,0.013597687949304998,20,947,0.45
L6H12,base,earlier,source,last,output,0.0017776823545133332,0.005234495624044916,-0.00841326255729233,0.010685143647370516,20,947,0.6
L6H12,base,final,source,first,raw,-0.0006287256876627588,0.017055938627453655,-0.029497782389322914,0.038939158121744796,20,40,0.4
L6H12,base,final,source,first,output,0.0002300202846527101,0.005078203503362552,-0.011182149251302082,0.00877090295155843,20,40,0.45
L6H12,base,final,source,last,raw,-0.0005410909652709957,0.012913076900654961,-0.03134934107462565,0.02148755391438802,20,40,0.45
L6H12,base,final,source,last,output,0.0029373029867808013,0.006323290925477529,-0.008230845133463543,0.012667655944824219,20,40,0.7
