population,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,ci_low,ci_high,ma_ci_low,ma_ci_high
core20,20,0.249946665763855,0.32203691005706786,0.16539740562438965,-0.3560495376586914,1.5951881408691406,0.75,0.75,True,coherent,0.09044878780841828,0.4400989651679991,0.1931828969717026,0.4926797395944595
additional69,69,0.1678856006567029,0.2262377255204795,0.13720703125,-0.369384765625,1.1893386840820312,0.7246376811594203,0.7246376811594203,True,coherent,0.11153099390043729,0.22740393972051312,0.1835400800774063,0.2751584830491438
all89,89,0.18632628944482696,0.24776563215791508,0.140045166015625,-0.369384765625,1.5951881408691406,0.7303370786516854,0.7303370786516854,True,coherent,0.12894798657867346,0.24906174239147902,0.20157731329457143,0.30021340934078344
