group,population,kind,mode,direction,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,ci_low,ci_high,ma_ci_low,ma_ci_high
O1,core20,interaction,donor,noise,20,-0.557248878479004,0.8531969070434571,-0.49053192138671875,-2.3088531494140625,1.112091064453125,0.8,1.0,True,coherent,-0.926744623184204,-0.18395747661590583,0.6213688135147095,1.107158126831054
O1,additional69,interaction,donor,noise,69,-0.5083192949709685,0.7040186826733575,-0.5321197509765625,-1.757598876953125,1.8059921264648438,0.8115942028985508,0.855072463768116,True,coherent,-0.6693980954695439,-0.3385611352713212,0.5859181455943896,0.8221117228701496
O1,all89,interaction,donor,noise,89,-0.5193147069952461,0.7375418791610203,-0.509765625,-2.3088531494140625,1.8059921264648438,0.8089887640449438,0.8876404494382022,True,coherent,-0.6691729363430752,-0.36652261835805505,0.6297948586806823,0.8483882310685146
O2,core20,interaction,donor,noise,20,0.10359995365142823,0.12165720462799072,0.09033203125,-0.180572509765625,0.5396847724914551,0.95,0.45,True,coherent,0.04695354044437409,0.16725714147090912,0.07386877059936524,0.1799930763244628
O3,core20,interaction,donor,noise,20,-0.5214826107025147,1.5916436672210694,-0.9810748100280762,-3.2059326171875,2.483428955078125,0.65,1.0,True,heterogeneous,-1.251920747756958,0.23487722873687739,1.2288747346401214,1.9500890767574304
O3,additional69,interaction,donor,noise,69,-0.3536587297052577,1.1222327463868735,-0.6206588745117188,-3.63641357421875,3.30413818359375,0.6811594202898551,0.927536231884058,True,heterogeneous,-0.6663572942865067,-0.033951197499814394,0.9437597993059434,1.30963978719884
O3,all89,interaction,donor,noise,89,-0.39137196139003455,1.2277183465743333,-0.688232421875,-3.63641357421875,3.30413818359375,0.6741573033707865,0.9438202247191011,True,heterogeneous,-0.679172282172053,-0.08966581416264055,1.060904761345199,1.4015945820661073
O4,core20,interaction,donor,noise,20,-0.20898380279541015,0.6433271408081055,-0.23140716552734375,-1.4987030029296875,1.2605133056640625,0.65,0.8,True,heterogeneous,-0.5375075674057006,0.13472006797790503,0.4396619033813477,0.8427183103561401
O4,additional69,interaction,donor,noise,69,-0.16223933040231897,0.5409154270006262,-0.27471923828125,-1.3276214599609375,2.0327682495117188,0.5942028985507246,0.8695652173913043,True,heterogeneous,-0.3107232213020325,-0.008235454559326328,0.4524690603864366,0.6352008722830509
O4,all89,interaction,donor,noise,89,-0.17274370622099117,0.5639292952719699,-0.27471923828125,-1.4987030029296875,2.0327682495117188,0.6067415730337079,0.8539325842696629,True,heterogeneous,-0.3099104712518413,-0.032563522960362905,0.48009745163863965,0.6518199793408425
I1,core20,interaction,donor,noise,20,1.5209455013275146,1.664794683456421,1.5634994506835938,-0.7636871337890625,3.8598480224609375,0.9,1.0,True,coherent,1.0081846964359282,2.0255950462818144,1.2654142665863037,2.0909933781623837
I1,additional69,interaction,donor,noise,69,1.591014618458955,1.6158531005831733,1.3794021606445312,-0.54791259765625,5.059346675872803,0.9420289855072463,0.9420289855072463,True,coherent,1.319608618988507,1.8768117271039788,1.3517339604920235,1.8960305632888406
I1,all89,interaction,donor,noise,89,1.5752687494406539,1.6268512090940155,1.39208984375,-0.7636871337890625,5.059346675872803,0.9325842696629213,0.9550561797752809,True,coherent,1.3350760249609357,1.8270794066150533,1.4070073207107823,1.8666277231460204
I2,core20,interaction,donor,noise,20,1.51526780128479,1.5562727451324463,1.475433349609375,-0.4100494384765625,3.877685546875,0.95,0.95,True,coherent,1.0648537349700928,1.979437496662139,1.1324963688850405,1.9958585548400876
I2,additional69,interaction,donor,noise,69,1.605243859083756,1.606685704079227,1.5550274848937988,-0.04974365234375,4.199676513671875,0.9855072463768116,0.9565217391304348,True,coherent,1.3768972459046736,1.840942946292352,1.37880629102389,1.841507438559463
I2,all89,interaction,donor,noise,89,1.5850245202525277,1.595356949259726,1.5550274848937988,-0.4100494384765625,4.199676513671875,0.9775280898876404,0.9550561797752809,True,coherent,1.3791074569305677,1.7960390160592752,1.393998446491327,1.8048180360472597
I3,core20,interaction,donor,noise,20,0.9278694152832031,1.222956085205078,1.1781005859375,-1.3412017822265625,2.7735671997070312,0.8,0.95,True,coherent,0.45456045150756835,1.3771879196166987,0.9219979953765869,1.5376375675201415
I3,additional69,interaction,donor,noise,69,0.9959000383598217,1.08875999070596,0.7932515144348145,-0.65924072265625,3.6248016357421875,0.855072463768116,0.9420289855072463,True,coherent,0.7680594360914783,1.2282607465982436,0.8885633593020232,1.2990056382573167
I3,all89,interaction,donor,noise,89,0.9806122578931659,1.118916416436099,0.8155174255371094,-1.3412017822265625,3.6248016357421875,0.8426966292134831,0.9438202247191011,True,coherent,0.7761471076292938,1.191338927658756,0.9505607741602351,1.2995876479349768
I4,core20,interaction,donor,noise,20,0.38702869415283203,0.38702869415283203,0.34494972229003906,0.05108642578125,1.0385894775390625,1.0,0.9,True,coherent,0.2964845275878906,0.4881355667114256,0.2964845275878906,0.4881355667114256
