group,mode,direction,population,query_first,full_gap,normalized_mean,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,ci_low,ci_high,ma_ci_low,ma_ci_high
O1,donor,noise,core20,True,13.876406478881837,0.5876015194234181,20,8.15379753112793,8.15379753112793,8.390274047851562,5.1363525390625,11.4212646484375,1.0,1.0,True,coherent,7.398467874526978,8.89951847076416,7.398467874526978,8.89951847076416
O1,donor,noise,core20,False,8.523720169067383,0.3915423899325921,20,3.3373977661132814,3.3373977661132814,3.28173828125,1.0966796875,6.629150390625,1.0,1.0,True,coherent,2.633074836730957,4.074410934448242,2.633074836730957,4.074410934448242
O1,donor,noise,additional69,True,14.77806554324385,0.5677137761553513,69,8.38971139382625,8.38971139382625,8.373291015625,0.67822265625,14.96630859375,1.0,1.0,True,coherent,7.791669540128846,8.977122495830923,7.791669540128846,8.977122495830923
O1,donor,noise,additional69,False,7.545689016148664,0.40824256329992675,69,3.080471425816633,3.0991251848746035,2.701416015625,-0.6435546875,7.4307861328125,0.9855072463768116,0.9855072463768116,True,coherent,2.6453157618425895,3.522391197646873,2.6704266783119976,3.534384940327076
O1,donor,noise,all89,True,14.575445528780476,0.571968591024992,89,8.336697042658088,8.336697042658088,8.373291015625,0.67822265625,14.96630859375,1.0,1.0,True,coherent,7.847039394968012,8.824040108584287,7.847039394968012,8.824040108584287
O1,donor,noise,all89,False,7.765471297703432,0.4041232736242508,89,3.1382076820630704,3.152669585152958,2.8092041015625,-0.6435546875,7.4307861328125,0.9887640449438202,0.9887640449438202,True,coherent,2.761263193709127,3.5200530748688768,2.780711056141371,3.530216866396785
O1,donor,restore,core20,True,13.876406478881837,0.6001996856898089,20,8.328614807128906,8.328614807128906,8.08404541015625,4.5936279296875,10.853271484375,1.0,1.0,True,coherent,7.472420043945312,9.153402214050292,7.472420043945312,9.153402214050292
O1,donor,restore,core20,False,8.523720169067383,0.41531825774317443,20,3.540056610107422,3.540056610107422,3.290374755859375,0.69854736328125,7.93017578125,1.0,1.0,True,coherent,2.6695225429534912,4.479346208572386,2.6695225429534912,4.479346208572386
O1,donor,restore,additional69,True,14.77806554324385,0.5703887992281542,69,8.42924306012582,8.42924306012582,8.64776611328125,0.874755859375,14.8251953125,1.0,1.0,True,coherent,7.8579432031382686,9.004126844544341,7.8579432031382686,9.004126844544341
O1,donor,restore,additional69,False,7.545689016148664,0.40228009841160195,69,3.0354805199996284,3.040639317553976,2.880096435546875,-0.177978515625,8.649169921875,0.9855072463768116,0.9710144927536232,True,coherent,2.5832009718038034,3.509288416219794,2.590547830643861,3.511340941380763
O1,donor,restore,all89,True,14.575445528780476,0.5767665868576779,89,8.406629969564717,8.406629969564717,8.545669555664062,0.874755859375,14.8251953125,1.0,1.0,True,coherent,7.916294028250019,8.886078160532405,7.916294028250019,8.886078160532405
O1,donor,restore,all89,False,7.765471297703432,0.4054961102423184,89,3.1488684054171103,3.1528679226221663,3.0841064453125,-0.177978515625,8.649169921875,0.9887640449438202,0.9775280898876404,True,coherent,2.738898800464159,3.5765405120474565,2.7447743389043913,3.5791409015655513
O1,mean,noise,core20,True,13.876406478881837,0.36235552250461134,20,5.028192520141602,5.028192520141602,5.122802734375,2.0780029296875,7.565032958984375,1.0,1.0,True,coherent,4.371110229492187,5.67611156463623,4.371110229492187,5.67611156463623
O1,mean,noise,core20,False,8.523720169067383,0.2378067437952409,20,2.0269981384277345,2.1635948181152345,1.9522705078125,-0.845703125,5.2718505859375,0.9,1.0,True,coherent,1.3996306228637696,2.6695673561096194,1.6558324813842773,2.7262846565246575
O1,mean,noise,additional69,True,14.77806554324385,0.3594769542097892,69,5.312373990597933,5.322341518125672,5.1051025390625,-0.34387969970703125,14.10791015625,0.9855072463768116,1.0,True,coherent,4.800103956029035,5.85130323085232,4.8170512261598,5.857381686265915
O1,mean,noise,additional69,False,7.545689016148664,0.2443221976747202,69,1.8435793233954387,2.2037946625032285,1.5460205078125,-3.22119140625,7.10693359375,0.8405797101449275,1.0,True,coherent,1.3733965152415677,2.3247953147991836,1.8391328420328057,2.5975205421447756
O1,mean,noise,all89,True,14.575445528780476,0.3600927996085857,89,5.248512986001004,5.256240619702286,5.1051025390625,-0.34387969970703125,14.10791015625,0.9887640449438202,1.0,True,coherent,4.8255145651570865,5.691038670968473,4.83657872703638,5.695338994733404
O1,mean,noise,all89,False,7.765471297703432,0.2427150861012213,89,1.8847970346386513,2.19476098960705,1.79278564453125,-3.22119140625,7.10693359375,0.8539325842696629,1.0,True,coherent,1.4915903884373354,2.2800841514983867,1.8818913550859087,2.518183014566978
O1,mean,restore,core20,True,13.876406478881837,0.3798555796161811,20,5.271030426025391,5.271030426025391,5.9788818359375,3.0258331298828125,8.47747802734375,1.0,1.0,True,coherent,4.6730582046508795,5.872590751647949,4.6730582046508795,5.872590751647949
O1,mean,restore,core20,False,8.523720169067383,0.26571505254040817,20,2.2648807525634767,2.2648807525634767,2.311065673828125,0.05078125,5.1748046875,1.0,0.95,True,coherent,1.5849790382385256,2.9609214591979978,1.5849790382385256,2.9609214591979978
O1,mean,restore,additional69,True,14.77806554324385,0.34783586557069707,69,5.140341219694718,5.140341219694718,4.68719482421875,2.2852783203125,8.9501953125,1.0,1.0,True,coherent,4.747785935885664,5.542124567170074,4.747785935885664,5.542124567170074
O1,mean,restore,additional69,False,7.545689016148664,0.18751928586929906,69,1.4149622157000112,1.9598115561664968,1.44091796875,-4.29736328125,5.45654296875,0.8405797101449275,1.0,True,coherent,0.966225510749264,1.8512209989022508,1.664586965588556,2.268741425223972
O1,mean,restore,all89,True,14.575445528780476,0.3546862132248284,89,5.169709580667903,5.169709580667903,4.7614898681640625,2.2852783203125,8.9501953125,1.0,1.0,True,coherent,4.836269122563052,5.5107123074906585,4.836269122563052,5.5107123074906585
O1,mean,restore,all89,False,7.765471297703432,0.20680717032682838,89,1.6059551453322507,2.0283664317613237,1.710693359375,-4.29736328125,5.45654296875,0.8764044943820225,0.9887640449438202,True,coherent,1.2176047314418836,1.988861000403929,1.7512432462713692,2.3170672041646547
