group,mode,direction,population,pairs,mean_margin,clean_candidate_preferred,recipient_accuracy,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,ci_low,ci_high,ma_ci_low,ma_ci_high
O1,donor,noise,core20,40,0.06301116943359375,0.55,0.55,20,5.745597648620605,5.745597648620605,5.896675109863281,3.39337158203125,8.359397888183594,1.0,1.0,True,coherent,5.137675375938415,6.354277029037475,5.137675375938415,6.354277029037475
O1,donor,noise,additional69,138,-0.09290319249249887,0.427536231884058,0.427536231884058,69,5.735091409821441,5.735091409821441,5.53253173828125,0.527587890625,10.0443115234375,1.0,1.0,True,coherent,5.308967906323032,6.156396158363507,5.308967906323032,6.156396158363507
O1,donor,noise,all89,178,-0.057866257228208394,0.4550561797752809,0.4550561797752809,89,5.737452362360579,5.737452362360579,5.6357421875,0.527587890625,10.0443115234375,1.0,1.0,True,coherent,5.383246634649427,6.090313633640161,5.383246634649427,6.090313633640161
O1,donor,restore,core20,40,0.5428812026977539,0.65,0.35,20,5.934335708618164,5.934335708618164,5.913185119628906,3.68408203125,8.02978515625,1.0,1.0,True,coherent,5.353517646789551,6.504856901168822,5.353517646789551,6.504856901168822
O1,donor,restore,additional69,138,0.2126727276954098,0.5797101449275363,0.41304347826086957,69,5.732361790062725,5.732361790062725,5.7694091796875,0.868408203125,10.0096435546875,1.0,1.0,True,coherent,5.299606696419094,6.164940384591835,5.299606696419094,6.164940384591835
O1,donor,restore,all89,178,0.28687687938132983,0.5955056179775281,0.398876404494382,89,5.7777491874909135,5.7777491874909135,5.796875,0.868408203125,10.0096435546875,1.0,1.0,True,coherent,5.416664892033245,6.137199538075522,5.416664892033245,6.137199538075522
O1,mean,noise,core20,40,2.2810134887695312,0.925,0.925,20,3.527595329284668,3.527595329284668,3.664306640625,0.61614990234375,5.168693542480469,1.0,1.0,True,coherent,2.9579661655426026,4.054744300842285,2.9579661655426026,4.054744300842285
O1,mean,noise,additional69,138,2.064211560332257,0.8695652173913043,0.8695652173913043,69,3.5779766569966855,3.6352171293203384,3.297332763671875,-1.0814857482910156,10.607421875,0.9710144927536232,1.0,True,coherent,3.137009805959204,4.041795549617297,3.2251326561837956,4.081621801075728
O1,mean,noise,all89,178,2.1129310948125433,0.8820224719101124,0.8820224719101124,89,3.5666550103198276,3.611032455155019,3.352294921875,-1.0814857482910156,10.607421875,0.9775280898876404,1.0,True,coherent,3.204236786419086,3.947756156626712,3.266307060336799,3.973795724484357
O1,mean,restore,core20,40,-1.6234989166259766,0.2,0.8,20,3.7679555892944334,3.7679555892944334,3.78546142578125,1.7704238891601562,6.11981201171875,1.0,1.0,True,coherent,3.2584937238693237,4.284287142753601,3.2584937238693237,4.284287142753601
O1,mean,restore,additional69,138,-2.24203734466995,0.13768115942028986,0.8623188405797102,69,3.2776517176973647,3.296995439391205,3.110137939453125,-0.6673583984375,6.251209259033203,0.9855072463768116,0.9855072463768116,True,coherent,2.9177010190659676,3.6379890704500504,2.94831997760828,3.6473096647124357
O1,mean,restore,all89,178,-2.1030399451095065,0.15168539325842698,0.848314606741573,89,3.3878323630000766,3.4028291809424926,3.332275390625,-0.6673583984375,6.251209259033203,0.9887640449438202,0.9887640449438202,True,coherent,3.0865002519628972,3.69219764913066,3.106331626484903,3.7015954419468224
O2,donor,noise,core20,40,3.9669069051742554,0.925,0.925,20,1.841701912879944,1.841701912879944,1.5671234130859375,0.621826171875,3.80131196975708,1.0,1.0,True,coherent,1.479018940925598,2.2331401485204694,1.479018940925598,2.2331401485204694
O3,donor,noise,core20,40,-0.8327375411987304,0.35,0.35,20,6.64134635925293,6.64134635925293,6.566944122314453,3.20367431640625,9.133773803710938,1.0,1.0,True,coherent,5.868248367309571,7.384666690826415,5.868248367309571,7.384666690826415
O3,donor,noise,additional69,138,-0.8533011225686558,0.36231884057971014,0.36231884057971014,69,6.495489339897598,6.495489339897598,6.578322410583496,0.4808349609375,11.339691162109375,1.0,1.0,True,coherent,6.043708847052809,6.92543822950211,6.043708847052809,6.92543822950211
O3,donor,noise,all89,178,-0.8486800930473242,0.3595505617977528,0.3595505617977528,89,6.528266198179695,6.528266198179695,6.578322410583496,0.4808349609375,11.339691162109375,1.0,1.0,True,coherent,6.1416965303796065,6.905443288770954,6.1416965303796065,6.905443288770954
O3,donor,restore,core20,40,1.2449165344238282,0.7,0.3,20,6.636371040344239,6.636371040344239,6.290239334106445,3.87896728515625,10.26251220703125,1.0,1.0,True,coherent,6.009581551551819,7.303318371772766,6.009581551551819,7.303318371772766
O3,donor,restore,additional69,138,1.0278730254242385,0.6811594202898551,0.3188405797101449,69,6.547562087791554,6.547562087791554,6.69384765625,0.275390625,9.667144775390625,1.0,1.0,True,coherent,6.099684136846792,6.9730645490729275,6.099684136846792,6.9730645490729275
O3,donor,restore,all89,178,1.0766468476713373,0.6853932584269663,0.3146067415730337,89,6.5675191557809205,6.5675191557809205,6.653564453125,0.275390625,10.26251220703125,1.0,1.0,True,coherent,6.185368584515004,6.930932806315047,6.185368584515004,6.930932806315047
