configuration,panel,source,source_site,receiver,receiver_type,channel,receiver_site,output_row,path
P3_0319,P3,L18H18,colon,L19H16,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0320,P3,L18H18,colon,L19H16,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0321,P3,L18H18,colon,L19H22,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0322,P3,L18H18,colon,L19H22,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0323,P3,L18H18,colon,L20H1,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0324,P3,L18H18,colon,L20H1,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0325,P3,L18H18,colon,L21H6,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0326,P3,L18H18,colon,L21H6,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0327,P3,L18H18,colon,L21H18,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0328,P3,L18H18,colon,L21H18,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0329,P3,L18H18,colon,L21H23,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0330,P3,L18H18,colon,L21H23,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0331,P3,L18H18,colon,L22H5,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0332,P3,L18H18,colon,L22H5,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0333,P3,L18H18,colon,L23H15,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0334,P3,L18H18,colon,L23H15,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0335,P3,L18H18,colon,L25H17,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0336,P3,L18H18,colon,L25H17,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0337,P3,L18H18,colon,L26H23,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0338,P3,L18H18,colon,L26H23,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0339,P3,L18H18,colon,L27H6,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0340,P3,L18H18,colon,L27H6,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0341,P3,L18H18,colon,L30H13,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0342,P3,L18H18,colon,L30H13,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0343,P3,L18H18,colon,L30H18,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0344,P3,L18H18,colon,L30H18,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0345,P3,L18H18,colon,MLP18,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0346,P3,L18H18,colon,MLP19,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0347,P3,L18H18,colon,MLP20,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0348,P3,L18H18,colon,MLP21,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0349,P3,L18H18,colon,MLP22,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0350,P3,L18H18,colon,MLP23,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0351,P3,L18H18,colon,MLP24,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0352,P3,L18H18,colon,MLP25,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0353,P3,L18H18,colon,MLP26,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0354,P3,L18H18,colon,MLP27,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0355,P3,L18H18,colon,MLP28,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0356,P3,L18H18,colon,MLP29,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0357,P3,L18H18,colon,MLP30,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0358,P3,L18H18,colon,MLP31,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0359,P3,L18H18,colon,output,residual bypass,final norm and unembedding,colon,live downstream,direct with intervening residual branch increments frozen
P3_0360,P3,L18H19,colon,L19H16,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0361,P3,L18H19,colon,L19H16,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0362,P3,L18H19,colon,L19H22,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0363,P3,L18H19,colon,L19H22,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0364,P3,L18H19,colon,L20H1,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0365,P3,L18H19,colon,L20H1,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0366,P3,L18H19,colon,L21H6,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0367,P3,L18H19,colon,L21H6,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0368,P3,L18H19,colon,L21H18,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0369,P3,L18H19,colon,L21H18,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0370,P3,L18H19,colon,L21H23,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0371,P3,L18H19,colon,L21H23,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0372,P3,L18H19,colon,L22H5,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0373,P3,L18H19,colon,L22H5,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0374,P3,L18H19,colon,L23H15,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0375,P3,L18H19,colon,L23H15,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0376,P3,L18H19,colon,L25H17,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0377,P3,L18H19,colon,L25H17,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0378,P3,L18H19,colon,L26H23,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0379,P3,L18H19,colon,L26H23,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0380,P3,L18H19,colon,L27H6,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0381,P3,L18H19,colon,L27H6,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0382,P3,L18H19,colon,L30H13,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0383,P3,L18H19,colon,L30H13,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0384,P3,L18H19,colon,L30H18,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0385,P3,L18H19,colon,L30H18,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0386,P3,L18H19,colon,MLP18,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0387,P3,L18H19,colon,MLP19,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0388,P3,L18H19,colon,MLP20,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0389,P3,L18H19,colon,MLP21,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0390,P3,L18H19,colon,MLP22,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0391,P3,L18H19,colon,MLP23,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0392,P3,L18H19,colon,MLP24,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0393,P3,L18H19,colon,MLP25,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0394,P3,L18H19,colon,MLP26,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0395,P3,L18H19,colon,MLP27,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0396,P3,L18H19,colon,MLP28,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0397,P3,L18H19,colon,MLP29,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0398,P3,L18H19,colon,MLP30,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0399,P3,L18H19,colon,MLP31,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0400,P3,L18H19,colon,output,residual bypass,final norm and unembedding,colon,live downstream,direct with intervening residual branch increments frozen
P3_0401,P3,L19H16,colon,L20H1,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0402,P3,L19H16,colon,L20H1,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0403,P3,L19H16,colon,L21H6,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0404,P3,L19H16,colon,L21H6,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0405,P3,L19H16,colon,L21H18,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0406,P3,L19H16,colon,L21H18,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0407,P3,L19H16,colon,L21H23,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0408,P3,L19H16,colon,L21H23,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0409,P3,L19H16,colon,L22H5,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0410,P3,L19H16,colon,L22H5,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0411,P3,L19H16,colon,L23H15,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0412,P3,L19H16,colon,L23H15,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0413,P3,L19H16,colon,L25H17,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0414,P3,L19H16,colon,L25H17,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0415,P3,L19H16,colon,L26H23,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0416,P3,L19H16,colon,L26H23,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0417,P3,L19H16,colon,L27H6,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0418,P3,L19H16,colon,L27H6,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0419,P3,L19H16,colon,L30H13,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0420,P3,L19H16,colon,L30H13,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0421,P3,L19H16,colon,L30H18,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0422,P3,L19H16,colon,L30H18,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0423,P3,L19H16,colon,MLP19,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0424,P3,L19H16,colon,MLP20,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0425,P3,L19H16,colon,MLP21,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0426,P3,L19H16,colon,MLP22,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0427,P3,L19H16,colon,MLP23,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0428,P3,L19H16,colon,MLP24,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0429,P3,L19H16,colon,MLP25,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0430,P3,L19H16,colon,MLP26,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0431,P3,L19H16,colon,MLP27,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0432,P3,L19H16,colon,MLP28,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0433,P3,L19H16,colon,MLP29,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0434,P3,L19H16,colon,MLP30,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0435,P3,L19H16,colon,MLP31,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0436,P3,L19H16,colon,output,residual bypass,final norm and unembedding,colon,live downstream,direct with intervening residual branch increments frozen
P3_0437,P3,L20H1,colon,L21H6,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0438,P3,L20H1,colon,L21H6,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0439,P3,L20H1,colon,L21H18,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0440,P3,L20H1,colon,L21H18,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0441,P3,L20H1,colon,L21H23,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0442,P3,L20H1,colon,L21H23,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0443,P3,L20H1,colon,L22H5,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0444,P3,L20H1,colon,L22H5,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0445,P3,L20H1,colon,L23H15,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0446,P3,L20H1,colon,L23H15,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0447,P3,L20H1,colon,L25H17,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0448,P3,L20H1,colon,L25H17,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0449,P3,L20H1,colon,L26H23,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0450,P3,L20H1,colon,L26H23,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0451,P3,L20H1,colon,L27H6,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0452,P3,L20H1,colon,L27H6,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0453,P3,L20H1,colon,L30H13,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0454,P3,L20H1,colon,L30H13,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0455,P3,L20H1,colon,L30H18,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0456,P3,L20H1,colon,L30H18,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0457,P3,L20H1,colon,MLP20,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0458,P3,L20H1,colon,MLP21,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0459,P3,L20H1,colon,MLP22,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0460,P3,L20H1,colon,MLP23,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0461,P3,L20H1,colon,MLP24,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0462,P3,L20H1,colon,MLP25,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0463,P3,L20H1,colon,MLP26,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0464,P3,L20H1,colon,MLP27,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0465,P3,L20H1,colon,MLP28,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0466,P3,L20H1,colon,MLP29,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0467,P3,L20H1,colon,MLP30,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0468,P3,L20H1,colon,MLP31,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0469,P3,L20H1,colon,output,residual bypass,final norm and unembedding,colon,live downstream,direct with intervening residual branch increments frozen
P3_0470,P3,L23H15,colon,L25H17,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0471,P3,L23H15,colon,L25H17,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0472,P3,L23H15,colon,L26H23,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0473,P3,L23H15,colon,L26H23,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0474,P3,L23H15,colon,L27H6,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0475,P3,L23H15,colon,L27H6,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0476,P3,L23H15,colon,L30H13,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0477,P3,L23H15,colon,L30H13,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0478,P3,L23H15,colon,L30H18,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0479,P3,L23H15,colon,L30H18,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0480,P3,L23H15,colon,MLP23,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0481,P3,L23H15,colon,MLP24,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0482,P3,L23H15,colon,MLP25,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0483,P3,L23H15,colon,MLP26,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0484,P3,L23H15,colon,MLP27,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0485,P3,L23H15,colon,MLP28,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0486,P3,L23H15,colon,MLP29,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0487,P3,L23H15,colon,MLP30,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0488,P3,L23H15,colon,MLP31,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0489,P3,L23H15,colon,output,residual bypass,final norm and unembedding,colon,live downstream,direct with intervening residual branch increments frozen
P3_0490,P3,L25H17,colon,L26H23,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0491,P3,L25H17,colon,L26H23,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0492,P3,L25H17,colon,L27H6,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0493,P3,L25H17,colon,L27H6,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0494,P3,L25H17,colon,L30H13,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0495,P3,L25H17,colon,L30H13,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0496,P3,L25H17,colon,L30H18,head,Q,colon,colon,direct with intervening residual branch increments frozen
P3_0497,P3,L25H17,colon,L30H18,head,KV,colon,colon,direct with intervening residual branch increments frozen
P3_0498,P3,L25H17,colon,MLP25,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0499,P3,L25H17,colon,MLP26,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0500,P3,L25H17,colon,MLP27,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0501,P3,L25H17,colon,MLP28,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0502,P3,L25H17,colon,MLP29,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0503,P3,L25H17,colon,MLP30,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0504,P3,L25H17,colon,MLP31,mlp,input,colon,live downstream,direct with intervening residual branch increments frozen
P3_0505,P3,L25H17,colon,output,residual bypass,final norm and unembedding,colon,live downstream,direct with intervening residual branch increments frozen
