head,common40_exact_P,in_stage3
L17H1,5.741884040832519,True
L27H6,3.221560478210449,True
L18H19,3.0803802490234373,True
L18H18,2.767562675476074,True
L21H18,1.8497880935668944,True
L20H1,-1.4342435836791991,True
L25H17,1.3193326950073243,True
L30H18,-1.1451318740844727,True
L22H5,1.0682638168334961,True
L23H15,-0.9492952346801757,True
L16H21,0.9031507492065429,True
L16H1,0.8772293090820312,True
L19H16,-0.8508807420730591,True
L13H10,-0.8156453132629394,True
L21H6,0.7522012710571289,True
L30H13,0.6981149673461914,True
L15H25,0.6612307786941528,True
L18H24,-0.6463672637939453,True
L21H23,0.6337644577026367,True
L17H3,-0.524808692932129,True
L17H17,0.5068926811218262,True
L17H24,0.4964737892150879,True
L19H22,0.48919200897216797,True
L26H23,-0.43740090131759646,True
L14H26,0.40526065826416013,True
L24H19,0.39023575782775877,False
L13H18,0.3872974395751953,False
L8H15,0.3670095443725586,True
L1H25,0.28951225280761717,False
L7H1,0.25744152069091797,True
L14H12,0.25070819854736326,False
L16H8,-0.24492216110229492,False
L12H17,0.2296274185180664,True
L15H23,0.22825298309326172,False
L18H10,0.2172788619995117,False
L30H8,-0.21457262039184571,False
L25H14,-0.21240434646606446,False
L14H23,-0.20261282920837403,True
L17H26,0.20211963653564452,False
L18H25,0.19798030853271484,False
L11H29,0.19595985412597655,False
L17H28,-0.18630619049072267,False
L18H1,-0.1842866897583008,False
L9H24,0.18090152740478516,False
L16H31,-0.17643308639526367,True
L24H23,0.15909849405288695,False
L26H7,0.15386505126953126,False
L25H10,0.1535665512084961,False
L22H27,0.14351882934570312,False
L14H18,0.1431717574596405,False
L0H7,-0.14249582290649415,False
L15H21,-0.13745555877685547,False
L20H31,-0.13474102020263673,False
L14H14,0.1343526840209961,False
L19H18,0.1339043617248535,False
L12H12,-0.13285655975341798,False
L14H16,0.12180099487304688,False
L24H22,-0.12133255004882812,False
L15H3,-0.11119871139526367,True
L21H10,0.10916423797607422,False
L9H16,0.1090993881225586,True
L5H25,0.10905628204345703,False
L24H10,0.1081085443496704,False
L30H5,0.10763778686523437,False
L20H24,0.1076242446899414,False
L14H30,0.10732097625732422,False
L25H26,-0.10537872314453126,False
L19H30,-0.09876737594604493,False
L16H6,-0.09733467102050782,False
L30H9,-0.09557075500488281,False
L31H7,-0.0906141757965088,False
L9H18,0.08995532989501953,False
L9H11,-0.08940820693969727,False
L13H26,0.08856277465820313,False
L1H1,0.08409900665283203,False
L14H31,-0.08165721893310547,False
L14H27,-0.07892341613769531,False
L27H9,0.07863707542419433,False
L0H24,0.07824516296386719,False
L20H7,-0.07729547023773194,True
L16H24,-0.07189035415649414,True
L20H15,0.07177791595458985,False
L18H22,0.0702291488647461,True
L15H20,0.06860332489013672,False
L25H5,-0.06781034469604492,False
L11H15,-0.0675471305847168,True
L1H24,0.06355323791503906,False
L23H25,0.06338729858398437,False
L9H6,-0.06325407028198242,True
L21H27,0.06289796829223633,True
L7H8,0.06267547607421875,False
L28H27,0.060353660583496095,False
L13H5,-0.059765625,False
L21H25,0.05524449348449707,True
L12H7,0.05421581268310547,False
L10H23,0.053015279769897464,False
