head,role,mean,mean_absolute_family,families
L17H3,colon,-0.40670166015625,0.40670166015625,20
L17H3,other_fact_target,-0.052557373046875,0.0765228271484375,20
L17H3,query_is,-0.014312934875488282,0.014712715148925781,20
L17H3,query_target,0.013597965240478516,0.04458684921264648,20
L17H3,other_fact_is,-0.01115264892578125,0.011846923828125,20
L17H3,query_punctuation,-0.009713459014892577,0.010348987579345704,20
L17H3,other_fact_punctuation,-0.009440612792968747,0.014807128906249998,20
L17H3,other_fact_source,-0.0032516479492187473,0.008989715576171878,20
L17H3,question,0.0031789779663086,0.018141365051269526,20
L17H3,other_fact_mother,-0.00209693908691406,0.0032474517822265597,20
L17H3,query_mother,-0.002085113525390625,0.003568267822265625,20
L17H3,query_of,-0.00131683349609375,0.0052093505859375,20
L17H3,other_fact_the,-0.00122528076171875,0.0029266357421875,20
L17H3,query_the,0.000627899169921875,0.002242279052734375,20
L17H3,query_source,0.000589752197265625,0.00410919189453125,20
L17H3,other_fact_of,-9.002685546875e-05,0.0047821044921875,20
L14H26,query_of,0.05825085639953613,0.05899548530578613,20
L14H26,query_mother,0.05621013641357422,0.05621013641357422,20
L14H26,query_punctuation,0.05309598445892334,0.05376737117767334,20
L14H26,query_target,0.05017004013061523,0.05449590682983398,20
L14H26,query_is,0.050083065032958986,0.05231389999389648,20
L14H26,other_fact_is,0.046602058410644534,0.04676380157470703,20
L14H26,query_source,0.032710838317871097,0.038411521911621095,20
L14H26,other_fact_punctuation,0.03030052185058594,0.03187370300292969,20
L14H26,other_fact_mother,0.027712631225585937,0.031913375854492186,20
L14H26,question,-0.02705249786376953,0.030070686340332033,20
L14H26,other_fact_target,0.0270172119140625,0.032891845703125,20
L14H26,other_fact_of,0.01373443603515625,0.02005462646484375,20
L14H26,other_fact_source,0.0134735107421875,0.017748260498046876,20
L14H26,colon,0.00377197265625,0.06308250427246094,20
L14H26,other_fact_the,-0.000966644287109375,0.0050384521484375,20
L14H26,query_the,0.00020084381103515746,0.004192543029785158,20
L13H10,query_is,-0.21942424774169922,0.21942424774169922,20
L13H10,query_of,-0.21529273986816405,0.21529273986816405,20
L13H10,query_target,-0.21041927337646485,0.24470806121826172,20
L13H10,other_fact_is,-0.07056570053100586,0.07488698959350586,20
L13H10,other_fact_target,-0.05587968826293945,0.0990178108215332,20
L13H10,question,0.042732524871826175,0.08255720138549805,20
L13H10,query_source,0.03605861663818359,0.06074047088623047,20
L13H10,query_punctuation,-0.03172047138214111,0.034454846382141115,20
L13H10,colon,-0.030933094024658197,0.037183094024658206,20
L13H10,other_fact_of,-0.03068714141845703,0.03616809844970703,20
L13H10,query_mother,-0.030263519287109374,0.031406402587890625,20
L13H10,other_fact_mother,0.012931442260742188,0.017616653442382814,20
L13H10,other_fact_source,-0.012081527709960937,0.020746231079101562,20
L13H10,other_fact_punctuation,-0.008773231506347654,0.029531288146972656,20
L13H10,other_fact_the,-0.00132007598876953,0.00777301788330078,20
L13H10,query_the,0.0011974334716796874,0.003952407836914062,20
