id,direction,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,descriptive_ci_low,descriptive_ci_high,mean_absolute_order_difference,original_gap,normalized_mean,normalized_mean_absolute
0259de511e26cdd14804,noise,20,6.64134635925293,6.64134635925293,6.566944122314453,3.20367431640625,9.133773803710938,1.0,1.0,True,coherent,5.868248367309571,7.384666690826415,5.337164306640625,11.200063323974609,0.5929740008734246,0.5929740008734246
063ee72b36f310e782c2,noise,20,2.7680044174194336,2.7680044174194336,2.666290283203125,1.34326171875,4.609184265136719,1.0,1.0,True,coherent,2.3880435848236083,3.1612913084030145,2.9754283905029295,11.200063323974609,0.247141854233476,0.247141854233476
0696fe9eaa5e0540e8ea,noise,20,0.004895973205566406,0.025926780700683594,-0.00609588623046875,-0.04998779296875,0.2675628662109375,0.25,0.05,False,below_rule,-0.013816924095153808,0.03578794479370111,0.03177299499511719,11.200063323974609,0.0004371379932367163,0.002314878045839732
09711229779df1a68761,noise,20,3.811577033996582,3.811577033996582,3.8828773498535156,2.571533203125,5.33978271484375,1.0,1.0,True,coherent,3.4639009189605714,4.152871360778808,1.7332401275634766,11.200063323974609,0.34031745390560464,0.34031745390560464
09711229779df1a68761,restore,20,3.8531972885131838,3.8531972885131838,3.8821868896484375,2.3853912353515625,5.3575592041015625,1.0,1.0,True,coherent,3.4836095666885374,4.222525157928465,1.8505634307861327,11.200063323974609,0.34403352704846896,0.34403352704846896
10b78cbe73e8c21e9e1c,noise,20,1.8590232849121093,1.8590232849121093,1.8185348510742188,0.9810791015625,3.1035919189453125,1.0,1.0,True,coherent,1.631544132232666,2.098876690864563,1.0792930603027344,11.200063323974609,0.16598328340990046,0.16598328340990046
11d93f3f15b8d27500ce,noise,20,6.0142701148986815,6.0142701148986815,6.189166069030762,3.56903076171875,8.337211608886719,1.0,1.0,True,coherent,5.405981349945068,6.613769621849059,6.314983177185058,11.200063323974609,0.5369853670402619,0.5369853670402619
16ffc4c1ce2cd2f66524,noise,20,1.454365348815918,1.6160711288452148,1.8444175720214844,-1.1747207641601562,2.9418792724609375,0.9,1.0,True,coherent,0.9459556293487549,1.9197433328628533,3.486745834350586,11.200063323974609,0.12985331482034887,0.14429124926337591
174572c211b4d905ec76,noise,20,-0.8590944766998291,0.8590944766998291,-0.78753662109375,-1.6336288452148438,-0.1845703125,1.0,1.0,True,coherent,-1.0294226455688475,-0.6933013153076172,0.4575200080871582,11.200063323974609,-0.07670443030985998,0.07670443030985998
191dd2d0cd7ba8a10723,noise,20,-0.40670166015625,0.40670166015625,-0.383453369140625,-0.7285385131835938,-0.1014404296875,1.0,1.0,True,coherent,-0.5008425807952881,-0.3137744426727297,0.296771240234375,11.200063323974609,-0.0363124429203604,0.0363124429203604
191dd2d0cd7ba8a10723,restore,20,-0.41690883636474607,0.4212057113647461,-0.36322021484375,-0.8829345703125,0.04296875,0.95,0.95,True,coherent,-0.5315842199325561,-0.3052256679534913,0.43134269714355467,11.200063323974609,-0.037223792786271144,0.037607440170728534
1d0d86d2dc7a4cdadc3f,noise,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,below_rule,0.0,0.0,0.0,11.200063323974609,0.0,0.0
1d0d86d2dc7a4cdadc3f,restore,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,below_rule,0.0,0.0,0.0,11.200063323974609,0.0,0.0
1f20acc6c79bdb6a7528,noise,20,-1.431660270690918,1.431660270690918,-1.2447586059570312,-3.8126296997070312,-0.2979736328125,1.0,1.0,True,coherent,-1.8129936265945434,-1.107918291091919,0.9774936676025391,11.200063323974609,-0.12782608716384108,0.12782608716384108
2194dce47fb551f89f4a,noise,20,6.049666786193848,6.049666786193848,6.293891906738281,3.74554443359375,8.652976989746094,1.0,1.0,True,coherent,5.4681518936157225,6.635102186203003,5.332632827758789,11.200063323974609,0.5401457662515233,0.5401457662515233
22e1f63a5a051aceed2f,noise,20,1.841701912879944,1.841701912879944,1.5671234130859375,0.621826171875,3.80131196975708,1.0,1.0,True,coherent,1.479018940925598,2.2331401485204694,0.8633446216583252,11.200063323974609,0.16443674107963635,0.16443674107963635
269bd10623c6c6b4dca8,noise,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,below_rule,0.0,0.0,0.0,11.200063323974609,0.0,0.0
269bd10623c6c6b4dca8,restore,20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,below_rule,0.0,0.0,0.0,11.200063323974609,0.0,0.0
287a805babc9f16f7b2b,noise,20,3.0237497329711913,3.0237497329711913,3.0954055786132812,1.8277587890625,4.076171875,1.0,1.0,True,coherent,2.7719084692001346,3.2721467971801754,1.835080337524414,11.200063323974609,0.2699761283044373,0.2699761283044373
