id,direction,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,descriptive_ci_low,descriptive_ci_high,mean_absolute_order_difference,original_gap,normalized_mean,normalized_mean_absolute,panel,group,kind,head,background,source,site
G1:O3:conditional:L18H19,noise,20,2.8444442749023438,2.8444442749023438,2.472381591796875,1.483154296875,6.3599853515625,1.0,1.0,True,coherent,2.3045935916900637,3.4842976713180542,1.9558349609375,11.200063323974609,0.25396680292097895,0.25396680292097895,G1,O3,conditional,595,,,
G1:O3:conditional:L18H24,noise,20,-0.7515342712402344,0.7515342712402344,-0.7161865234375,-1.6463394165039062,-0.09807968139648438,1.0,0.95,True,coherent,-0.9161033725738525,-0.5994370603561403,1.2787063598632813,11.200063323974609,-0.06710089483436373,0.06710089483436373,G1,O3,conditional,600,,,
G1:O3:conditional:L19H16,noise,20,-0.2309173583984375,0.2361053466796875,-0.2320556640625,-0.5539932250976562,0.0518798828125,0.95,0.8,True,coherent,-0.29949640274047856,-0.16524234771728527,0.17136383056640625,11.200063323974609,-0.020617504715722535,0.021080715336161144,G1,O3,conditional,624,,,
G1:O3:conditional:L20H1,noise,20,-0.3603227615356445,0.3603227615356445,-0.3472137451171875,-0.67474365234375,-0.036529541015625,1.0,0.9,True,coherent,-0.4436082077026367,-0.27949634552001956,0.6819553375244141,11.200063323974609,-0.03217149324185923,0.03217149324185923,G1,O3,conditional,641,,,
G1:O3:conditional:L22H5,noise,20,0.7505536556243897,0.7505536556243897,0.747314453125,0.47698211669921875,1.2005615234375,1.0,1.0,True,coherent,0.6666135883331299,0.8411169934272765,0.5248387336730957,11.200063323974609,0.06701334036368982,0.06701334036368982,G1,O3,conditional,709,,,
G1:O3:conditional:L27H6,noise,20,1.6368679523468017,1.6368679523468017,1.6878662109375,0.543426513671875,2.786834716796875,1.0,1.0,True,coherent,1.3097699177265167,1.9585478234291078,1.0570731163024902,11.200063323974609,0.14614809800610307,0.14614809800610307,G1,O3,conditional,870,,,
G1:O3:interaction,noise,20,-0.5214826107025147,1.5916436672210694,-0.9810748100280762,-3.2059326171875,2.483428955078125,0.65,1.0,True,heterogeneous,-1.251920747756958,0.23487722873687739,1.8977557182312013,11.200063323974609,-0.046560684133476325,0.14211023823535282,G1,O3,interaction,,,,
G1:O3:whole,noise,20,6.64134635925293,6.64134635925293,6.566944122314453,3.20367431640625,9.133773803710938,1.0,1.0,True,coherent,5.868248367309571,7.384666690826415,5.337164306640625,11.200063323974609,0.5929740008734246,0.5929740008734246,G1,O3,whole,,,,
G1:O4:conditional:L18H18,noise,20,2.5590206146240235,2.5590206146240235,2.599609375,1.413818359375,3.86822509765625,1.0,1.0,True,coherent,2.246949300765991,2.8742378616333,3.1440879821777346,11.200063323974609,0.22848269162427326,0.22848269162427326,G1,O4,conditional,594,,,
G1:O4:conditional:L18H19,noise,20,2.875374603271484,2.875374603271484,2.885223388671875,1.5177001953125,4.1370086669921875,1.0,1.0,True,coherent,2.556794662475586,3.195611705780029,1.9639755249023438,11.200063323974609,0.2567284237685086,0.2567284237685086,G1,O4,conditional,595,,,
G1:O4:interaction,noise,20,-0.20898380279541015,0.6433271408081055,-0.23140716552734375,-1.4987030029296875,1.2605133056640625,0.65,0.8,True,heterogeneous,-0.5375075674057006,0.13472006797790503,0.8968959808349609,11.200063323974609,-0.018659162609202754,0.05743959852718097,G1,O4,interaction,,,,
