id,direction,pairs,clean_candidate_preferred,recipient_candidate_accuracy,mean_margin,individual_logits_available
0259de511e26cdd14804,noise,40,0.35,0.35,-0.8327375411987304,40
063ee72b36f310e782c2,noise,40,1.0,1.0,3.0406044006347654,40
0696fe9eaa5e0540e8ea,noise,40,1.0,1.0,5.803712844848633,40
09711229779df1a68761,noise,40,0.9,0.9,1.9970317840576173,40
09711229779df1a68761,restore,40,0.2,0.8,-1.5382572174072267,40
10b78cbe73e8c21e9e1c,noise,40,1.0,1.0,3.94958553314209,40
11d93f3f15b8d27500ce,noise,40,0.475,0.475,-0.20566129684448242,40
16ffc4c1ce2cd2f66524,noise,40,1.0,1.0,4.354243469238281,40
174572c211b4d905ec76,noise,40,1.0,1.0,6.667703294754029,40
191dd2d0cd7ba8a10723,noise,40,1.0,1.0,6.21531047821045,40
191dd2d0cd7ba8a10723,restore,40,0.0,1.0,-5.808363342285157,40
1d0d86d2dc7a4cdadc3f,noise,40,1.0,1.0,5.808608818054199,40
1d0d86d2dc7a4cdadc3f,restore,40,0.0,1.0,-5.39145450592041,40
1f20acc6c79bdb6a7528,noise,40,1.0,1.0,7.2402690887451175,40
2194dce47fb551f89f4a,noise,40,0.475,0.475,-0.24105796813964844,40
22e1f63a5a051aceed2f,noise,40,0.925,0.925,3.9669069051742554,40
269bd10623c6c6b4dca8,noise,40,1.0,1.0,5.808608818054199,40
269bd10623c6c6b4dca8,restore,40,0.0,1.0,-5.39145450592041,40
287a805babc9f16f7b2b,noise,40,0.975,0.975,2.7848590850830077,40
287a805babc9f16f7b2b,restore,40,0.15,0.85,-2.2860134124755858,40
3b7a24242d0a203200cc,noise,40,0.45,0.45,-0.08218388557434082,40
43b85772a4b05c744b63,noise,40,0.475,0.475,0.10254592895507812,40
44fd94434dce0ccdc882,noise,40,1.0,1.0,5.203856468200684,40
47fddc3299d3fa7fa53d,noise,40,1.0,1.0,6.399387001991272,40
47fddc3299d3fa7fa53d,restore,40,0.0,1.0,-5.721843004226685,40
48861ca75594a7d2600a,noise,40,1.0,1.0,4.741864776611328,40
4d2fd7b7128fd64234c9,noise,40,1.0,1.0,5.808608818054199,40
4d2fd7b7128fd64234c9,restore,40,0.0,1.0,-5.39145450592041,40
5b992e95dfee6ef41f85,noise,40,0.975,0.975,2.7342124938964845,40
670e26a2247eec7a78ba,noise,40,0.475,0.475,0.11152153015136719,40
670e26a2247eec7a78ba,restore,40,0.6,0.4,0.06484107971191407,40
698addce07e58e664686,noise,40,1.0,1.0,5.808608818054199,40
698addce07e58e664686,restore,40,0.0,1.0,-5.39145450592041,40
6ea845099157ecfa8fbd,noise,40,0.55,0.55,0.06301116943359375,40
7055f9fd53c1548e6b28,noise,40,0.55,0.55,-0.10845327377319336,40
7458622298d224bf0280,noise,40,0.5,0.5,0.3685643196105957,40
74ec64f87afe93eae40c,noise,40,1.0,1.0,4.0749351501464846,40
7620db13559adeff7e12,noise,40,0.925,0.925,2.360638427734375,40
79a24509c59e25181902,noise,40,1.0,1.0,6.479722595214843,40
7bb1fbf6eff81958a0e2,noise,40,1.0,1.0,5.806069731712341,40
7bb1fbf6eff81958a0e2,restore,40,0.0,1.0,-5.376342391967773,40
7ca75e6221d0c167e25e,noise,40,1.0,1.0,5.7338409423828125,40
7ca75e6221d0c167e25e,restore,40,0.0,1.0,-5.292791843414307,40
7faa687e58f24b04fba7,noise,40,0.9,0.9,1.989227867126465,40
8095d33b243ca6a44912,noise,40,1.0,1.0,5.071454477310181,40
8095d33b243ca6a44912,restore,40,0.0,1.0,-4.744068050384522,40
85b03ec05ae23865c08f,noise,40,1.0,1.0,5.33591856956482,40
85b03ec05ae23865c08f,restore,40,0.05,0.95,-4.9401428461074826,40
8cb5266133d8a210604f,noise,40,0.375,0.375,-0.4344638824462891,40
8cb5266133d8a210604f,restore,40,0.775,0.225,0.8448289394378662,40
956497eb78d14eec51bd,noise,40,1.0,1.0,5.325570487976075,40
9894a904b1107a193d23,noise,40,1.0,1.0,5.242261695861816,40
98c246f159e0761c2905,noise,40,1.0,1.0,4.4873710632324215,40
a1abdc13c0e9a7f18a24,noise,40,0.925,0.925,2.6030181884765624,40
a61c88ccfe3a9bafb7d7,noise,40,1.0,1.0,3.791118621826172,40
a6c31fd6980fb2643b0a,noise,40,0.95,0.95,4.090179824829102,40
ad417eb1650e85baa72f,noise,40,0.375,0.375,-0.45839653015136717,40
add077cbd013dd8b8ab8,noise,40,0.55,0.55,0.16522979736328125,40
b74af1e47d26b1e2f373,noise,40,0.55,0.55,0.009418869018554687,40
be8b2ca1555d2b32aa3a,noise,40,1.0,1.0,6.772355651855468,40
c13e94cb0bf47b740297,noise,40,0.55,0.55,0.259539794921875,40
c48fe68d367949930dc9,noise,40,0.525,0.525,-0.001447296142578125,40
c934c16d7a93c39e83e4,noise,40,0.35,0.35,-0.40860137939453123,40
c934c16d7a93c39e83e4,restore,40,0.625,0.375,0.6338100433349609,40
cec41ab38193f8498178,noise,40,1.0,1.0,3.9566551208496095,40
cec41ab38193f8498178,restore,40,0.075,0.925,-3.479305362701416,40
cfed3c0ca6275f63cfb0,noise,40,1.0,1.0,5.128767967224121,40
cfed3c0ca6275f63cfb0,restore,40,0.0,1.0,-4.797158241271973,40
d1142e48a101b7bf2de5,noise,40,0.65,0.65,1.155624008178711,40
d1212f6a8d3c39136013,noise,40,1.0,1.0,4.927692222595215,40
d504eb6a6cfa5a189cb2,noise,40,0.275,0.275,-1.063654899597168,40
d5a1286326d7e0ef284d,noise,40,1.0,1.0,5.790108585357666,40
d5a1286326d7e0ef284d,restore,40,0.0,1.0,-5.38171157836914,40
d804c71bd6eb483eed1d,noise,40,1.0,1.0,5.9554667472839355,40
d804c71bd6eb483eed1d,restore,40,0.0,1.0,-5.504498672485352,40
da5c288e8e11bebdee88,noise,40,0.6,0.6,0.24869461059570314,40
dc1c230b822f241bed29,noise,40,0.25,0.25,-1.193060302734375,40
de32ace63bf92b50e9d5,noise,40,0.625,0.625,0.8363479614257813,40
dff52201d13be6cd44a2,noise,40,0.275,0.275,-1.5842718124389648,40
e4506619212ddc74a075,noise,40,0.6,0.6,0.046848106384277347,40
e5f307214446c87899ef,noise,40,0.975,0.975,4.951423454284668,40
e69ef5cba973c53c75b8,noise,40,0.925,0.925,2.7242504119873048,40
e730b3a23b4f6e5ba311,noise,40,0.675,0.675,0.8041304111480713,40
e75d0076666e1929da52,noise,40,1.0,1.0,5.379579186439514,40
e75d0076666e1929da52,restore,40,0.05,0.95,-4.934173631668091,40
e9d0e3e2436dc2354605,noise,40,0.75,0.75,1.667597770690918,40
e9e1106421f14bceca7e,noise,40,1.0,1.0,4.582816314697266,40
f2f993ec1a1836b7fabd,noise,40,0.925,0.925,2.5824630737304686,40
f6865a08231ea4c92d62,noise,40,0.6,0.6,0.7478145599365235,40
f77e9c26b1955b27d9dc,noise,40,0.8,0.8,2.011706733703613,40
f80e9c18d50e2c327cc9,noise,40,0.975,0.975,3.77639217376709,40
fe96f7d2f12c75f5fa9e,noise,40,0.45,0.45,-0.12500228881835937,40
ff5faca3db4f5d62e944,noise,40,1.0,1.0,3.3330596923828124,40
intact,noise,40,1.0,1.0,5.808608818054199,40
intact,restore,40,0.0,1.0,-5.39145450592041,40
