family,m_clean_order_mean,m_corr_fixed_sign_order_mean,clean_corr_gap
0,4.20574951171875,-3.8455810546875,8.05133056640625
2,3.71533203125,-3.1399688720703125,6.8553009033203125
4,7.59857177734375,-7.337127685546875,14.935699462890625
6,3.4071044921875,-3.099853515625,6.5069580078125
8,4.606689453125,-2.96026611328125,7.56695556640625
12,8.083587646484375,-6.389495849609375,14.47308349609375
14,7.05474853515625,-6.27490234375,13.32965087890625
16,6.6240386962890625,-5.1085205078125,11.732559204101562
20,5.9189863204956055,-7.49169921875,13.410685539245605
24,5.21063232421875,-3.170135498046875,8.380767822265625
26,7.0938720703125,-5.984130859375,13.0780029296875
28,7.286376953125,-3.9442138671875,11.2305908203125
30,6.054931640625,-5.1844482421875,11.2393798828125
32,7.6240386962890625,-4.02978515625,11.653823852539062
34,8.816940784454346,-4.927734375,13.744675159454346
36,5.6748046875,-3.48651123046875,9.16131591796875
38,6.20208740234375,-4.609832763671875,10.811920166015625
40,3.0307579040527344,-3.60601806640625,6.636775970458984
44,3.7862548828125,-6.0706787109375,9.85693359375
46,4.156402587890625,-7.0495147705078125,11.205917358398438
48,3.81170654296875,-5.311279296875,9.12298583984375
50,4.70172119140625,-4.552734375,9.25445556640625
52,5.370819091796875,-5.3112945556640625,10.682113647460938
54,3.9381103515625,-5.3021240234375,9.240234375
56,6.6899871826171875,-7.1058349609375,13.795822143554688
58,4.82366943359375,-6.31103515625,11.13470458984375
60,4.14215087890625,-6.511474609375,10.65362548828125
62,6.280731201171875,-4.8793792724609375,11.160110473632812
64,4.0009765625,-4.893890380859375,8.894866943359375
66,3.4615478515625,-2.8601131439208984,6.321660995483398
68,4.7117919921875,-7.7138671875,12.4256591796875
70,3.760498046875,-5.543365478515625,9.303863525390625
72,3.042236328125,-6.340576171875,9.3828125
76,4.33099365234375,-5.759918212890625,10.090911865234375
78,6.9901123046875,-5.64013671875,12.6302490234375
80,5.669677734375,-5.43701171875,11.106689453125
82,3.1319580078125,-5.6748046875,8.8067626953125
84,5.0959625244140625,-10.8900146484375,15.985977172851562
86,4.01885986328125,-3.279571533203125,7.298431396484375
88,5.598388671875,-7.141143798828125,12.739532470703125
90,3.8414344787597656,-3.6815261840820312,7.522960662841797
92,4.423095703125,-6.22711181640625,10.65020751953125
94,3.57891845703125,-11.061981201171875,14.640899658203125
96,7.272331237792969,-7.37060546875,14.642936706542969
98,5.1688232421875,-4.62835693359375,9.79718017578125
100,4.40301513671875,-4.67431640625,9.07733154296875
102,6.470542907714844,-6.0399169921875,12.510459899902344
104,4.850311279296875,-3.159759521484375,8.01007080078125
108,4.503833770751953,-4.992137908935547,9.4959716796875
110,5.811279296875,-5.2059326171875,11.0172119140625
112,9.882820129394531,-6.9520263671875,16.83484649658203
114,5.61297607421875,-2.87322998046875,8.4862060546875
116,5.92822265625,-3.8736114501953125,9.801834106445312
118,7.32855224609375,-4.776611328125,12.10516357421875
120,8.156280517578125,-4.377685546875,12.533966064453125
122,5.037589073181152,-5.973114013671875,11.010703086853027
124,7.39990234375,-5.5855712890625,12.9854736328125
126,4.60162353515625,-4.12213134765625,8.7237548828125
128,6.131805419921875,-6.18023681640625,12.312042236328125
130,5.5310516357421875,-3.439453125,8.970504760742188
132,4.92578125,-4.5140380859375,9.4398193359375
134,4.175018310546875,-3.52825927734375,7.703277587890625
136,8.294677734375,-4.70648193359375,13.00115966796875
138,2.259429931640625,-5.5661163330078125,7.8255462646484375
140,7.17333984375,-4.730224609375,11.903564453125
142,8.508544921875,-2.6939544677734375,11.202499389648438
148,4.703369140625,-5.753349304199219,10.456718444824219
150,5.452728271484375,-4.731475830078125,10.1842041015625
152,3.827880859375,-5.30108642578125,9.12896728515625
154,5.3587646484375,-4.92333984375,10.2821044921875
156,4.734161376953125,-5.9599609375,10.694122314453125
158,5.1778564453125,-2.71240234375,7.8902587890625
160,7.125807762145996,-5.422203063964844,12.54801082611084
162,7.242919921875,-6.8824462890625,14.1253662109375
166,8.120758056640625,-7.05145263671875,15.172210693359375
168,8.0380859375,-9.2376708984375,17.2757568359375
170,8.5125732421875,-8.396728515625,16.9093017578125
172,3.4671630859375,-4.20672607421875,7.67388916015625
174,10.185302734375,-8.944580078125,19.1298828125
176,7.385009765625,-4.103549957275391,11.48855972290039
178,6.178844451904297,-5.30322265625,11.482067108154297
180,4.78363037109375,-8.897628784179688,13.681259155273438
182,7.517333984375,-5.0955810546875,12.6129150390625
186,5.81976318359375,-7.533935546875,13.35369873046875
188,5.95208740234375,-7.8026123046875,13.75469970703125
192,5.91632080078125,-6.78436279296875,12.70068359375
194,5.1439208984375,-6.1138916015625,11.2578125
196,6.3583984375,-6.2451171875,12.603515625
198,7.4854736328125,-6.179931640625,13.6654052734375
