config_id,family,noise,restore,extension_priority,source,site,receiver,channel,mediators,live_heads,bidirectional_mean,same_sign
chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=L16H1+L16H21,58,0.06714630126953125,0.1231689453125,1,L15H25,query_sentence,L18H18,Q,none,L16H1+L16H21,0.09515762329101562,True
chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=L16H1+L16H21,60,0.0394287109375,0.0654296875,1,L15H25,query_sentence,L18H18,Q,none,L16H1+L16H21,0.05242919921875,True
chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=L16H1+L16H21,62,0.113433837890625,0.4322357177734375,1,L15H25,query_sentence,L18H18,Q,none,L16H1+L16H21,0.27283477783203125,True
chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=L16H1+L16H21,64,0.31781005859375,-0.053009033203125,1,L15H25,query_sentence,L18H18,Q,none,L16H1+L16H21,0.1324005126953125,False
chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=L16H1+L16H21,66,0.14617919921875,0.08816909790039062,1,L15H25,query_sentence,L18H18,Q,none,L16H1+L16H21,0.11717414855957031,True
chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=L16H1+L16H21,68,0.4578857421875,0.2744140625,1,L15H25,query_sentence,L18H18,Q,none,L16H1+L16H21,0.36614990234375,True
chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=L16H1+L16H21,70,0.133544921875,0.1185302734375,1,L15H25,query_sentence,L18H18,Q,none,L16H1+L16H21,0.12603759765625,True
chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=L16H1+L16H21,72,0.151611328125,0.2545166015625,1,L15H25,query_sentence,L18H18,Q,none,L16H1+L16H21,0.20306396484375,True
chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=L16H1+L16H21,76,0.2308349609375,0.17474365234375,1,L15H25,query_sentence,L18H18,Q,none,L16H1+L16H21,0.202789306640625,True
chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=L16H1+L16H21,78,0.202880859375,0.336669921875,1,L15H25,query_sentence,L18H18,Q,none,L16H1+L16H21,0.269775390625,True
chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=L16H1+L16H21,80,0.18389892578125,0.30914306640625,1,L15H25,query_sentence,L18H18,Q,none,L16H1+L16H21,0.24652099609375,True
chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=L16H1+L16H21,82,0.119873046875,0.294677734375,1,L15H25,query_sentence,L18H18,Q,none,L16H1+L16H21,0.207275390625,True
chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=L16H1+L16H21,84,0.22391510009765625,0.1915283203125,1,L15H25,query_sentence,L18H18,Q,none,L16H1+L16H21,0.20772171020507812,True
