source,selected_configs,full89_noise_retained,full89_restore_retained,both_retained_same_mean_sign,mean_noise_increment,mean_restore_increment,mean_family_sign_match
L15H25,3,3,3,3,0.18018431967117365,0.1832806197891521,0.9662921348314607
L17H1,6,6,6,6,0.5836171318082773,0.5443703936280383,0.9719101123595505
L20H7,1,1,1,1,-0.06877314910460054,-0.06122243002559362,0.47191011235955055
L26H23,2,2,2,2,-0.1359535174423389,-0.1246949327125978,0.8876404494382022
L8H15,4,4,4,4,-0.14541021257304074,-0.143643843993712,0.9943820224719101
