extension_priority,config_id,comparator_config_id,source,site,receiver,channel,mediators,live_heads,screen20_mean_signed,screen20_mean_abs,screen20_sign_agreement,screen20_active_fraction,screen20_coherent,screen20_heterogeneous,screen20_retained,noise_n_families,noise_mean_signed,noise_mean_abs,noise_median,noise_min,noise_max,noise_std,noise_positive_fraction,noise_negative_fraction,noise_zero_fraction,noise_sign_agreement,noise_active_fraction,noise_coherent,noise_heterogeneous,noise_retained,restore_n_families,restore_mean_signed,restore_mean_abs,restore_median,restore_min,restore_max,restore_std,restore_positive_fraction,restore_negative_fraction,restore_zero_fraction,restore_sign_agreement,restore_active_fraction,restore_coherent,restore_heterogeneous,restore_retained,noise_restore_mean_sign_match,bidirectional_status,family_sign_match_fraction,family_pearson_noise_restore,mean_abs_noise_restore_difference,bidirectional_family_mean_signed,bidirectional_family_mean_abs,bidirectional_family_sign_agreement,bidirectional_family_active_fraction,full89_noise_minus_screen20_mean_signed,full89_noise_minus_screen20_mean_abs,full89_noise_same_mean_sign_as_screen20,full89_restore_same_mean_sign_as_screen20,screen20_to_full89_noise_retained
1,chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=L16H1+L16H21,direct_chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=none,L15H25,query_sentence,L18H18,Q,none,L16H1+L16H21,0.2256136894226074,0.2256136894226074,1.0,0.9,True,True,True,89,0.21744826134670986,0.21767868620626044,0.18389892578125,-0.01025390625,0.662109375,0.13256364032544823,0.9887640449438202,0.011235955056179775,0.0,0.9887640449438202,0.8651685393258427,True,True,True,89,0.22168356648991616,0.22342135397236,0.1983642578125,-0.053009033203125,0.706787109375,0.14936668968741676,0.9775280898876404,0.02247191011235955,0.0,0.9775280898876404,0.8202247191011236,True,True,True,True,both_retained_same_mean_sign,0.9662921348314607,0.3167969591868866,0.12398024891199691,0.219565913918313,0.219565913918313,1.0,0.8764044943820225,-0.00816542807589754,-0.007935003216346964,True,True,True
2,chain|src=L17H1|site=query_writer_union|recv=L27H6|ch=Q|med=none|live=L18H18+L18H19,direct_chain|src=L17H1|site=query_writer_union|recv=L27H6|ch=Q|med=none|live=none,L17H1,query_writer_union,L27H6,Q,none,L18H18+L18H19,1.6627162933349608,1.6627162933349608,1.0,1.0,True,True,True,89,1.6349847772148218,1.6350341539704398,1.603851318359375,-0.001953125,3.78729248046875,0.9099309900643958,0.9775280898876404,0.02247191011235955,0.0,0.9775280898876404,0.9775280898876404,True,True,True,89,1.5114330013146562,1.5115756452753302,1.3659515380859375,-0.00634765625,4.3697614669799805,0.8760126815400077,0.9887640449438202,0.011235955056179775,0.0,0.9887640449438202,0.9775280898876404,True,True,True,True,both_retained_same_mean_sign,0.9887640449438202,0.6784615557530039,0.5770757760894433,1.573208889264739,1.573302156469795,0.9887640449438202,0.9775280898876404,-0.02773151612013902,-0.02768213936452102,True,True,True
3,local|src=L20H7|site=colon|recv=residual_to_logits|ch=bypass|med=MLP20+block21+block22|live=none,local|src=L20H7|site=colon|recv=residual_to_logits|ch=bypass|med=none|live=none,L20H7,colon,residual_to_logits,bypass,MLP20+block21+block22,none,-0.1019377589225769,0.1475935816764831,0.85,0.6,True,True,True,89,-0.06877314910460054,0.12132169691364417,-0.047698974609375,-0.5201416015625,0.315277099609375,0.14910170477399204,0.29213483146067415,0.7078651685393258,0.0,0.7078651685393258,0.4943820224719101,False,True,True,89,-0.06122243002559362,0.12073616499311468,-0.05419921875,-0.6800537109375,0.2917633056640625,0.15758660141933595,0.3258426966292135,0.6741573033707865,0.0,0.6741573033707865,0.48314606741573035,False,True,True,True,both_retained_same_mean_sign,0.47191011235955055,-0.5267384563120431,0.1917715420883693,-0.06499778956509708,0.07895242364219066,0.8764044943820225,0.2696629213483146,0.03316460981797635,-0.026271884762838926,True,True,True
4,local|src=L26H23|site=colon|recv=residual_to_logits|ch=bypass|med=MLP26+block27+block28|live=none,local|src=L26H23|site=colon|recv=residual_to_logits|ch=bypass|med=none|live=none,L26H23,colon,residual_to_logits,bypass,MLP26+block27+block28,none,-0.2489046096801757,0.2489046096801757,1.0,0.8,True,True,True,89,-0.18270183948988325,0.19002914428710938,-0.12856674194335938,-0.7734375,0.2275390625,0.18396754745768518,0.10112359550561797,0.898876404494382,0.0,0.898876404494382,0.6067415730337079,True,True,True,89,-0.16588709595498075,0.17700063780452427,-0.1146240234375,-0.7575149536132812,0.184783935546875,0.17331090201884503,0.0898876404494382,0.898876404494382,0.011235955056179775,0.898876404494382,0.5617977528089888,True,True,True,True,both_retained_same_mean_sign,0.9101123595505618,0.7284475157076861,0.09374686841214641,-0.17429446772243198,0.18252109811547096,0.9101123595505618,0.5842696629213483,0.06620277019029244,-0.05887546539306632,True,True,True
5,local|src=L8H15|site=query_sentence|recv=L18H18|ch=V|med=MLP8+MLP9|live=none,local|src=L8H15|site=query_sentence|recv=L18H18|ch=V|med=none|live=none,L8H15,query_sentence,L18H18,V,MLP8+MLP9,none,-0.1731982231140136,0.1731982231140136,1.0,0.8,True,True,True,89,-0.15956695428055323,0.15956695428055323,-0.15216827392578125,-0.39019775390625,-0.008544921875,0.07210868930128385,0.0,1.0,0.0,1.0,0.797752808988764,True,True,True,89,-0.1538704539952653,0.1538704539952653,-0.150146484375,-0.411376953125,-0.008544921875,0.06796237685737282,0.0,1.0,0.0,1.0,0.7303370786516854,True,True,True,True,both_retained_same_mean_sign,1.0,0.5169820118641335,0.05383782976129082,-0.15671870413790928,0.15671870413790928,1.0,0.8089887640449438,0.013631268833460358,-0.013631268833460358,True,True,True
6,chain|src=L17H1|site=query_writer_union|recv=L27H6|ch=Q|med=none|live=L18H18,direct_chain|src=L17H1|site=query_writer_union|recv=L27H6|ch=Q|med=none|live=none,L17H1,query_writer_union,L27H6,Q,none,L18H18,0.8579025268554688,0.8582504272460938,0.95,0.9,True,True,True,89,0.8760422963774606,0.8761424214652415,0.8529052734375,-0.00347900390625,2.40301513671875,0.4999529257955216,0.9775280898876404,0.02247191011235955,0.0,0.9775280898876404,0.9550561797752809,True,True,True,89,0.8085399906287033,0.8085646790065123,0.765625,-0.0010986328125,2.537567138671875,0.48556697438188223,0.9887640449438202,0.011235955056179775,0.0,0.9887640449438202,0.9662921348314607,True,True,True,True,both_retained_same_mean_sign,0.9662921348314607,0.5530570065508621,0.3767299705676818,0.842291143503082,0.842291143503082,1.0,0.9662921348314607,0.01813976952199181,0.017891994219147667,True,True,True
7,chain|src=L17H1|site=query_writer_union|recv=L27H6|ch=Q|med=none|live=L18H19,direct_chain|src=L17H1|site=query_writer_union|recv=L27H6|ch=Q|med=none|live=none,L17H1,query_writer_union,L27H6,Q,none,L18H19,0.4212545394897461,0.4246713638305664,0.9,0.8,True,True,True,89,0.4303084786018629,0.431180544113845,0.40570068359375,-0.021381378173828125,1.18316650390625,0.29782969747662896,0.9662921348314607,0.033707865168539325,0.0,0.9662921348314607,0.8202247191011236,True,True,True,89,0.40896526347385365,0.40904755806655024,0.3397216796875,-0.003662109375,1.24609375,0.2851873389248996,0.9887640449438202,0.011235955056179775,0.0,0.9887640449438202,0.8764044943820225,True,True,True,True,both_retained_same_mean_sign,0.9550561797752809,0.5281013712942086,0.22843022292919374,0.41963687103785824,0.41969859198238074,0.9775280898876404,0.9213483146067416,0.009053939112116771,0.006509180283278571,True,True,True
8,chain|src=L17H1|site=query_writer_union|recv=L21H6|ch=Q|med=none|live=L18H18+L18H19,direct_chain|src=L17H1|site=query_writer_union|recv=L21H6|ch=Q|med=none|live=none,L17H1,query_writer_union,L21H6,Q,none,L18H18+L18H19,0.2160877704620361,0.2160877704620361,1.0,0.85,True,True,True,89,0.2080986848038234,0.2093023503764292,0.19586181640625,-0.05356311798095703,0.79461669921875,0.13585234119205786,0.9775280898876404,0.011235955056179775,0.011235955056179775,0.9775280898876404,0.7640449438202247,True,True,True,89,0.19418470511275732,0.19418470511275732,0.1741943359375,0.00244140625,0.668914794921875,0.11590995640076888,1.0,0.0,0.0,1.0,0.797752808988764,True,True,True,True,both_retained_same_mean_sign,0.9775280898876404,0.3684576646292137,0.10408000731736086,0.20114169495829035,0.20114169495829035,1.0,0.8314606741573034,-0.007989085658212686,-0.006785420085606897,True,True,True
9,chain|src=L17H1|site=query_writer_union|recv=L22H5|ch=Q|med=none|live=L18H18+L18H19,direct_chain|src=L17H1|site=query_writer_union|recv=L22H5|ch=Q|med=none|live=none,L17H1,query_writer_union,L22H5,Q,none,L18H18+L18H19,0.210403823852539,0.210403823852539,1.0,0.85,True,True,True,89,0.19364298863357374,0.1944878797852591,0.173187255859375,-0.023193359375,0.5985107421875,0.13827002700478339,0.9662921348314607,0.033707865168539325,0.0,0.9662921348314607,0.7303370786516854,True,True,True,89,0.16950735081447643,0.16961433378498206,0.165557861328125,-0.0025634765625,0.6240234375,0.1017168916120108,0.9775280898876404,0.02247191011235955,0.0,0.9775280898876404,0.6966292134831461,True,True,True,True,both_retained_same_mean_sign,0.9662921348314607,0.6154294289671015,0.08201030131136433,0.18157516972402507,0.181650606433997,0.9887640449438202,0.7528089887640449,-0.016760835218965264,-0.01591594406727989,True,True,True
10,chain|src=L15H25|site=query_child_last|recv=L18H18|ch=Q|med=none|live=L16H1+L16H21,direct_chain|src=L15H25|site=query_child_last|recv=L18H18|ch=Q|med=none|live=none,L15H25,query_child_last,L18H18,Q,none,L16H1+L16H21,0.1791830062866211,0.1791830062866211,1.0,0.85,True,True,True,89,0.17205846443604889,0.17219013578436348,0.14404296875,-0.005859375,0.614501953125,0.11124603016301517,0.9887640449438202,0.011235955056179775,0.0,0.9887640449438202,0.7303370786516854,True,True,True,89,0.17878527587719178,0.18024497621514823,0.16180419921875,-0.0366363525390625,0.6279296875,0.12734252943967875,0.9775280898876404,0.02247191011235955,0.0,0.9775280898876404,0.7191011235955056,True,True,True,True,both_retained_same_mean_sign,0.9662921348314607,0.38157617919015363,0.10005724831913294,0.17542187015662034,0.17542187015662034,1.0,0.7752808988764045,-0.007124541850572208,-0.006992870502257609,True,True,True
