layer,head,variant,evals,qk_passes,freq,n_a,strength_first,strength_last,null_tok10,null_random
0,31,reorder,513581,0,0,0,0,0,0,0
1,0,base,513588,0,0,0,0,0,0,0
1,0,corrupted,513588,0,0,0,0,0,0,0
1,0,reorder,513581,0,0,0,0,0,0,0
1,1,base,513588,224,0.000436147,224,0.00734397,0.050657,0.00903741,0.0332448
1,1,corrupted,513588,224,0.000436147,224,0.00750398,0.0504942,0.00903375,0.0345048
1,1,reorder,513581,224,0.000436153,224,0.00732661,0.0506806,0.00903016,0.0269647
1,2,base,513588,0,0,0,0,0,0,0
1,2,corrupted,513588,0,0,0,0,0,0,0
1,2,reorder,513581,0,0,0,0,0,0,0
1,3,base,513588,0,0,0,0,0,0,0
1,3,corrupted,513588,0,0,0,0,0,0,0
1,3,reorder,513581,0,0,0,0,0,0,0
1,4,base,513588,0,0,0,0,0,0,0
1,4,corrupted,513588,0,0,0,0,0,0,0
1,4,reorder,513581,0,0,0,0,0,0,0
1,5,base,513588,0,0,0,0,0,0,0
1,5,corrupted,513588,0,0,0,0,0,0,0
1,5,reorder,513581,0,0,0,0,0,0,0
1,6,base,513588,0,0,0,0,0,0,0
1,6,corrupted,513588,0,0,0,0,0,0,0
1,6,reorder,513581,0,0,0,0,0,0,0
1,7,base,513588,0,0,0,0,0,0,0
1,7,corrupted,513588,0,0,0,0,0,0,0
1,7,reorder,513581,0,0,0,0,0,0,0
1,8,base,513588,0,0,0,0,0,0,0
1,8,corrupted,513588,0,0,0,0,0,0,0
1,8,reorder,513581,0,0,0,0,0,0,0
1,9,base,513588,69,0.000134349,69,0.0812083,0.0066346,0.00773395,0.0254179
1,9,corrupted,513588,70,0.000136296,70,0.0796539,0.00547839,0.00674343,0.0337554
1,9,reorder,513581,69,0.000134351,69,0.0819504,0.00613115,0.00616232,0.0409884
1,10,base,513588,0,0,0,0,0,0,0
1,10,corrupted,513588,0,0,0,0,0,0,0
1,10,reorder,513581,0,0,0,0,0,0,0
1,11,base,513588,0,0,0,0,0,0,0
1,11,corrupted,513588,0,0,0,0,0,0,0
1,11,reorder,513581,0,0,0,0,0,0,0
1,12,base,513588,48,9.34601e-05,48,0.00956802,0,0.0323467,0.0228019
1,12,corrupted,513588,50,9.73543e-05,50,0.0091853,0.000339701,0.0310528,0.0356512
1,12,reorder,513581,48,9.34614e-05,48,0.00956802,0,0.0323467,0.0397413
1,13,base,513588,4,7.78834e-06,4,0.00570594,0.0100271,0.0177182,0.00199752
1,13,corrupted,513588,4,7.78834e-06,4,0.0409014,0,0.01713,0.0276474
1,13,reorder,513581,4,7.78845e-06,4,0.00601876,0.0102927,0.0182694,0.0169607
1,14,base,513588,0,0,0,0,0,0,0
1,14,corrupted,513588,0,0,0,0,0,0,0
1,14,reorder,513581,0,0,0,0,0,0,0
1,15,base,513588,0,0,0,0,0,0,0
1,15,corrupted,513588,0,0,0,0,0,0,0
1,15,reorder,513581,0,0,0,0,0,0,0
1,16,base,513588,7,1.36296e-05,7,0.0167534,0.0212904,0.0056046,0.0190263
1,16,corrupted,513588,3,5.84126e-06,3,0.0159633,8.35661e-05,0.00811405,0
1,16,reorder,513581,4,7.78845e-06,4,0,0.0125782,0.00589512,0.0213893
1,17,base,513588,501,0.00097549,501,0.00496469,0.00178474,0.0255131,0.0195786
1,17,corrupted,513588,498,0.000969649,498,0.00485831,0.00164024,0.0256474,0.020254
1,17,reorder,513581,523,0.00101834,523,0.0053298,0.00154467,0.0252145,0.0187784
1,18,base,513588,0,0,0,0,0,0,0
1,18,corrupted,513588,0,0,0,0,0,0,0
1,18,reorder,513581,0,0,0,0,0,0,0
1,19,base,513588,0,0,0,0,0,0,0
1,19,corrupted,513588,0,0,0,0,0,0,0
1,19,reorder,513581,0,0,0,0,0,0,0
1,20,base,513588,0,0,0,0,0,0,0
1,20,corrupted,513588,0,0,0,0,0,0,0
1,20,reorder,513581,1,1.94711e-06,1,0,0.045315,0.0115624,0
1,21,base,513588,238,0.000463406,238,0.00809876,0.010353,0.00436377,0.0174274
1,21,corrupted,513588,258,0.000502348,258,0.00819485,0.00871626,0.00465803,0.0158427
1,21,reorder,513581,334,0.000650336,334,0.00730406,0.00770791,0.00448203,0.0176015
1,22,base,513588,0,0,0,0,0,0,0
1,22,corrupted,513588,0,0,0,0,0,0,0
1,22,reorder,513581,0,0,0,0,0,0,0
1,23,base,513588,0,0,0,0,0,0,0
1,23,corrupted,513588,0,0,0,0,0,0,0
1,23,reorder,513581,0,0,0,0,0,0,0
1,24,base,513588,0,0,0,0,0,0,0
1,24,corrupted,513588,0,0,0,0,0,0,0
1,24,reorder,513581,0,0,0,0,0,0,0
1,25,base,513588,0,0,0,0,0,0,0
1,25,corrupted,513588,0,0,0,0,0,0,0
1,25,reorder,513581,0,0,0,0,0,0,0
1,26,base,513588,6,1.16825e-05,6,0.00709732,0.0567934,0,0.00623798
