id,direction,pairs,clean_candidate_preferred,recipient_candidate_accuracy,mean_margin,individual_logits_available
0072032b92275a7a7e3d,noise,40,0.425,0.425,-0.4745760917663574,40
0259de511e26cdd14804,noise,40,0.35,0.35,-0.8327375411987304,40
063ee72b36f310e782c2,noise,40,1.0,1.0,3.0406044006347654,40
191dd2d0cd7ba8a10723,noise,40,1.0,1.0,6.21531047821045,40
1aea0a9cdf05a51cc0f8,noise,40,1.0,1.0,8.216362380981446,40
22e1f63a5a051aceed2f,noise,40,0.925,0.925,3.9669069051742554,40
230de2dbc61ae2724121,noise,40,0.525,0.525,-0.18354721069335939,40
43b85772a4b05c744b63,noise,40,0.475,0.475,0.10254592895507812,40
6ea845099157ecfa8fbd,noise,40,0.55,0.55,0.06301116943359375,40
740f875b6f7aeff378a3,noise,40,1.0,1.0,8.936372911930084,40
7458622298d224bf0280,noise,40,0.5,0.5,0.3685643196105957,40
7d19b1152b24724156a0,noise,40,0.15,0.15,-1.9353988647460938,40
a6c31fd6980fb2643b0a,noise,40,0.95,0.95,4.090179824829102,40
add077cbd013dd8b8ab8,noise,40,0.55,0.55,0.16522979736328125,40
c48fe68d367949930dc9,noise,40,0.525,0.525,-0.001447296142578125,40
d1212f6a8d3c39136013,noise,40,1.0,1.0,4.927692222595215,40
d805117759e8bcd87ccf,noise,40,1.0,1.0,7.994760274887085,40
da5c288e8e11bebdee88,noise,40,0.6,0.6,0.24869461059570314,40
dc8e0dfdc84b3c07cf1b,noise,40,1.0,1.0,8.568736267089843,40
e5f307214446c87899ef,noise,40,0.975,0.975,4.951423454284668,40
e69ef5cba973c53c75b8,noise,40,0.925,0.925,2.7242504119873048,40
