background,heads,mean,ma,ci_low,ci_high,tv,relative_z,mother_mass,mother_delta,max_tv
0,intact,0.004895973205566406,0.025926780700683594,-0.013816924095153808,0.03578794479370111,0.0,0.0,0.09242755578607102,0.0,0.0
1,L21H18,0.007069587707519531,0.026161003112792968,-0.012163577079772949,0.039040451049804685,0.02473663746681467,0.0562885566617479,0.09102107152816644,-0.0014064842579045943,0.07551461549974192
2,"L21H18,L22H5,L21H6",0.007803916931152344,0.02648639678955078,-0.011572084426879882,0.03890459060668943,0.04029991518913505,0.09598315183312965,0.09054701857667169,-0.0018805372093993356,0.09718105952833866
3,"L21H18,L22H5,L21H6,L27H6",0.023932647705078126,0.039652252197265626,-0.007955398559570313,0.06848615646362297,0.04029991518913505,0.09598315183312965,0.09054701857667169,-0.0018805372093993356,0.09718105952833866
4,L27H6,0.02055511474609375,0.03833770751953125,-0.00938720703125,0.06160907745361326,0.0,0.0,0.09242755578607102,0.0,0.0
