head,phase,direction,mode,prior_P,prior_F,conditional_mean,conditional_ma,conditional_class,conditional_retained,ci_low,ci_high,change_mean,change_ma,change_retained
L1H27,conditional,noise,donor,0.021794962079337475,-0.00030800465787394663,0.032522189617156985,0.06939352750778198,below_rule,False,-0.00886904150247574,0.07635544538497915,0.0035716891288757324,0.014718711376190186,False
L6H24,conditional,noise,donor,0.10134880730275357,-0.0004334744442714734,0.003469419479370117,0.27115740776062014,heterogeneous,True,-0.15990739345550536,0.1691189849376678,-0.007536578178405762,0.0527693510055542,False
L6H24,extension,noise,donor,0.10134880730275357,-0.0004334744442714734,0.09603064381674434,0.2408324560422576,heterogeneous,True,0.03083702650632751,0.16205232116613494,-0.005318163486009234,0.04934935221511327,False
L6H24,extension,restore,donor,0.10134880730275357,-0.0004334744442714734,0.1034898597202944,0.21918139832743097,heterogeneous,True,0.04434136460336407,0.16573256147041748,-0.010834728733877117,0.06053636583049646,False
L6H24,sensitivity,noise,mean,0.10134880730275357,-0.0004334744442714734,-0.06489704432112448,0.29922735021355445,heterogeneous,True,-0.1494896308759625,0.015487821852223242,-0.0006194757611564036,0.02939030829440342,False
L6H24,sensitivity,restore,mean,0.10134880730275357,-0.0004334744442714734,-0.03636326682701539,0.2352190205220426,heterogeneous,True,-0.10265038723356269,0.029911805203791362,0.005729061833928141,0.033414270100968604,False
L8H8,conditional,noise,donor,-0.04493177606818381,-0.00025186645850706636,-0.038033676147460935,0.050513076782226565,below_rule,False,-0.06135128021240234,-0.015039472579956085,0.002182483673095703,0.007111072540283203,False
L8H15,conditional,noise,donor,0.279438067018316,-0.00044379341468382417,0.3496511459350586,0.39798870086669924,coherent,True,0.19759835243225096,0.5090546655654905,-0.0173583984375,0.042496109008789064,False
L8H15,extension,noise,donor,0.279438067018316,-0.00044379341468382417,0.2840294047687831,0.3790642478492823,coherent,True,0.2042123226637251,0.36361814723925645,0.004591337750467022,0.04432508516847418,False
L8H15,extension,restore,donor,0.279438067018316,-0.00044379341468382417,0.3162273021226519,0.3428313223163733,coherent,True,0.26042485719316466,0.37236136104283707,0.01411650154028046,0.05025803640987096,False
