family,mode,direction,background,effect
158,mean,restore,weakened,-1.7365646362304688
160,mean,restore,weakened,-0.3572654724121094
162,mean,restore,weakened,-0.08734130859375
166,mean,restore,weakened,-0.27315521240234375
168,mean,restore,weakened,-1.2962646484375
170,mean,restore,weakened,0.47454833984375
172,mean,restore,weakened,-1.1357421875
174,mean,restore,weakened,-0.82354736328125
176,mean,restore,weakened,-1.257598876953125
178,mean,restore,weakened,0.63677978515625
180,mean,restore,weakened,-0.97418212890625
182,mean,restore,weakened,-3.33428955078125
186,mean,restore,weakened,-0.9873046875
188,mean,restore,weakened,-0.3135986328125
192,mean,restore,weakened,-0.0186767578125
194,mean,restore,weakened,-0.3056001663208008
196,mean,restore,weakened,-0.684326171875
198,mean,restore,weakened,-2.000732421875
