id,direction,pairs,clean_candidate_preferred,recipient_candidate_accuracy,mean_margin,individual_logits_available
0061023199c64b643fb3,noise,40,1.0,1.0,3.961638259887695,40
04c45f1dd9dd86f0659c,noise,40,0.85,0.85,0.926944351196289,40
0530fc216644b6d345df,noise,40,1.0,1.0,6.431700897216797,40
05b74376c41eba375fba,noise,40,1.0,1.0,3.9579465866088865,40
097aeb51f2f688dd6802,noise,40,1.0,1.0,5.800084495544434,0
102d4d895eefba3fc400,noise,40,0.625,0.625,0.41619319915771485,40
10c30418fec83259a51c,noise,40,0.925,0.925,3.155945587158203,40
16045623d1333d48cb7b,noise,40,1.0,1.0,3.99468879699707,40
1699d61648e5db3fa311,noise,40,1.0,1.0,3.9215925216674803,40
17c32182cf9045b00f67,noise,40,1.0,1.0,3.990585708618164,40
1bb987e20db5b18cd860,noise,40,1.0,1.0,4.162890243530273,40
2013a096696d597aac66,noise,40,1.0,1.0,5.791826057434082,0
26a6c39d6c6f65e1017a,noise,40,0.975,0.975,3.8308107376098635,40
26cc206ebb39c1f2f258,noise,40,1.0,1.0,5.779658317565918,0
275208eb34e004bca5ab,noise,40,1.0,1.0,5.885904288291931,0
2c8e730a914408f0c601,noise,40,1.0,1.0,8.152570343017578,40
3073eb1d0b34f1464922,noise,40,1.0,1.0,3.924132931232452,40
39e6b92108cfb36e79ff,noise,40,1.0,1.0,5.9198075294494625,0
3d42dbabb95a2dc1e352,noise,40,1.0,1.0,5.796550369262695,0
3ee968eb1bd7eecd2901,noise,40,1.0,1.0,3.0952003479003904,40
3fcf54916804858cccfe,noise,40,1.0,1.0,4.06213607788086,40
40be722638d68ec30c0e,noise,40,1.0,1.0,5.774146652221679,0
4a9bd8897528889fa3a1,noise,40,1.0,1.0,5.7215495824813845,40
4d8698674f5d9297370b,noise,40,1.0,1.0,5.793609619140625,0
51df496169a778e7affd,noise,40,1.0,1.0,4.077863311767578,40
526a5a6c876b2c32b409,noise,40,0.1,0.1,-1.244491958618164,40
52da9aa35ee7cc510b0b,noise,40,1.0,1.0,4.019432449340821,40
5724a2407f2958582893,noise,40,1.0,1.0,3.9045480251312257,40
583307ebe87df5ffa36e,noise,40,1.0,1.0,6.757904052734375,0
59a52d841820229c32d1,noise,40,1.0,1.0,6.659489560127258,0
5dda120d2d3421f9cb76,noise,40,1.0,1.0,5.802877140045166,0
60eaecfffe10c7a8a075,noise,40,1.0,1.0,4.017306327819824,40
61bc4e57b1be913e81e1,noise,40,0.95,0.95,3.4749496459960936,40
629aa529fd11f5f6df56,noise,40,1.0,1.0,5.813800716400147,0
65c978cf60ccf2c8bdad,noise,40,1.0,1.0,5.898998236656189,40
6f94c0de79ff2bc5a01e,noise,40,1.0,1.0,4.383349609375,40
6fe3b8920a501cdd1472,noise,40,1.0,1.0,5.6267376899719235,40
7777b7398625d8434c93,noise,40,1.0,1.0,4.849438667297363,40
789e6f0fed6e4d35b5f1,noise,40,1.0,1.0,3.9372303009033205,40
7b1059323139afed6673,noise,40,1.0,1.0,3.951358413696289,40
7b81c2052c3d57249894,noise,40,1.0,1.0,3.943218231201172,40
7c82646d031c2d95d251,noise,40,1.0,1.0,4.889927673339844,40
7d1bc2e9212f00edf795,noise,40,1.0,1.0,5.441599273681641,0
7efccbcb821c059a33a6,noise,40,1.0,1.0,3.947643280029297,40
8ad99b11bccc72b474e5,noise,40,1.0,1.0,5.312135028839111,0
