head,population,tokens,self_minus_others,mean_self_rank_min,mean_self_rank_max,self_top_fraction
L0H1,name,314,-0.011933683417737484,164.31528662420382,164.36624203821657,0.0031847133757961785
L0H1,nonname,128,-0.003986413590610027,66.7890625,66.8203125,0.0078125
L2H21,name,314,0.004730056039988995,150.71656050955414,150.78025477707007,0.006369426751592357
L2H21,nonname,128,0.01665431633591652,50.5859375,50.5859375,0.0234375
L4H0,name,314,-0.005829925183206797,169.21974522292993,169.28343949044586,0.006369426751592357
L4H0,nonname,128,0.00022323906887322664,64.921875,64.9296875,0.015625
L6H12,name,314,0.008381315506994724,140.23566878980893,140.30254777070064,0.006369426751592357
L6H12,nonname,128,0.004823582246899605,59.7109375,59.71875,0.0078125
L7H18,name,314,-0.0021863782312721014,164.65923566878982,164.72611464968153,0.0
L7H18,nonname,128,0.00496226642280817,57.6796875,57.71875,0.0078125
L8H15,name,314,0.0009591556736268103,151.55414012738854,151.60828025477707,0.0031847133757961785
L8H15,nonname,128,-0.004934420809149742,69.109375,69.1171875,0.0078125
L9H16,name,314,-0.005543648265302181,170.2515923566879,170.30573248407643,0.0031847133757961785
L9H16,nonname,128,2.6480702217668295e-05,63.8203125,63.828125,0.0078125
L9H23,name,314,-0.0028120013885200024,162.4108280254777,162.46496815286625,0.006369426751592357
L9H23,nonname,128,-0.004411053378134966,69.78125,69.796875,0.0234375
L11H3,name,314,0.004706741776317358,148.93312101910828,148.97770700636943,0.0031847133757961785
L11H3,nonname,128,0.008824482560157776,54.375,54.4140625,0.0234375
L11H15,name,314,-0.003613789100199938,166.79617834394904,166.8375796178344,0.0
L11H15,nonname,128,-0.0079506142064929,73.609375,73.625,0.0234375
L12H2,name,314,-0.002978356322273612,162.75477707006368,162.78025477707007,0.0
L12H2,nonname,128,-0.011518880724906921,76.3203125,76.3359375,0.0078125
L13H1,name,314,0.04117901623249054,91.3375796178344,91.39808917197452,0.03821656050955414
L13H1,nonname,128,0.04473768174648285,28.5,28.5078125,0.109375
L13H30,name,314,-0.005093676038086414,169.22292993630575,169.28980891719746,0.0031847133757961785
L13H30,nonname,128,-0.00989545974880457,74.875,74.8984375,0.0
L14H26,name,314,-0.0038145894650369883,168.63375796178343,168.68789808917197,0.0031847133757961785
L14H26,nonname,128,-0.0005777757032774389,64.15625,64.203125,0.0
L15H3,name,314,-0.008732547983527184,178.56369426751593,178.60828025477707,0.0
L15H3,nonname,128,-0.023529328405857086,90.0234375,90.046875,0.0
L15H27,name,314,0.01938784494996071,112.62420382165605,112.6592356687898,0.01592356687898089
L15H27,nonname,128,0.03517051041126251,36.234375,36.2421875,0.09375
L16H1,name,314,0.012864574790000916,118.9968152866242,119.03821656050955,0.012738853503184714
L16H1,nonname,128,0.024496447294950485,34.4140625,34.4140625,0.09375
L16H16,name,314,0.0057432386092841625,141.37261146496814,141.42675159235668,0.006369426751592357
L16H16,nonname,128,0.006442498415708542,55.546875,55.5625,0.0078125
L16H31,name,314,-0.031510576605796814,214.9203821656051,214.98726114649682,0.0
L16H31,nonname,128,-0.07965032756328583,113.0703125,113.0859375,0.0
L17H5,name,314,-0.0412956066429615,226.68471337579618,226.7420382165605,0.0
L17H5,nonname,128,-0.04561546817421913,99.6796875,99.703125,0.0
L18H5,name,314,-0.04392222315073013,219.87898089171975,219.9171974522293,0.0031847133757961785
L18H5,nonname,128,-0.08118650317192078,106.4765625,106.484375,0.0
L18H19,name,314,0.12480150163173676,25.410828025477706,25.426751592356688,0.1751592356687898
L18H19,nonname,128,0.08750686049461365,11.0234375,11.0390625,0.40625
L19H16,name,314,-0.09400051832199097,283.11464968152865,283.140127388535,0.0
L19H16,nonname,128,-0.08548184484243393,120.3515625,120.3515625,0.0
L20H1,name,314,-0.1677207201719284,306.21656050955414,306.22929936305735,0.0
L20H1,nonname,128,-0.12175677716732025,120.3515625,120.3515625,0.0
L21H6,name,314,0.3505043685436249,2.6878980891719744,2.6878980891719744,0.5955414012738853
L21H6,nonname,128,0.21118749678134918,2.984375,2.984375,0.796875
L21H22,name,314,0.02088152803480625,146.4235668789809,146.45859872611464,0.03184713375796178
L21H22,nonname,128,0.05839957296848297,40.703125,40.703125,0.234375
L21H25,name,314,0.12862169742584229,47.09235668789809,47.117834394904456,0.07006369426751592
L21H25,nonname,128,0.004606922157108784,62.6015625,62.6484375,0.03125
L22H15,name,314,-0.002044318476691842,161.44904458598725,161.5,0.006369426751592357
L22H15,nonname,128,0.010064569301903248,56.90625,56.9375,0.0390625
L23H15,name,314,0.08893639594316483,77.06050955414013,77.10191082802548,0.21656050955414013
L23H15,nonname,128,-0.006909160874783993,74.1015625,74.1171875,0.0546875
L25H11,name,314,-0.0021826985757797956,159.14012738853503,159.18471337579618,0.0
L25H11,nonname,128,0.010143179446458817,54.078125,54.125,0.03125
L25H17,name,314,-0.009365644305944443,175.86624203821657,175.94904458598725,0.0031847133757961785
L25H17,nonname,128,-0.006668942514806986,73.6171875,73.6484375,0.0078125
L25H21,name,314,0.037984076887369156,177.15286624203821,177.1687898089172,0.041401273885350316
L25H21,nonname,128,0.016796933487057686,72.75,72.75,0.0546875
L27H6,name,314,0.03866347670555115,223.46815286624204,223.51910828025478,0.054140127388535034
L27H6,nonname,128,-0.03697595372796059,94.3359375,94.3515625,0.0
L28H15,name,314,-0.04000465199351311,220.6815286624204,220.73566878980893,0.022292993630573247
L28H15,nonname,128,0.06573976576328278,64.8828125,64.921875,0.09375
L30H13,name,314,-0.03445568308234215,205.2388535031847,205.27707006369425,0.0
L30H13,nonname,128,-0.00974433496594429,72.125,72.125,0.015625
L1H27,name,314,-0.004190679639577866,158.93630573248407,158.97770700636943,0.009554140127388535
L1H27,nonname,128,-0.000226328382268548,64.296875,64.328125,0.0
L2H22,name,314,0.018532944843173027,123.7547770700637,123.8343949044586,0.0031847133757961785
L2H22,nonname,128,0.035489995032548904,37.0546875,37.0703125,0.046875
L5H18,name,314,0.045937906950712204,90.6624203821656,90.71337579617834,0.041401273885350316
L5H18,nonname,128,0.034132543951272964,39.3046875,39.3203125,0.0703125
L6H24,name,314,0.001940147834829986,153.9140127388535,153.96815286624204,0.009554140127388535
L6H24,nonname,128,0.003984305076301098,60.1875,60.1953125,0.015625
L7H25,name,314,0.0006541317561641335,152.03503184713375,152.0955414012739,0.0031847133757961785
L7H25,nonname,128,0.0018563771154731512,60.25,60.2890625,0.015625
L8H16,name,314,0.0053497315384447575,144.4108280254777,144.44585987261146,0.006369426751592357
L8H16,nonname,128,0.008935468271374702,56.3359375,56.359375,0.0234375
L9H17,name,314,0.0049513038247823715,149.14968152866243,149.1815286624204,0.0031847133757961785
