head,family,order,base_margin,query_change_margin,source_query_preference_shift,source_reorder_change,source_corruption_change,target_query_preference_shift,target_reorder_change,target_corruption_change
L0H1,0,0,5.38088321685791,1.701812982559204,-0.004160743428656133,0.0006857177831989247,1.0928488336503506e-08,-0.0019196962502974202,0.0003709398906721617,5.979635716357734e-06
L0H1,0,1,2.9023590087890625,7.276455879211426,0.002789152436889708,-0.006298254942521453,-4.856381565332413e-06,0.0003960363828809932,-0.003611727719544433,0.0010913561563938856
L0H1,16,0,7.11986517906189,2.0677086114883423,-0.005351616042389651,0.005446708588351612,-4.3783074943348765e-09,-0.0013473754906954127,0.003264885992393829,2.423485057079233e-07
L0H1,16,1,6.09132444858551,4.657310485839844,0.0015260333457263187,-0.005381588816817384,1.4835968613624573e-06,0.0009494447913311888,-0.003142251298413612,-0.000266894930973649
L0H1,32,0,10.526287913322449,2.1401418447494507,-2.0770923583768308e-05,0.0009749127202667296,-9.458744898438454e-08,-8.687129593454301e-06,0.001513388691819273,3.2215029932558537e-06
L0H1,32,1,4.772899031639099,5.4145084619522095,1.6098401829367504e-05,-0.006467287654231768,5.37186861038208e-06,1.1115878805867396e-05,-0.004479073517359211,-0.0008208053186535835
L0H1,48,0,6.600269794464111,6.54676365852356,6.67001586407423e-07,7.738126441836357e-07,7.734633982181549e-07,4.182220436632633e-07,9.292853064835072e-07,-1.3001845218241215e-05
L0H1,48,1,0.8600050210952759,8.195607900619507,-7.899361662566662e-07,-0.007378419890301302,-8.102040737867355e-06,-3.0046794563531876e-07,-0.0034086173473042436,0.001047554425895214
L0H1,56,0,6.0057220458984375,4.2870378494262695,-5.024892743676901e-06,1.0011717677116394e-07,-2.41096131503582e-07,-2.114800736308098e-06,2.4563632905483246e-07,-6.143026985228062e-05
L0H1,56,1,7.347482919692993,5.46565842628479,5.420588422566652e-06,-0.005042934266384691,2.2863969206809998e-06,2.6801135390996933e-06,-0.002426818246021867,-0.000464938348159194
L0H1,64,0,5.855940103530884,1.9371116161346436,-0.003499290265608579,0.00024507824127795175,-4.052708391100168e-09,-0.0017375235329382122,0.0001686034484009724,-1.9325043467688374e-06
L0H1,64,1,2.0614051818847656,8.76237690448761,0.0024017752293730155,-0.006306125520495698,3.5017728805541992e-06,0.0018206639688287396,-0.00451373343821615,-0.0005487627349793911
L0H1,82,0,5.464267611503601,0.4103584289550781,-0.006148045686131809,0.000767149540479295,-1.4362740330398083e-08,-0.001463512229747721,0.0004344903863966465,-3.9712631405564025e-07
L0H1,82,1,0.7729959487915039,8.16834032535553,0.003098592336755246,-0.007118277717381716,6.388872861862183e-06,0.0016883133175724652,-0.003935488290153444,-0.0008090874180197716
L0H1,96,0,8.619663715362549,4.201663374900818,-0.00504321392509155,-9.044742910191417e-08,4.067260306328535e-09,-0.0017234696988452924,-2.5152985472232103e-08,-3.4393842724966817e-06
L0H1,96,1,5.8683531284332275,5.9466001987457275,0.0028597474738489836,-0.006782247859518975,1.7266720533370972e-06,0.0015408277758979239,-0.003307684208266437,-0.0002351484727114439
L0H1,98,0,4.691381096839905,6.007624268531799,-2.3057800717651844e-06,0.003759895684197545,9.022187441587448e-08,-4.030080162920058e-07,0.0006248932695598342,9.380237315781415e-06
L0H1,98,1,6.054630756378174,8.464698791503906,2.1151499822735786e-06,2.342741936445236e-06,-5.434267222881317e-07,3.288078005425632e-07,3.728782758116722e-07,0.00012978864833712578
L0H1,102,0,8.84278678894043,1.4450945854187012,-3.350549377501011e-06,-0.001184201492833381,1.8277205526828766e-08,-1.530395820736885e-06,-0.0007616372458869591,-0.00012544624041765928
L0H1,102,1,4.0489277839660645,8.330622911453247,3.6566052585840225e-06,-1.3248063623905182e-05,-4.0335580706596375e-06,1.346692442893982e-06,-6.515299901366234e-06,-0.00011218525469303131
L0H1,116,0,8.489528894424438,3.450946569442749,-3.7594145396724343e-06,-2.1067557099740952e-05,1.3085082173347473e-07,-2.64031405095011e-06,7.212796481326222e-05,2.2688254830427468e-05
L0H1,116,1,3.3671345710754395,7.863253831863403,3.700726665556431e-06,7.097609341144562e-06,-6.339512765407562e-06,1.578591763973236e-06,3.7993304431438446e-06,0.0009834659285843372
L0H1,130,0,6.983928680419922,1.7240610122680664,1.546542625874281e-05,-0.000716808601282537,8.762581273913383e-07,9.057519491761923e-06,-0.0007455487866536714,9.130488615483046e-05
L0H1,130,1,4.094547152519226,6.008379817008972,-1.8972321413457394e-05,-0.008138625096762553,-7.577240467071533e-06,-6.403075531125069e-06,-0.003437498693529051,0.0009903137106448412
L0H1,150,0,6.5843751430511475,-0.81303870677948,1.7834245227277279e-06,-0.0005180056796234567,1.6787089407444e-07,7.399939931929111e-07,-0.0007388050435110927,-4.058529157191515e-06
L0H1,150,1,4.2601600885391235,7.0457524061203,-1.5206169337034225e-06,-0.005762958244304173,-1.873355358839035e-06,-6.548943929374218e-07,-0.0031025810458231717,0.00030786357820034027
