head,family,order,j,text,final,question,punctuation,entities,importance,promotion,suppression
L6H12,0,0,262,Kul,False,False,False,"[{""fact"": 19, ""query"": false, ""role"": ""source"", ""first"": true, ""last"": false}]",0.00396728515625,0.00390625,6.103515625e-05
L6H12,0,0,263,n,False,False,False,"[{""fact"": 19, ""query"": false, ""role"": ""source"", ""first"": false, ""last"": false}]",0.0023193359375,0.00390625,-0.0015869140625
L6H12,0,0,264,ra,False,False,False,"[{""fact"": 19, ""query"": false, ""role"": ""source"", ""first"": false, ""last"": true}]",0.0008544921875,0.0,0.0008544921875
L6H12,0,0,265,.,False,False,True,[],-0.0009765625,0.0,-0.0009765625
L6H12,0,0,266,Question,False,True,False,[],0.0020751953125,0.00390625,-0.0018310546875
L6H12,0,0,267,:,False,True,True,[],0.0068359375,0.0078125,-0.0009765625
L6H12,0,0,268,Who,False,True,False,[],-0.00103759765625,0.0,-0.00103759765625
L6H12,0,0,269,is,False,True,False,[],0.003173828125,0.00390625,-0.000732421875
L6H12,0,0,270,the,False,True,False,[],0.003173828125,0.00390625,-0.000732421875
L6H12,0,0,271,mother,False,True,False,[],-0.0023193359375,0.0,-0.0023193359375
L6H12,0,0,272,of,False,True,False,[],0.002685546875,0.00390625,-0.001220703125
L6H12,0,0,273,Jar,False,True,False,[],0.0042724609375,0.00390625,0.0003662109375
L6H12,0,0,274,lia,False,True,False,[],0.0030517578125,0.00390625,-0.0008544921875
L6H12,0,0,275,?,False,True,True,[],0.004150390625,0.00390625,0.000244140625
L6H12,0,0,276,Answer,False,True,False,[],0.00201416015625,0.0,0.00201416015625
L6H12,0,0,277,:,True,True,True,[],-0.00408935546875,-0.00390625,-0.00018310546875
L7H18,0,0,234,R,False,False,False,"[{""fact"": 17, ""query"": true, ""role"": ""target"", ""first"": true, ""last"": false}]",-0.01434326171875,-0.01953125,0.00518798828125
L7H18,0,0,235,arn,False,False,False,"[{""fact"": 17, ""query"": true, ""role"": ""target"", ""first"": false, ""last"": false}]",-0.00152587890625,0.0,-0.00152587890625
L7H18,0,0,236,ia,False,False,False,"[{""fact"": 17, ""query"": true, ""role"": ""target"", ""first"": false, ""last"": true}]",0.02557373046875,0.03515625,-0.00958251953125
L7H18,0,0,237,is,False,False,False,[],0.002685546875,0.00390625,-0.001220703125
L7H18,0,0,238,the,False,False,False,[],-0.002197265625,0.0,-0.002197265625
L7H18,0,0,239,mother,False,False,False,[],-0.00732421875,-0.01171875,0.00439453125
L7H18,0,0,240,of,False,False,False,[],0.0093994140625,0.0078125,0.0015869140625
L7H18,0,0,241,Jar,False,False,False,"[{""fact"": 17, ""query"": true, ""role"": ""source"", ""first"": true, ""last"": false}]",0.007080078125,0.0078125,-0.000732421875
L7H18,0,0,242,lia,False,False,False,"[{""fact"": 17, ""query"": true, ""role"": ""source"", ""first"": false, ""last"": true}]",0.00091552734375,0.00390625,-0.00299072265625
L7H18,0,0,243,.,False,False,True,[],0.001220703125,0.00390625,-0.002685546875
L7H18,0,0,244,K,False,False,False,"[{""fact"": 18, ""query"": false, ""role"": ""target"", ""first"": true, ""last"": false}]",-0.0025634765625,0.0,-0.0025634765625
L7H18,0,0,245,ul,False,False,False,"[{""fact"": 18, ""query"": false, ""role"": ""target"", ""first"": false, ""last"": false}]",-0.00225830078125,0.0,-0.00225830078125
L7H18,0,0,246,n,False,False,False,"[{""fact"": 18, ""query"": false, ""role"": ""target"", ""first"": false, ""last"": false}]",-0.005859375,-0.00390625,-0.001953125
L7H18,0,0,247,ra,False,False,False,"[{""fact"": 18, ""query"": false, ""role"": ""target"", ""first"": false, ""last"": true}]",0.0010986328125,0.00390625,-0.0028076171875
L7H18,0,0,248,is,False,False,False,[],0.00811767578125,0.0078125,0.00030517578125
L7H18,0,0,249,the,False,False,False,[],0.00634765625,0.0078125,-0.00146484375
L7H18,0,0,250,mother,False,False,False,[],0.00494384765625,0.00390625,0.00103759765625
L7H18,0,0,251,of,False,False,False,[],-0.00091552734375,0.0,-0.00091552734375
L7H18,0,0,252,Til,False,False,False,"[{""fact"": 18, ""query"": false, ""role"": ""source"", ""first"": true, ""last"": false}]",0.00152587890625,0.00390625,-0.00238037109375
