pair_id,family,order,writer,site,readout,intact_contrast,head_site_shift,head_span_shift,entity_swap_shift,irrelevant_shift,none_contrast
032/direct/base/0/order0,32,0,L17H1,query_period,identity,7.8359375,-0.0234375,-0.0234375,-0.03125,0.0820317268371582,7.058594703674316
032/direct/base/0/order0,32,0,L17H1,query_period,mother_of,0.28515625,-0.02734375,-0.02734375,-0.029296875,-0.068359375,0.140625
032/direct/base/0/order1,32,1,L15H25,query_child_last,identity,7.63671875,0.003906726837158203,0.003906726837158203,0.023437023162841797,-0.1523442268371582,7.058594703674316
032/direct/base/0/order1,32,1,L15H25,query_child_last,mother_of,0.212890625,0.001953125,0.001953125,0.0,0.0078125,0.140625
032/direct/base/0/order1,32,1,L15H25,query_is,identity,7.28125,0.0,0.0,-0.12890625,-0.1640625,7.058594703674316
032/direct/base/0/order1,32,1,L15H25,query_is,mother_of,0.228515625,-0.001953125,-0.001953125,0.01171875,0.001953125,0.140625
032/direct/base/0/order1,32,1,L17H1,query_is,identity,8.035156726837158,-0.3789072036743164,-0.3789072036743164,-0.4375004768371582,-0.4335942268371582,7.058594703674316
032/direct/base/0/order1,32,1,L17H1,query_is,mother_of,0.26171875,-0.02734375,-0.02734375,-0.0390625,-0.037109375,0.140625
032/direct/base/0/order1,32,1,L17H1,query_period,identity,7.9375,0.0,0.0,-0.01953125,-0.1328125,7.058594703674316
032/direct/base/0/order1,32,1,L17H1,query_period,mother_of,0.240234375,-0.015625,-0.015625,-0.01953125,0.009765625,0.140625
048/direct/base/0/order0,48,0,L15H25,query_child_last,identity,2.515625,0.0468745231628418,0.0468745231628418,0.16796875,-1.40234375,1.6484375
048/direct/base/0/order0,48,0,L15H25,query_child_last,mother_of,0.486328125,0.0,0.0,0.0,-0.966796875,0.51171875
048/direct/base/0/order0,48,0,L15H25,query_is,identity,0.9765625,0.00390625,0.00390625,-0.12109375,-0.04296875,1.6484375
048/direct/base/0/order0,48,0,L15H25,query_is,mother_of,0.45703125,0.0,0.0,0.0,0.001953125,0.51171875
048/direct/base/0/order0,48,0,L17H1,query_is,identity,1.19140625,-0.3359375,-0.3359375,-0.38671875,-0.515625,1.6484375
048/direct/base/0/order0,48,0,L17H1,query_is,mother_of,0.4609375,-0.00390625,-0.00390625,-0.005859375,-0.009765625,0.51171875
048/direct/base/0/order0,48,0,L17H1,query_period,identity,0.97265625,-0.0781254768371582,-0.0781254768371582,-0.1093745231628418,0.08984375,1.6484375
048/direct/base/0/order0,48,0,L17H1,query_period,mother_of,0.48046875,-0.015625,-0.015625,-0.015625,-0.021484375,0.51171875
048/direct/base/0/order1,48,1,L15H25,query_child_last,identity,2.054687023162842,0.0390629768371582,0.0390629768371582,0.0781254768371582,-0.8398432731628418,1.6484375
048/direct/base/0/order1,48,1,L15H25,query_child_last,mother_of,0.478515625,0.001953125,0.001953125,0.001953125,-0.36328125,0.51171875
048/direct/base/0/order1,48,1,L15H25,query_is,identity,1.11328125,0.0078125,0.0078125,-0.20703125,-0.26953125,1.6484375
048/direct/base/0/order1,48,1,L15H25,query_is,mother_of,0.458984375,0.0,0.0,0.0,-0.005859375,0.51171875
048/direct/base/0/order1,48,1,L17H1,query_is,identity,1.4453129768371582,-0.7734379768371582,-0.7734379768371582,-0.7539067268371582,-0.6679692268371582,1.6484375
048/direct/base/0/order1,48,1,L17H1,query_is,mother_of,0.462890625,-0.01171875,-0.01171875,-0.009765625,-0.009765625,0.51171875
048/direct/base/0/order1,48,1,L17H1,query_period,identity,1.09375,-0.015625,-0.015625,-0.0234375,-0.23046875,1.6484375
048/direct/base/0/order1,48,1,L17H1,query_period,mother_of,0.470703125,-0.009765625,-0.009765625,-0.01171875,0.0,0.51171875
056/direct/base/0/order0,56,0,L15H25,query_child_last,identity,-0.73828125,-0.00390625,-0.00390625,0.015625,0.0390625,-0.59375
056/direct/base/0/order0,56,0,L15H25,query_child_last,mother_of,0.2578125,0.0,0.0,0.00390625,0.037109375,0.34765625
056/direct/base/0/order0,56,0,L15H25,query_is,identity,-0.375,0.00390625,0.00390625,0.1015625,0.19140625,-0.59375
056/direct/base/0/order0,56,0,L15H25,query_is,mother_of,0.302734375,-0.001953125,-0.001953125,0.00390625,0.0078125,0.34765625
056/direct/base/0/order0,56,0,L17H1,query_is,identity,-0.26171875,-0.2265625,-0.2265625,-0.21875,-0.2734375,-0.59375
056/direct/base/0/order0,56,0,L17H1,query_is,mother_of,0.322265625,-0.009765625,-0.009765625,-0.0078125,-0.0078125,0.34765625
056/direct/base/0/order0,56,0,L17H1,query_period,identity,-0.33203125,-0.06640625,-0.06640625,-0.06640625,-0.1171875,-0.59375
056/direct/base/0/order0,56,0,L17H1,query_period,mother_of,0.322265625,-0.0390625,-0.0390625,-0.03515625,-0.009765625,0.34765625
056/direct/base/0/order1,56,1,L15H25,query_child_last,identity,-0.73046875,0.003905773162841797,0.003905773162841797,0.0078125,0.21484375,-0.59375
056/direct/base/0/order1,56,1,L15H25,query_child_last,mother_of,0.2734375,0.0,0.0,0.001953125,0.021484375,0.34765625
