id,direction,stratum,value,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,descriptive_ci_low,descriptive_ci_high
G1:I1:conditional:L18H18,noise,query_first,False,89,1.4804086149408575,1.5819587707519531,1.3095703125,-1.1181640625,6.20489501953125,0.8764044943820225,0.9325842696629213,True,coherent,1.1846000596378627,1.7941124530320745
G1:I1:conditional:L18H18,noise,query_first,True,89,5.906027633152651,5.906027633152651,5.69921875,0.28466796875,11.786865234375,1.0,1.0,True,coherent,5.464880795425243,6.346457164207202
G1:I1:conditional:L18H18,restore,query_first,False,89,1.487888229027223,1.6368253257837189,1.429931640625,-1.0814208984375,4.95556640625,0.8314606741573034,0.9438202247191011,True,coherent,1.1955710330705964,1.7895900849545936
G1:I1:conditional:L18H18,restore,query_first,True,89,5.72406511628226,5.72406511628226,5.5343017578125,0.54833984375,9.803466796875,1.0,1.0,True,coherent,5.338046178924903,6.109213820468173
G1:I1:conditional:L18H19,noise,query_first,False,89,3.159907951783598,3.16132341877798,2.66064453125,-0.06298828125,7.6241455078125,0.9887640449438202,0.9887640449438202,True,coherent,2.8059966880283995,3.5278110021955507
G1:I1:conditional:L18H19,noise,query_first,True,89,5.434460243482269,5.434460243482269,5.140625,0.3603515625,9.651123046875,1.0,1.0,True,coherent,5.043849323572738,5.8307656363155065
G1:I1:conditional:L18H19,restore,query_first,False,89,3.1608319443263366,3.1619247479385204,2.9882450103759766,-0.0486297607421875,7.07373046875,0.9887640449438202,0.9887640449438202,True,coherent,2.834456502721551,3.4908395001057824
G1:I1:conditional:L18H19,restore,query_first,True,89,5.1998624587326905,5.1998624587326905,5.2823486328125,0.440673828125,11.40625,1.0,1.0,True,coherent,4.845992265926318,5.565467088677909
G1:I1:whole,noise,query_first,False,89,1.6328525757521726,1.9058655728115124,1.6179962158203125,-2.2030029296875,5.1595611572265625,0.8314606741573034,0.9775280898876404,True,coherent,1.2799301908257303,1.9777701688616462
G1:I1:whole,noise,query_first,True,89,9.046218046981297,9.046218046981297,9.203125,0.61279296875,15.205322265625,1.0,1.0,True,coherent,8.522078193439528,9.562470806046818
G1:I1:whole,restore,query_first,False,89,1.5715388394473644,1.901646796237217,1.525146484375,-1.86859130859375,6.59228515625,0.797752808988764,0.9662921348314607,True,coherent,1.199269194013617,1.9476862537726927
G1:I1:whole,restore,query_first,True,89,9.100271546438838,9.100271546438838,9.354034423828125,0.970947265625,15.1220703125,1.0,1.0,True,coherent,8.60236937490742,9.59160980267471
G1:I2:conditional:L18H18,noise,query_first,False,89,1.2438147041235077,1.379897214053722,1.02587890625,-1.229644775390625,4.84521484375,0.8202247191011236,0.9438202247191011,True,coherent,0.9750813687785288,1.520016758093673
G1:I2:conditional:L18H18,noise,query_first,True,89,5.802390382530984,5.802390382530984,5.7210693359375,0.30810546875,12.7176513671875,1.0,1.0,True,coherent,5.379358548126864,6.229203210252052
G1:I2:conditional:L18H18,restore,query_first,False,89,1.2619659552413427,1.4566838768091095,1.2009658813476562,-1.085968017578125,4.6318359375,0.7865168539325843,0.9438202247191011,True,coherent,0.9865546285436394,1.548241493139374
G1:I2:conditional:L18H18,restore,query_first,True,89,5.674230446976222,5.674230446976222,5.51947021484375,0.566162109375,9.3218994140625,1.0,1.0,True,coherent,5.318037572603547,6.021865472900733
G1:I2:conditional:L18H19,noise,query_first,False,89,3.0140748613336115,3.0150514238336115,2.51629638671875,-0.04345703125,7.7850341796875,0.9887640449438202,0.9887640449438202,True,coherent,2.6789940330419646,3.3619341046622626
G1:I2:conditional:L18H19,noise,query_first,True,89,5.391445074188575,5.391445074188575,5.1806640625,0.37158203125,10.4326171875,1.0,1.0,True,coherent,5.018370968036438,5.769788641340277
G1:I2:conditional:L18H19,restore,query_first,False,89,3.075216293334961,3.0787721055277277,2.919921875,-0.158233642578125,7.76123046875,0.9887640449438202,0.9887640449438202,True,coherent,2.7460044860839843,3.4108268255598087
