id,direction,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,descriptive_ci_low,descriptive_ci_high,mean_absolute_order_difference,original_gap,normalized_mean,normalized_mean_absolute,panel,kind,head,cohort
G2:L11H4:change,noise,20,0.0008701324462890625,0.0033405303955078127,0.00152587890625,-0.0048828125,0.008819580078125,0.6,0.0,False,below_rule,-0.0008194351196289063,0.0026245403289794898,0.006954193115234375,11.200063323974609,7.768995773679923e-05,0.0002982599561162433,G2,change,356,
G2:L11H4:conditional,noise,20,0.0052967071533203125,0.01609382629394531,-0.0002593994140625,-0.02362060546875,0.04638671875,0.5,0.0,False,below_rule,-0.0030193424224853518,0.014059896469116205,0.022396087646484375,11.200063323974609,0.0004729176077051545,0.0014369406518885675,G2,conditional,356,
G2:L11H7:change,noise,20,-0.004880332946777343,0.01621837615966797,-0.008686065673828125,-0.037872314453125,0.0403900146484375,0.6,0.0,False,below_rule,-0.012959709167480469,0.003617172241210931,0.032401657104492186,11.200063323974609,-0.0004357415494545116,0.0014480611127395387,G2,change,359,
G2:L11H7:conditional,noise,20,0.010118865966796875,0.0979095458984375,0.023834228515625,-0.226593017578125,0.2081298828125,0.55,0.45,False,below_rule,-0.04295703887939453,0.061517686843871974,0.117535400390625,11.200063323974609,0.0009034650674819537,0.00874187431501878,G2,conditional,359,
G2:L12H2:change,noise,20,0.0013784408569335938,0.006468772888183594,0.00078582763671875,-0.01007843017578125,0.0241851806640625,0.55,0.0,False,below_rule,-0.002326779365539551,0.005608792304992672,0.015374374389648438,11.200063323974609,0.0001230743806584498,0.0005775657423593919,G2,change,386,
G2:L12H2:conditional,noise,20,0.0134368896484375,0.03243865966796875,0.0166015625,-0.0535888671875,0.0936279296875,0.75,0.0,False,below_rule,-0.0028427886962890626,0.0296489334106445,0.043438720703125,11.200063323974609,0.0011997155069360002,0.0028962925235012974,G2,conditional,386,
G2:L14H23:change,noise,20,-0.003622293472290039,0.030274438858032226,-0.006298065185546875,-0.0857248306274414,0.061859130859375,0.55,0.0,False,below_rule,-0.020345044136047364,0.012686548233032176,0.061738109588623045,11.200063323974609,-0.00032341723144870417,0.0027030596151387315,G2,change,471,
G2:L14H23:conditional,noise,20,-0.20623512268066407,0.2431560516357422,-0.23046875,-0.868194580078125,0.1337890625,0.8,0.8,True,coherent,-0.30825104713439944,-0.11231884002685553,0.3648078918457031,11.200063323974609,-0.018413746129381403,0.02171023900509988,G2,conditional,471,
G2:L15H3:change,noise,20,0.005717754364013672,0.011234188079833984,0.002044677734375,-0.0255126953125,0.028564453125,0.65,0.0,False,below_rule,-0.00047368288040161127,0.012040810585021973,0.02316570281982422,11.200063323974609,0.0005105108961102365,0.0010030468359751438,G2,change,483,
G2:L15H3:conditional,noise,20,-0.10548095703125,0.1121337890625,-0.07781982421875,-0.391143798828125,0.048583984375,0.9,0.45,True,coherent,-0.15101354598999023,-0.06460092544555665,0.1187713623046875,11.200063323974609,-0.0094178893440236,0.010011888845527228,G2,conditional,483,
G2:L16H16:change,noise,20,-0.0022849291563034058,0.004235002398490906,-0.00186920166015625,-0.014028966426849365,0.00506591796875,0.55,0.0,False,below_rule,-0.004518289119005203,-0.00019450187683105885,0.009359592199325561,11.200063323974609,-0.00020401037835315956,0.00037812307627096655,G2,change,528,
G2:L16H16:conditional,noise,20,0.016901090741157532,0.020096281170845033,0.016571044921875,-0.0179443359375,0.047607421875,0.8,0.0,False,below_rule,0.009406223297119142,0.024299671128392215,0.04983306527137756,11.200063323974609,0.0015090174271585972,0.0017943006739816708,G2,conditional,528,
G2:L16H1:change,noise,20,-0.076519775390625,0.08525543212890625,-0.0910491943359375,-0.20406341552734375,0.0619659423828125,0.85,0.35,False,below_rule,-0.10567603588104248,-0.047019085884094244,0.16851654052734374,11.200063323974609,-0.006832084174633947,0.0076120491164019,G2,change,513,
G2:L16H1:conditional,noise,20,0.8007095336914063,0.8007095336914063,0.73846435546875,0.29412841796875,1.60791015625,1.0,1.0,True,coherent,0.6436928367614747,0.9631286811828613,0.775579833984375,11.200063323974609,0.07149151844324175,0.07149151844324175,G2,conditional,513,
G2:L16H21:change,noise,20,-0.04169597625732422,0.06509113311767578,-0.04665184020996094,-0.18715667724609375,0.0660400390625,0.7,0.15,False,below_rule,-0.07294283390045166,-0.0120309066772461,0.19464988708496095,11.200063323974609,-0.0037228339743464425,0.005811675455293466,G2,change,533,
G2:L16H21:conditional,noise,20,0.8614547729492188,0.8614547729492188,0.86224365234375,0.043212890625,1.889495849609375,1.0,0.95,True,coherent,0.6440582084655762,1.086907806396484,0.67091064453125,11.200063323974609,0.07691516985490678,0.07691516985490678,G2,conditional,533,
