id,direction,stratum,value,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,descriptive_ci_low,descriptive_ci_high
G2:L11H4:change,noise,query_first,False,20,0.001641082763671875,0.004346466064453125,0.001220703125,-0.014892578125,0.0142822265625,0.65,0.0,False,below_rule,-0.0010224342346191405,0.004132862091064452
G2:L11H4:change,noise,query_first,True,20,9.918212890625e-05,0.00497894287109375,-0.0007781982421875,-0.009033203125,0.011474609375,0.45,0.0,False,below_rule,-0.002511634826660156,0.0027740478515625
G2:L11H4:conditional,noise,query_first,False,20,0.007485198974609375,0.024971771240234374,0.00152587890625,-0.038330078125,0.0986328125,0.5,0.0,False,below_rule,-0.005822906494140625,0.022151947021484375
G2:L11H4:conditional,noise,query_first,True,20,0.00310821533203125,0.01084747314453125,0.001739501953125,-0.02197265625,0.048095703125,0.6,0.0,False,below_rule,-0.00351715087890625,0.010582084655761709
G2:L11H7:change,noise,query_first,False,20,0.002019500732421875,0.018451690673828125,-0.00042724609375,-0.0819091796875,0.051513671875,0.5,0.0,False,below_rule,-0.010394287109375,0.012969436645507794
G2:L11H7:change,noise,query_first,True,20,-0.011780166625976562,0.02627906799316406,-0.010711669921875,-0.0574798583984375,0.044647216796875,0.6,0.0,False,below_rule,-0.024261178970336913,0.0008607101440429588
G2:L11H7:conditional,noise,query_first,False,20,-0.003299713134765625,0.13340072631835936,0.0235595703125,-0.436767578125,0.31201171875,0.35,0.6,True,heterogeneous,-0.08299568176269531,0.06954996109008779
G2:L11H7:conditional,noise,query_first,True,20,0.023537445068359374,0.09337387084960938,0.03717041015625,-0.23095703125,0.247314453125,0.7,0.4,False,below_rule,-0.027962284088134764,0.07184953689575191
G2:L12H2:change,noise,query_first,False,20,0.00157318115234375,0.01212005615234375,-0.002197265625,-0.020263671875,0.0400390625,0.45,0.0,False,below_rule,-0.005137672424316406,0.009118690490722654
G2:L12H2:change,noise,query_first,True,20,0.0011837005615234375,0.0070323944091796875,0.00146484375,-0.0130157470703125,0.01629638671875,0.55,0.0,False,below_rule,-0.002421236038208008,0.004738655090332028
G2:L12H2:conditional,noise,query_first,False,20,0.02719268798828125,0.04455108642578125,0.0152740478515625,-0.04931640625,0.198974609375,0.6,0.15,False,below_rule,0.0037414169311523436,0.05406509399414061
G2:L12H2:conditional,noise,query_first,True,20,-0.00031890869140625,0.02770538330078125,0.01336669921875,-0.071533203125,0.033447265625,0.45,0.0,False,below_rule,-0.015255813598632812,0.013150253295898418
G2:L14H23:change,noise,query_first,False,20,0.009189605712890625,0.056262969970703125,0.01580810546875,-0.1561279296875,0.145751953125,0.55,0.2,False,below_rule,-0.02203123092651367,0.03974313735961913
G2:L14H23:change,noise,query_first,True,20,-0.016434192657470703,0.02324953079223633,-0.013580322265625,-0.0771026611328125,0.02420806884765625,0.65,0.0,False,below_rule,-0.02833845853805542,-0.00527035713195801
G2:L14H23:conditional,noise,query_first,False,20,-0.3547828674316406,0.3877906799316406,-0.3321533203125,-0.965576171875,0.243408203125,0.9,0.75,True,coherent,-0.5032266998291016,-0.2083838462829592
G2:L14H23:conditional,noise,query_first,True,20,-0.0576873779296875,0.1437164306640625,-0.020599365234375,-0.77081298828125,0.27880859375,0.6,0.5,True,heterogeneous,-0.15981529235839845,0.02850128173828117
G2:L15H3:change,noise,query_first,False,20,0.011219978332519531,0.02088794708251953,0.008516311645507812,-0.0283203125,0.060546875,0.7,0.0,False,below_rule,0.0006639003753662111,0.022084460258483866
G2:L15H3:change,noise,query_first,True,20,0.0002155303955078125,0.009521102905273438,0.000579833984375,-0.022705078125,0.02734375,0.55,0.0,False,below_rule,-0.0053490734100341795,0.005849552154541008
G2:L15H3:conditional,noise,query_first,False,20,-0.135418701171875,0.1576446533203125,-0.11676025390625,-0.60546875,0.1103515625,0.8,0.6,True,coherent,-0.20986190795898438,-0.06776226043701175
G2:L15H3:conditional,noise,query_first,True,20,-0.075543212890625,0.080389404296875,-0.06689453125,-0.17681884765625,0.0269775390625,0.85,0.4,False,below_rule,-0.10336349487304687,-0.04741149902343755
G2:L16H16:change,noise,query_first,False,20,-0.0029180943965911865,0.007034915685653687,-0.00164794921875,-0.01708984375,0.016876220703125,0.6,0.0,False,below_rule,-0.006700748205184936,0.0008545531332492775
G2:L16H16:change,noise,query_first,True,20,-0.001651763916015625,0.004846954345703125,-0.00144195556640625,-0.01123046875,0.0106201171875,0.55,0.0,False,below_rule,-0.004137420654296875,0.0008781814575195279
G2:L16H16:conditional,noise,query_first,False,20,0.03942809700965881,0.04406676888465881,0.029632568359375,-0.034423828125,0.09521484375,0.9,0.0,False,below_rule,0.02371453508734703,0.05487642303109166
G2:L16H16:conditional,noise,query_first,True,20,-0.00562591552734375,0.01407318115234375,-0.00579833984375,-0.037078857421875,0.03173828125,0.7,0.0,False,below_rule,-0.012530517578125,0.0016357421875
G2:L16H1:change,noise,query_first,False,20,-0.12988510131835937,0.15137557983398436,-0.1153564453125,-0.453369140625,0.13409423828125,0.9,0.55,True,coherent,-0.19764848709106445,-0.0658779335021973
G2:L16H1:change,noise,query_first,True,20,-0.023154449462890626,0.0571380615234375,-0.0231475830078125,-0.17828369140625,0.1304931640625,0.65,0.15,False,below_rule,-0.053451976776123046,0.006661367416381824
G2:L16H1:conditional,noise,query_first,False,20,1.1800765991210938,1.1800765991210938,1.0357666015625,0.4765625,2.306884765625,1.0,1.0,True,coherent,0.9305084228515625,1.4437583160400387
G2:L16H1:conditional,noise,query_first,True,20,0.42134246826171873,0.42460174560546876,0.37408447265625,-0.0325927734375,1.061279296875,0.95,0.95,True,coherent,0.3162803649902344,0.5364022064208983
G2:L16H21:change,noise,query_first,False,20,-0.06274986267089844,0.09208106994628906,-0.025390625,-0.300750732421875,0.0916748046875,0.55,0.3,False,below_rule,-0.11295179367065429,-0.016138305664062515
G2:L16H21:change,noise,query_first,True,20,-0.02064208984375,0.12526473999023438,-0.023193359375,-0.34521484375,0.3304443359375,0.6,0.4,True,heterogeneous,-0.09112106323242188,0.04990286827087398
G2:L16H21:conditional,noise,query_first,False,20,0.5937271118164062,0.6396621704101563,0.54852294921875,-0.32861328125,1.9404296875,0.9,0.9,True,coherent,0.37002689361572266,0.829482536315918
G2:L16H21:conditional,noise,query_first,True,20,1.1291824340820313,1.1291824340820313,1.040283203125,0.16156005859375,3.04534912109375,1.0,1.0,True,coherent,0.8388315582275391,1.4562796020507809
G2:L16H24:change,noise,query_first,False,20,0.012948226928710938,0.023214340209960938,0.01523590087890625,-0.054931640625,0.0654296875,0.75,0.0,False,below_rule,0.0015506076812744141,0.02374843597412109
G2:L16H24:change,noise,query_first,True,20,0.009530067443847656,0.013842201232910157,0.009765625,-0.030059814453125,0.039951324462890625,0.7,0.0,False,below_rule,0.0028181886672973633,0.015985317230224606
G2:L16H24:conditional,noise,query_first,False,20,-0.1370403289794922,0.1650310516357422,-0.10723876953125,-0.47216796875,0.140380859375,0.85,0.65,True,coherent,-0.20775808334350587,-0.06879751205444339
G2:L16H24:conditional,noise,query_first,True,20,0.0157379150390625,0.0770294189453125,0.025543212890625,-0.17626953125,0.1556396484375,0.6,0.3,False,below_rule,-0.0249908447265625,0.05513328552246091
G2:L16H31:change,noise,query_first,False,20,0.020455169677734374,0.03451461791992187,0.0164794921875,-0.0513916015625,0.110137939453125,0.75,0.05,False,below_rule,0.004305343627929688,0.037399311065673825
G2:L16H31:change,noise,query_first,True,20,0.0013631820678710938,0.005256843566894531,0.00201416015625,-0.0155029296875,0.0140380859375,0.65,0.0,False,below_rule,-0.001541576385498047,0.004094343185424802
G2:L16H31:conditional,noise,query_first,False,20,-0.3032951354980469,0.3032951354980469,-0.2379150390625,-0.641845703125,-0.0811767578125,1.0,0.95,True,coherent,-0.377703628540039,-0.23271457672119145
G2:L16H31:conditional,noise,query_first,True,20,-0.027752685546875,0.032415771484375,-0.026611328125,-0.115234375,0.037109375,0.85,0.05,False,below_rule,-0.04178482055664063,-0.014898681640625
G2:L16H4:change,noise,query_first,False,20,-0.0012409210205078125,0.0053539276123046875,6.103515625e-05,-0.023681640625,0.008544921875,0.5,0.0,False,below_rule,-0.004591817855834961,0.0016601848602294897
G2:L16H4:change,noise,query_first,True,20,-0.0005401611328125,0.0056304931640625,-0.000244140625,-0.010406494140625,0.0108642578125,0.5,0.0,False,below_rule,-0.0033477783203125,0.002251472473144528
G2:L16H4:conditional,noise,query_first,False,20,0.020873641967773436,0.040679550170898436,0.01824951171875,-0.049560546875,0.103515625,0.65,0.05,False,below_rule,0.0018182468414306642,0.0398684501647949
G2:L16H4:conditional,noise,query_first,True,20,0.009222412109375,0.021221923828125,0.011322021484375,-0.03515625,0.0601806640625,0.6,0.0,False,below_rule,-0.0012299346923828123,0.01967178344726561
G2:L17H24:change,noise,query_first,False,20,-0.031163597106933595,0.0830545425415039,-0.044097900390625,-0.251220703125,0.248992919921875,0.65,0.25,False,below_rule,-0.07580158233642578,0.015184617042541452
G2:L17H24:change,noise,query_first,True,20,0.0016269683837890625,0.014024734497070312,0.000732421875,-0.034423828125,0.044189453125,0.5,0.0,False,below_rule,-0.006512861251831054,0.009888486862182614
G2:L17H24:conditional,noise,query_first,False,20,0.9488311767578125,0.9488311767578125,0.9278564453125,0.397705078125,2.365966796875,1.0,1.0,True,coherent,0.7706325531005859,1.1609268188476562
G2:L17H24:conditional,noise,query_first,True,20,0.01457977294921875,0.06920623779296875,0.00396728515625,-0.120849609375,0.182647705078125,0.5,0.35,False,below_rule,-0.021594696044921875,0.05191738128662102
G2:L17H5:change,noise,query_first,False,20,0.005083465576171875,0.013405609130859374,0.00335693359375,-0.016845703125,0.040771484375,0.55,0.0,False,below_rule,-0.00164337158203125,0.01216972351074218
G2:L17H5:change,noise,query_first,True,20,4.596710205078125e-05,0.014925193786621094,0.004802703857421875,-0.04376220703125,0.02642822265625,0.6,0.0,False,below_rule,-0.0079801607131958,0.00757031917572021
G2:L17H5:conditional,noise,query_first,False,20,-0.07617263793945313,0.08662796020507812,-0.069549560546875,-0.2376708984375,0.04681396484375,0.85,0.3,False,below_rule,-0.10822004318237305,-0.044790191650390665
G2:L17H5:conditional,noise,query_first,True,20,0.06620635986328124,0.07285919189453124,0.0547332763671875,-0.042236328125,0.176025390625,0.9,0.3,False,below_rule,0.04000221252441406,0.09327735900878903
G2:L18H19:change,noise,query_first,False,20,-0.12447471618652343,0.23076820373535156,-0.12408447265625,-0.68212890625,0.60205078125,0.75,0.8,True,coherent,-0.24885163307189942,0.0009478759765622069
G2:L18H19:change,noise,query_first,True,20,0.02313575744628906,0.3364978790283203,0.14520263671875,-0.8394775390625,0.51171875,0.55,0.85,True,heterogeneous,-0.1510825538635254,0.18699101448059066
G2:L18H19:conditional,noise,query_first,False,20,2.1313850402832033,2.1313850402832033,1.967620849609375,0.851806640625,4.1630859375,1.0,1.0,True,coherent,1.6969647598266602,2.582320747375486
G2:L18H19:conditional,noise,query_first,True,20,3.9280364990234373,3.9280364990234373,3.6563720703125,1.9542236328125,6.144287109375,1.0,1.0,True,coherent,3.466533584594727,4.418304748535156
G2:L19H16:change,noise,query_first,False,20,-0.007814407348632812,0.08253974914550781,0.02252197265625,-0.24896240234375,0.156036376953125,0.35,0.3,False,below_rule,-0.05614690780639648,0.036540336608886705
G2:L19H16:change,noise,query_first,True,20,-0.07599120140075684,0.10831847190856933,-0.04577016830444336,-0.4130859375,0.1405029296875,0.75,0.45,True,heterogeneous,-0.14000320434570312,-0.02013384222984315
G2:L19H16:conditional,noise,query_first,False,20,-0.8201969146728516,0.8201969146728516,-0.6937904357910156,-1.94287109375,-0.157073974609375,1.0,1.0,True,coherent,-1.0378879070281983,-0.622349376678467
G2:L19H16:conditional,noise,query_first,True,20,-0.9653701782226562,0.9653701782226562,-0.88916015625,-2.1058349609375,-0.21826171875,1.0,1.0,True,coherent,-1.1978135681152344,-0.7464106750488282
G2:L1H27:change,noise,query_first,False,20,-0.00491945743560791,0.022954726219177247,-0.007080078125,-0.06054115295410156,0.0802001953125,0.6,0.0,False,below_rule,-0.01821271240711212,0.009068320393562312
G2:L1H27:change,noise,query_first,True,20,0.012062835693359374,0.019284820556640624,0.0067138671875,-0.02099609375,0.1021728515625,0.65,0.05,False,below_rule,0.0013716506958007814,0.02542572021484375
G2:L1H27:conditional,noise,query_first,False,20,0.06379849910736084,0.09584195613861084,0.03410029411315918,-0.0810546875,0.3701171875,0.7,0.25,False,below_rule,0.014337684512138368,0.11919451773166652
G2:L1H27:conditional,noise,query_first,True,20,0.001245880126953125,0.10572586059570313,0.0250244140625,-0.66064453125,0.2829742431640625,0.7,0.3,True,heterogeneous,-0.08883333206176758,0.07121303558349606
G2:L20H7:change,noise,query_first,False,20,0.012339019775390625,0.08452987670898438,0.011474609375,-0.14453125,0.312744140625,0.55,0.25,False,below_rule,-0.03303302764892578,0.06235977172851562
G2:L20H7:change,noise,query_first,True,20,0.07439074516296387,0.188200044631958,-0.011150360107421875,-0.2479248046875,0.577117919921875,0.5,0.55,True,heterogeneous,-0.02613659739494324,0.18365234255790705
G2:L20H7:conditional,noise,query_first,False,20,0.011620330810546874,0.32229080200195315,-0.046875,-0.7567901611328125,1.3922119140625,0.45,0.75,True,heterogeneous,-0.17472173690795897,0.22233512878417894
G2:L20H7:conditional,noise,query_first,True,20,-0.07948150634765624,0.3942230224609375,-0.14562225341796875,-1.496337890625,1.46435546875,0.65,0.8,True,heterogeneous,-0.321728572845459,0.17508102416992172
G2:L21H25:change,noise,query_first,False,20,0.010965728759765625,0.014664459228515624,0.00475311279296875,-0.00927734375,0.052520751953125,0.7,0.0,False,below_rule,0.003578929901123047,0.018914813995361324
G2:L21H25:change,noise,query_first,True,20,0.005669307708740234,0.015113925933837891,0.0048828125,-0.03963661193847656,0.0465087890625,0.65,0.0,False,below_rule,-0.0028144359588623043,0.0138075852394104
G2:L21H25:conditional,noise,query_first,False,20,0.08418121337890624,0.08724517822265625,0.06103515625,-0.0306396484375,0.454833984375,0.95,0.25,False,below_rule,0.0488865852355957,0.13339847564697266
G2:L21H25:conditional,noise,query_first,True,20,0.04294281005859375,0.06298675537109374,0.0439453125,-0.066162109375,0.171875,0.75,0.2,False,below_rule,0.014492454528808594,0.07269916534423826
G2:L22H5:change,noise,query_first,False,20,0.034940147399902345,0.059655189514160156,0.012359619140625,-0.145233154296875,0.595947265625,0.7,0.1,False,below_rule,-0.010056610107421874,0.10212790489196776
G2:L22H5:change,noise,query_first,True,20,0.1714557647705078,0.2383747100830078,0.13608551025390625,-0.32958984375,0.728515625,0.8,0.9,True,coherent,0.07050504684448242,0.27528017044067377
G2:L22H5:conditional,noise,query_first,False,20,0.8424444198608398,0.8424444198608398,0.8127899169921875,0.053466796875,2.07763671875,1.0,0.95,True,coherent,0.6500241613388061,1.0567915868759155
G2:L22H5:conditional,noise,query_first,True,20,1.5004791259765624,1.5004791259765624,1.3310546875,0.745361328125,3.11865234375,1.0,1.0,True,coherent,1.292441864013672,1.748514404296875
G2:L23H10:change,noise,query_first,False,20,0.009339141845703124,0.013317108154296875,0.00201416015625,-0.01611328125,0.0681304931640625,0.6,0.0,False,below_rule,0.0016745567321777345,0.018267841339111326
G2:L23H10:change,noise,query_first,True,20,-0.004055023193359375,0.010974884033203125,-0.00390625,-0.0401611328125,0.023834228515625,0.65,0.0,False,below_rule,-0.01027984619140625,0.0018251419067382645
G2:L23H10:conditional,noise,query_first,False,20,0.08391036987304687,0.08995285034179687,0.07796478271484375,-0.04833984375,0.1865386962890625,0.9,0.45,False,below_rule,0.05552734375,0.11159135818481446
G2:L23H10:conditional,noise,query_first,True,20,-0.04506072998046875,0.04523162841796875,-0.0347900390625,-0.132537841796875,0.001708984375,0.95,0.05,False,below_rule,-0.06154945373535156,-0.0293212890625
G2:L23H15:change,noise,query_first,False,20,0.049267578125,0.1438751220703125,0.040008544921875,-0.51898193359375,0.373779296875,0.7,0.5,True,heterogeneous,-0.039332008361816405,0.13115932464599603
G2:L23H15:change,noise,query_first,True,20,-0.017222213745117187,0.18775291442871095,-0.035400390625,-0.459747314453125,0.534912109375,0.55,0.6,True,heterogeneous,-0.1211454963684082,0.08958645820617664
G2:L23H15:conditional,noise,query_first,False,20,-0.8341629028320312,0.8341629028320312,-0.78546142578125,-2.655029296875,-0.00079345703125,1.0,0.95,True,coherent,-1.1002589797973632,-0.6091143798828128
G2:L23H15:conditional,noise,query_first,True,20,-1.0323822021484375,1.0323822021484375,-0.979583740234375,-2.1513671875,-0.45654296875,1.0,1.0,True,coherent,-1.2413134765625,-0.8404193115234376
G2:L25H18:change,noise,query_first,False,20,-0.00179290771484375,0.01105194091796875,0.00115966796875,-0.098388671875,0.027099609375,0.4,0.0,False,below_rule,-0.013687248229980468,0.006388893127441403
G2:L25H18:change,noise,query_first,True,20,-0.008075904846191407,0.01196117401123047,-0.007232666015625,-0.0475616455078125,0.01513671875,0.65,0.0,False,below_rule,-0.014513444900512694,-0.0022352743148803833
G2:L25H18:conditional,noise,query_first,False,20,-0.0068359375,0.028363037109375,-0.01141357421875,-0.09344482421875,0.18408203125,0.7,0.05,False,below_rule,-0.025006256103515624,0.017416534423828112
G2:L25H18:conditional,noise,query_first,True,20,0.00843048095703125,0.06261749267578125,-0.01910400390625,-0.1514892578125,0.588043212890625,0.3,0.15,False,below_rule,-0.036945037841796875,0.07819168090820304
G2:L26H23:change,noise,query_first,False,20,0.030878829956054687,0.06792411804199219,0.00738525390625,-0.191650390625,0.329833984375,0.65,0.2,False,below_rule,-0.016362810134887697,0.08518711090087888
G2:L26H23:change,noise,query_first,True,20,-0.009466004371643067,0.04382455348968506,0.00390625,-0.0920257568359375,0.09857177734375,0.45,0.0,False,below_rule,-0.0320980840921402,0.013372254371643062
G2:L26H23:conditional,noise,query_first,False,20,-0.43068084716796873,0.43068084716796873,-0.33172607421875,-1.96728515625,-0.0849609375,1.0,0.95,True,coherent,-0.6334310531616211,-0.28217620849609376
G2:L26H23:conditional,noise,query_first,True,20,-0.4227081298828125,0.4241729736328125,-0.255035400390625,-1.8729248046875,0.0146484375,0.95,0.75,True,coherent,-0.6391641998291016,-0.23655975341796878
G2:L26H31:change,noise,query_first,False,20,0.0027435302734375,0.0048065185546875,0.00091552734375,-0.00390625,0.03125,0.5,0.0,False,below_rule,-5.649566650390622e-05,0.006482009887695306
G2:L26H31:change,noise,query_first,True,20,-0.00176849365234375,0.00785980224609375,0.000347137451171875,-0.03375244140625,0.014739990234375,0.45,0.0,False,below_rule,-0.006840982437133789,0.0026855659484863264
G2:L26H31:conditional,noise,query_first,False,20,-0.00450592041015625,0.02178192138671875,-0.0062255859375,-0.064453125,0.056640625,0.55,0.0,False,below_rule,-0.016497840881347658,0.007287673950195306
G2:L26H31:conditional,noise,query_first,True,20,0.02252960205078125,0.05157318115234375,-0.004638671875,-0.08056640625,0.47491455078125,0.45,0.05,False,below_rule,-0.0131060791015625,0.07760211944580074
